0	Index      	 *	Score 	Summary	Detail	
1	43214 63122	 * 	415.98	DCR|3VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2AART|345VULN|6RCR|7CDMG|8LHND|9DUST|aMDPS
2	43111 31521	 * 	400.64	DCR|2VULN|1MDPS|2TLV|2DUR|1AART	19DUR|2AART|3BEXP|49VULN|5LWND|6RCR|7RAT|89TLV|9BPWR|aMDPS
3	43313 31521	   	400.54	DCR|2VULN|1MDPS|2TLV|2DUR|1AART	19DUR|2AART|3LWND|49VULN|5DUST|6RCR|7RAT|89TLV|9BPWR|aMDPS
4	63252 21116	 * 	391.94	ACR|2MDPS|2VULN|1DMG|1DUR	14VULN|2DUR|3RCR|5LHND|6BEXP|7DMG|8AAC|9aMDPS
5	63252 31116	   	391.94	ACR|2MDPS|2VULN|1DMG|1DUR	14VULN|2DUR|3RCR|5LHND|6FEWX|7DMG|8AAC|9aMDPS
6	43231 61334	   	390.96	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1DUR|2AART|38VULN|4TLV|5ASPD|6RCR|7LEGI|9DMG|aMDPS
7	61324 24211	 * 	390.53	DCR|2MDPS|1VULN|2DUR|1DMG	1VULN|2DMG|34DUR|5BOSS|6RCR|7aMDPS|8RAT|9LSRREG
8	43214 61331	   	388.58	DCR|3VULN|1MDPS|1AART|1DUR	1DUR|2AART|345VULN|6RCR|7BEXP|8LIT|9MDPS|aASPD
9	43214 61332	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AART|345VULN|6RCR|7BEXP|8LIT|9MDPS|aAME
10	43214 61333	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AART|345VULN|6RCR|7BEXP|8LIT|9MDPS|aAEFRZ
11	43214 62321	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AART|345VULN|6RCR|7AAC|8TBNT|9RAT|aMDPS
12	43315 62221	   	388.58	DCR|3VULN|1MDPS|2DUR|1AART	1aDUR|2AART|35LWND|458VULN|5BPWR|6RCR|7SPLJET|9MDPS
13	43315 62222	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AART|35LWND|458VULN|5BPWR|6RCR|7SPLJET|9MDPS|aBELT
14	43315 62223	 * 	388.58	DCR|4VULN|1MDPS|1DUR|1AART	1DUR|2AART|35LWND|458aVULN|5BPWR|6RCR|7SPLJET|9MDPS
15	43315 62233	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AART|35LWND|458VULN|5BPWR|6RCR|7SPLJET|9TBNT|aMDPS
16	43315 63221	   	388.58	DCR|3VULN|1MDPS|2DUR|1AART	1aDUR|2AART|35LWND|458VULN|5BPWR|6RCR|7CANTOX|9MDPS
17	43315 63222	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AART|35LWND|458VULN|5BPWR|6RCR|7CANTOX|9MDPS|aBELT
18	43315 63223	   	388.58	DCR|4VULN|1MDPS|1DUR|1AART	1DUR|2AART|35LWND|458aVULN|5BPWR|6RCR|7CANTOX|9MDPS
19	43315 63233	   	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AART|35LWND|458VULN|5BPWR|6RCR|7CANTOX|9TBNT|aMDPS
