0	Index      	 *	Score 	Summary	Detail	
1	13325 31264	 * 	371.58	ACR|2MDPS|2VULN|1DUR	1BBNT|2RCR|3DUR|45VULN|6LWND|7aMDPS|8CGEN|9SPLREG
2	13221 41436	   	371.33	ACR|2MDPS|2VULN|1DUR|1SELL	1BBNT|2RCR|3VENICY|45VULN|6SELL|7ASPD|8DUR|9aMDPS
3	13223 41436	   	371.33	ACR|2MDPS|2VULN|1DUR|1SELL	1BBNT|2RCR|35VENICY|45VULN|5BPWR|6SELL|7ASPD|8DUR|9aMDPS
4	13323 12552	 * 	361.98	ACR|2MDPS|2VULN|3DUR|1DMG	1BBNT|2RCR|367DUR|49VULN|5DMG|8aMDPS
5	63323 12552	   	361.98	ACR|2MDPS|2VULN|3DUR|1DMG	1TBNT|2RCR|367DUR|49VULN|5DMG|8aMDPS
6	11253 34433	 * 	358.11	DCR|2MDPS|1VULN|1DUR	1BBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|7BELT|8FEWX|9aMDPS
7	11163 34233	   	358.01	DCR|2MDPS|1VULN|1DUR	1BBNT|2ZMB|3LWND|4LEGI|5DUR|6RCR|7BELT|8VULN|9aMDPS
8	11531 25214	   	358.01	DCR|2MDPS|1VULN|1DUR	1BBNT|2ZMB|3LIT|4AME|5VULN|6RCR|7RAT|8DUR|9aMDPS
9	23313 34233	   	358.01	DCR|2MDPS|1VULN|1DUR	1ZMB|2LEGI|3LWND|4BBNT|5DUR|6RCR|7BELT|8VULN|9aMDPS
10	61163 34233	   	358.01	DCR|2MDPS|1VULN|1DUR	1TBNT|2ZMB|3LWND|4LEGI|5DUR|6RCR|7BELT|8VULN|9aMDPS
11	11253 33321	   	357.91	DCR|2MDPS|1VULN|1DUR	1BBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|79MDPS|8AIRHEA|aDUST
12	11253 33322	   	357.91	DCR|2MDPS|1VULN|1DUR	1BBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|79MDPS|8AIRHEA|aFRZARM
13	11253 33323	   	357.91	DCR|2MDPS|1VULN|1DUR	1BBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|79MDPS|8AIRHEA|aBELT
14	11253 33324	   	357.91	DCR|2MDPS|1VULN|1DUR	1BBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|79MDPS|8AIRHEA|aRMIN
15	11253 33325	   	357.91	DCR|2MDPS|1VULN|1DUR	1BBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|79MDPS|8AIRHEA|aTBNT
16	11253 33326	   	357.91	DCR|2MDPS|1VULN|1DUR	1BBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|79MDPS|8AIRHEA|aFEWX
17	61253 33321	   	357.91	DCR|2MDPS|1VULN|1DUR	1TBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|79MDPS|8AIRHEA|aDUST
18	61253 33322	   	357.91	DCR|2MDPS|1VULN|1DUR	1TBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|79MDPS|8AIRHEA|aFRZARM
19	61253 33323	   	357.91	DCR|2MDPS|1VULN|1DUR	1TBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|79MDPS|8AIRHEA|aBELT
20	61253 33324	   	357.91	DCR|2MDPS|1VULN|1DUR	1TBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|79MDPS|8AIRHEA|aRMIN
21	61253 33325	   	357.91	DCR|2MDPS|1VULN|1DUR	1TBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|79MDPS|8AIRHEA|aBBNT
22	61253 33326	   	357.91	DCR|2MDPS|1VULN|1DUR	1TBNT|2ZMB|3VULN|4LWND|5DUR|6RCR|79MDPS|8AIRHEA|aFEWX
23	13221 15552	 * 	357.10	ACR|2VULN|1MDPS|2CDMG|2DUR|1AART	1BBNT|2RCR|39VENICY|45VULN|6AART|79CDMG|89DUR|9BPWR|aMDPS
24	13221 11143	 * 	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1BBNT|2RCR|3VENICY|458VULN|6AART|7LIT|9DUR|aMDPS
25	13221 11213	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1BBNT|2RCR|3VENICY|459VULN|6AART|7LIT|8DUR|aMDPS
26	13223 11143	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1BBNT|2RCR|35VENICY|458VULN|5BPWR|6AART|7LIT|9DUR|aMDPS
27	13223 11213	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1BBNT|2RCR|35VENICY|459VULN|5BPWR|6AART|7LIT|8DUR|aMDPS
28	13641 11143	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1BBNT|2RCR|358VULN|4TSLFST|6AART|7LIT|9DUR|aMDPS
29	13641 11213	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1BBNT|2RCR|359VULN|4TSLFST|6AART|7LIT|8DUR|aMDPS
30	13643 11143	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1BBNT|2RCR|358VULN|45TSLFST|5BPWR|6AART|7LIT|9DUR|aMDPS
31	13643 11213	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1BBNT|2RCR|359VULN|45TSLFST|5BPWR|6AART|7LIT|8DUR|aMDPS
32	63221 11143	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1TBNT|2RCR|3VENICY|458VULN|6AART|7LIT|9DUR|aMDPS
33	63221 11213	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1TBNT|2RCR|3VENICY|459VULN|6AART|7LIT|8DUR|aMDPS
34	63223 11143	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1TBNT|2RCR|35VENICY|458VULN|5BPWR|6AART|7LIT|9DUR|aMDPS
35	63223 11213	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1TBNT|2RCR|35VENICY|459VULN|5BPWR|6AART|7LIT|8DUR|aMDPS
36	63641 11213	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1TBNT|2RCR|359VULN|4TSLFST|6AART|7LIT|8DUR|aMDPS
37	63643 11213	   	348.48	ACR|3VULN|1MDPS|1DUR|1AART	1TBNT|2RCR|359VULN|45TSLFST|5BPWR|6AART|7LIT|8DUR|aMDPS
38	13221 15562	   	344.55	ACR|2VULN|1MDPS|1CDMG|2DUR|1AART	1BBNT|2RCR|3VENICY|45VULN|6AART|7CDMG|89DUR|aMDPS
39	13223 15562	   	344.55	ACR|2VULN|1MDPS|1CDMG|2DUR|1AART	1BBNT|2RCR|35VENICY|45VULN|5BPWR|6AART|7CDMG|89DUR|aMDPS
40	33521 12255	 * 	343.53	DCR|1MDPS|1VULN|2CDMG|1TLV|1DUR	1ERES|2DMSP|37CDMG|4TLV|5DUR|6LIT|8VULN|9RCR|aMDPS
41	12434 26213	 * 	343.50	DCR|2VULN|1MDPS|2DUR	1BBNT|2LEGI|36VULN|4BOSS|56DUR|6BPWR|7RCR|8AAC|9BASARM|aMDPS
42	12434 26223	   	343.50	DCR|2VULN|1MDPS|2DUR	1BBNT|2LEGI|36VULN|4BOSS|56DUR|6BPWR|7RCR|8AAC|9SPLJET|aMDPS
43	35142 13613	   	343.50	DCR|2VULN|1MDPS|2DUR	1ERES|29VULN|3MLV|4AME|59AEFRZ|6RCR|7ZMB|89DUR|9BPWR|aMDPS
