0	Index      	 *	Score 	Summary	Detail	
1	33235 24423	 * 	284.99	DCR|DCR|2FLTARM|1VULN|1DMG|1DUR	1FEWX|2VULN|3DUR|4RCVC|57FLTARM|6DMG|8RPLT|9aRCR
2	53652 32233	 * 	284.50	DCR|DCR|2VULN|1TLV|1MLV|1DUR	1DUR|23VULN|4BEXP|5FEWX|6TLV|7aRCR|8SPLARM|9MLV
3	56432 42333	 * 	278.26	DCR|DCR|1VULN|2DUR|1DMG|1MLV|1CDMG	15DUR|2CDMG|3BELT|4MBVNT|6aRCR|7DMG|8VULN|9MLV
4	33245 23423	 * 	275.21	DCR|DCR|1VULN|2DUR|1FLTARM|1DMG	1FEWX|2VULN|34DUR|5FLTARM|6DMG|7AEFRZ|8RPLT|9aRCR
5	56432 42213	 * 	274.10	DCR|DCR|3DUR|1VULN|1DMG|1CDMG	158DUR|2CDMG|3BELT|4MBVNT|6aRCR|7DMG|9VULN
6	56432 42313	   	274.10	DCR|DCR|3DUR|1VULN|1DMG|1CDMG	159DUR|2CDMG|3BELT|4MBVNT|6aRCR|7DMG|8VULN
7	13162 52233	   	270.95	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|26VULN|3FEWX|4TLV|56LWND|6BPWR|7aRCR|8SPLARM|9MLV
8	13166 52233	   	270.95	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|26VULN|3FEWX|4TLV|56LHND|6BPWR|7aRCR|8SPLARM|9MLV
9	13162 22233	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|26VULN|3FEWX|4TLV|5LWND|7aRCR|8SPLARM|9MLV
10	13166 22233	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|26VULN|3FEWX|4TLV|5LHND|7aRCR|8SPLARM|9MLV
11	14362 22233	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|2FEWX|36VULN|4TLV|5LWND|7aRCR|8SPLARM|9MLV
12	14366 22233	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|2FEWX|36VULN|4TLV|5LHND|7aRCR|8SPLARM|9MLV
13	34362 22233	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	1FEWX|2BEXP|36VULN|4TLV|5LWND|7aRCR|8SPLARM|9MLV
14	34366 22233	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	1FEWX|2BEXP|36VULN|4TLV|5LHND|7aRCR|8SPLARM|9MLV
15	54512 32233	 * 	270.85	DCR|DCR|1VULN|2DUR|1TLV|1MLV	13DUR|23BEXP|3BPWR|4VULN|5FEWX|6TLV|7aRCR|8SPLARM|9MLV
16	13164 22233	   	270.75	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|26VULN|3FEWX|4TLV|5LEGI|7aRCR|8SPLARM|9MLV
17	13662 32233	   	270.75	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|23VULN|4LEGI|5FEWX|6TLV|7aRCR|8SPLARM|9MLV
18	14364 22233	   	270.75	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|2FEWX|36VULN|4TLV|5LEGI|7aRCR|8SPLARM|9MLV
19	34364 22233	   	270.75	DCR|DCR|2VULN|1TLV|1MLV	1FEWX|2BEXP|36VULN|4TLV|5LEGI|7aRCR|8SPLARM|9MLV
20	13542 32233	   	270.75	DCR|DCR|1VULN|2DUR|1TLV|1MLV	1BEXP|2VULN|3LWND|45DUR|6TLV|7aRCR|8SPLARM|9MLV
21	33542 32233	   	270.75	DCR|DCR|1VULN|2DUR|1TLV|1MLV	1FEWX|2VULN|3LWND|45DUR|6TLV|7aRCR|8SPLARM|9MLV
22	53542 32233	   	270.75	DCR|DCR|1VULN|2DUR|1TLV|1MLV	14DUR|2VULN|3LWND|5FEWX|6TLV|7aRCR|8SPLARM|9MLV
23	26133 21626	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1RAT|27VULN|3TLV|4FRZARM|5RPLT|6TBNT|8DUR|9aRCR
24	26133 25226	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1RAT|28VULN|3TLV|4FRZARM|5RPLT|6TBNT|7DUR|9aRCR
25	13624 11163	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1BEXP|23VULN|4VENTOX|5TLV|6AETHUN|7ERES|8DUR|9aRCR
26	25324 21226	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1RAT|2RPLT|3DUR|4BLAICY|5TLV|6BBNT|78VULN|9aRCR
27	33624 11163	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1FEWX|23VULN|4VENTOX|5TLV|6AETHUN|7ERES|8DUR|9aRCR
28	53633 16121	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1DUR|23VULN|4DLOT|5DMSP|6RCVC|7TLV|8aRCR|9BLASTR
29	33266 13423	 * 	262.75	DCR|DCR|2VULN|1DMG|1DUR	1FEWX|26VULN|3DUR|4MGNSTR|5DMG|7AEFRZ|8RPLT|9aRCR
30	33235 23423	   	262.75	DCR|DCR|1VULN|1FLTARM|1DMG|1DUR	1FEWX|2VULN|3DUR|4RCVC|5FLTARM|6DMG|7AEFRZ|8RPLT|9aRCR
31	53135 23423	   	262.75	DCR|DCR|1VULN|1FLTARM|1DMG|1DUR	1DUR|2VULN|3FEWX|4RCVC|5FLTARM|6DMG|7AEFRZ|8RPLT|9aRCR
32	24263 21251	 * 	262.65	DCR|DCR|1VULN|1TLV|1DMG|1AART	1RAT|2DMG|3VULN|4TLV|5AART|6DUST|7FEWX|8aRCR|9MSLREG
33	51611 52323	 * 	259.17	ACR|DCR|2VULN|2DMG|2DUR	19DUR|2RPLT|3aRCR|4CGEN|5BELT|6RCVC|79VULN|89DMG|9BPWR
34	51621 52323	   	259.07	ACR|DCR|2VULN|2DMG|2DUR	19DUR|2RPLT|3aRCR|4ERES|5BELT|6RCVC|79VULN|89DMG|9BPWR
35	51621 22323	   	258.97	ACR|DCR|2VULN|2DMG|2DUR	19DUR|2RPLT|3aRCR|46ERES|5BELT|79VULN|89DMG|9BPWR
36	12565 23323	 * 	258.82	DCR|DCR|1FLTARM|1TLV|1DMG|1MLV	1BEXP|2TLV|3MLV|4LWND|5FLTARM|6DMG|7AEFBLL|8RPLT|9aRCR
37	32565 23323	   	258.82	DCR|DCR|1FLTARM|1TLV|1DMG|1MLV	1FEWX|2TLV|3MLV|4LWND|5FLTARM|6DMG|7AEFBLL|8RPLT|9aRCR
38	13135 22233	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1BEXP|26VULN|3FEWX|4DUR|5RMIN|7aRCR|8VENFST|9MLV
39	13545 22233	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1BEXP|26VULN|3LWND|4DUR|5RMIN|7aRCR|8VENFST|9MLV
40	14335 22233	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1BEXP|2FEWX|36VULN|4DUR|5RMIN|7aRCR|8VENFST|9MLV
41	33545 22233	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1FEWX|26VULN|3LWND|4DUR|5RMIN|7aRCR|8VENFST|9MLV
42	34335 22233	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	1FEWX|2BEXP|36VULN|4DUR|5RMIN|7aRCR|8VENFST|9MLV
43	53532 32233	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DUR|2VULN|3LWND|4RCVC|5FEWX|6TLV|7aRCR|8SPLARM|9MLV
44	12521 12163	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1BEXP|2TLV|3MLV|4AEFRZ|5TSLARM|6LHND|7VULN|8DUR|9aRCR
45	14333 32233	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1BEXP|2FEWX|3VULN|4DUR|5AEFBLL|6TLV|7aRCR|8SPLARM|9MLV
46	32521 16163	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1FEWX|2TLV|3MLV|4AEFRZ|5TSLARM|6LHND|7VULN|8DUR|9aRCR
47	34333 32233	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1FEWX|2BEXP|3VULN|4DUR|5AEFBLL|6TLV|7aRCR|8SPLARM|9MLV
48	13133 32233	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1BEXP|2VULN|3FEWX|4DUR|5AEFBLL|6TLV|7aRCR|8SPLARM|9MLV
49	12521 52163	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1BEXP|2TLV|3MLV|46AEFRZ|5TSLARM|7VULN|8DUR|9aRCR
50	53612 13236	 * 	257.87	DCR|4VULN|2DUR|1TLV|1DMG	18DUR|2348VULN|5CGEN|6TLV|78RAT|8BPWR|9RCR|aDMG
51	56432 42143	 * 	256.76	DCR|DCR|2DUR|1TLV|1DMG|1CDMG	15DUR|2CDMG|3BELT|4MBVNT|6aRCR|7DMG|8TLV|9LHND
52	26133 21426	   	255.14	DCR|DCR|2VULN|1TLV	1RAT|27VULN|3TLV|4FRZARM|5RPLT|6TBNT|8DUST|9aRCR
53	26133 26226	   	255.14	DCR|DCR|2VULN|1TLV	1RAT|28VULN|3TLV|4FRZARM|5RPLT|6TBNT|7DUST|9aRCR
54	33252 33623	 * 	255.14	DCR|DCR|2VULN|2DUR	1FEWX|27VULN|38DUR|4RPLT|5BASHEA|6ZMB|9aRCR
55	33254 33623	   	255.14	DCR|DCR|2VULN|2DUR	1FEWX|27VULN|38DUR|4RPLT|5SNITOX|6ZMB|9aRCR
