0	Index      	 *	Score 	Summary	Detail	
1	32213 65511	 * 	280.84	DCR|3VULN|3DUR|3MLV|1TLV|1CDMG	127DUR|3RPLT|467MLV|567VULN|67BPWR|8RCR|9TLV|aCDMG
2	33425 31111	 * 	276.40	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2RAT|3DMG|4RMIN|5BBNT|6CDMG|79RCR|8TLV|aVULN
3	22361 33223	 * 	275.07	ACR|DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|3aRCR|469VULN|6BPWR|7DMSP|8DMG
4	22361 35223	   	274.97	ACR|DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|3aRCR|469VULN|6BPWR|7AEPOI|8DMG
5	22361 33243	 * 	270.52	ACR|DCR|2VULN|3DUR|2DMG	1FEWX|256DUR|3aRCR|46VULN|6BPWR|7DMSP|89DMG
6	34361 33243	   	270.52	ACR|DCR|2VULN|3DUR|2DMG	157DUR|26LHND|3aRCR|46VULN|6BPWR|89DMG
7	36311 33243	   	270.52	ACR|DCR|2VULN|3DUR|2DMG	157DUR|26VULN|3aRCR|46LWND|6BPWR|89DMG
8	36331 33243	   	270.52	ACR|DCR|2VULN|3DUR|2DMG	157DUR|26VULN|3aRCR|46LHND|6BPWR|89DMG
9	22361 35243	   	270.42	ACR|DCR|2VULN|3DUR|2DMG	1FEWX|256DUR|3aRCR|46VULN|6BPWR|7AEPOI|89DMG
10	36311 63243	   	270.42	ACR|DCR|2VULN|3DUR|2DMG	157DUR|26VULN|3aRCR|4LWND|89DMG
11	36331 63243	   	270.42	ACR|DCR|2VULN|3DUR|2DMG	157DUR|26VULN|3aRCR|4LHND|89DMG
12	52361 33243	   	270.42	ACR|DCR|2VULN|3DUR|2DMG	1DUST|256DUR|3aRCR|46VULN|6BPWR|7DMSP|89DMG
13	32213 65512	   	267.19	DCR|3VULN|3DUR|3MLV|1TLV	127DUR|3RPLT|467MLV|567VULN|67BPWR|8RCR|9TLV|aLIT
14	32213 65513	   	267.19	DCR|3VULN|3DUR|3MLV|1TLV	127DUR|3RPLT|467MLV|567VULN|67BPWR|8RCR|9TLV|aRCVC
