0	Index      	 *	Score 	Summary	Detail	
1	33532 36215	 * 	288.96	DCR|DCR|2VULN|1FLTARM|1DMG|1DUR	1FEWX|29VULN|3DUR|4CGEN|5ERES|6FLTARM|7aRCR|8DMG
2	23166 83122	 * 	282.15	DCR|DCR|2VULN|1TLV|1DMG	1LHND|2aVULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9ASPD
3	16323 31535	 * 	277.79	DCR|DCR|1VULN|1FLTARM|1TLV|1MLV	1RMIN|2FLTARM|3CGEN|4ASPD|5MLV|6VULN|7DUST|8TLV|9aRCR
4	23166 83111	   	276.30	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC	1LHND|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9DUR|aAAC
5	33166 83111	   	276.30	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC	1FEWX|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9DUR|aAAC
6	16112 32535	   	275.93	DCR|DCR|1VULN|1FLTARM|1TLV|1DUR	1RMIN|2FLTARM|3RCVC|4DUR|5ASPD|6VULN|7LWND|8TLV|9aRCR
7	23332 36215	   	275.31	DCR|DCR|2VULN|1FLTARM|1DMG	1LHND|29VULN|3BEXP|4CGEN|5ERES|6FLTARM|7aRCR|8DMG
8	23362 36215	   	275.31	DCR|DCR|2VULN|1FLTARM|1DMG	1LHND|29VULN|3BEXP|4ERES|5CGEN|6FLTARM|7aRCR|8DMG
9	24212 36215	   	275.31	DCR|DCR|2VULN|1FLTARM|1DMG	1LHND|2BEXP|3ERES|49VULN|5CGEN|6FLTARM|7aRCR|8DMG
10	33332 36215	   	275.31	DCR|DCR|2VULN|1FLTARM|1DMG	1FEWX|29VULN|3BEXP|4CGEN|5ERES|6FLTARM|7aRCR|8DMG
11	34212 36215	   	275.31	DCR|DCR|2VULN|1FLTARM|1DMG	1FEWX|2BEXP|3ERES|49VULN|5CGEN|6FLTARM|7aRCR|8DMG
12	63332 36215	   	275.31	DCR|DCR|2VULN|1FLTARM|1DMG	1LWND|29VULN|3BEXP|4CGEN|5ERES|6FLTARM|7aRCR|8DMG
13	12332 32235	   	275.21	DCR|DCR|2VULN|1TLV|1DMG	1RMIN|26VULN|3DMG|4MDPS|5TLV|7RCVC|8MGNBOS|9aRCR
14	25212 36215	   	275.21	DCR|DCR|2VULN|1FLTARM|1DMG	1LHND|2DUST|3ERES|49VULN|5CGEN|6FLTARM|7aRCR|8DMG
15	35212 36215	   	275.21	DCR|DCR|2VULN|1FLTARM|1DMG	1FEWX|2DUST|3ERES|49VULN|5CGEN|6FLTARM|7aRCR|8DMG
16	12326 83172	   	275.21	DCR|DCR|2VULN|1TLV|1DMG	1RMIN|2aVULN|3DMG|4LWND|5MBVNT|68RCR|7ERES|9TLV
17	12326 86122	   	271.65	DCR|DCR|2VULN|1DMG|1MLV	1RMIN|2aVULN|3DMG|4LWND|5MBVNT|68RCR|7MLV|9ASPD
18	12336 24235	 * 	271.04	DCR|DCR|3VULN|1DMG	1RMIN|256VULN|3DMG|4MDPS|7FLTFST|8ERES|9aRCR
19	33166 83121	   	269.59	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1FEWX|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9ASPD|aDUR
20	53221 42235	   	268.59	DCR|DCR|2VULN|1TLV|2ASPD	13LSRREG|23VULN|3BPWR|48ASPD|5MDPS|6TLV|7ERES|9aRCR
21	16135 33315	 * 	266.79	DCR|DCR|2DMG|1VULN|1FLTARM	1RMIN|2FLTARM|3RCVC|47DMG|59FEWX|6VULN|8aRCR
22	12323 34535	 * 	266.69	DCR|DCR|2DMG|1VULN|1TLV	1RMIN|2VULN|35DMG|4LWND|6FEWX|7FLTFST|8TLV|9aRCR
23	23163 31235	   	266.69	DCR|DCR|2DMG|1VULN|1TLV	1LHND|2VULN|3TLV|45DMG|6FEWX|7RMIN|8MGNBOS|9aRCR
24	63163 31235	   	266.69	DCR|DCR|2DMG|1VULN|1TLV	1LWND|2VULN|3TLV|45DMG|6FEWX|7RMIN|8MGNBOS|9aRCR
25	12313 24535	   	266.59	DCR|DCR|2DMG|1VULN|1TLV	1RMIN|2VULN|35DMG|4DUST|6LHND|7FLTFST|8TLV|9aRCR
26	12333 24235	 * 	266.49	DCR|DCR|2VULN|2DMG	1RMIN|26VULN|35DMG|4MDPS|7FLTFST|8ERES|9aRCR
27	12336 33235	   	266.49	DCR|DCR|2VULN|2DMG	1RMIN|25VULN|37DMG|4MDPS|6AIRBOS|8ERES|9aRCR
28	12326 86111	   	265.81	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	1RMIN|2VULN|3DMG|4LWND|5MBVNT|68RCR|7MLV|9DUR|aAAC
29	12316 86111	   	265.71	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1AAC	1RMIN|2VULN|3DMG|4DUST|5MBVNT|68RCR|7MLV|9DUR|aAAC
30	53513 23215	 * 	265.47	ACR|DCR|2VULN|2TLV|1DMG|1DUR	1LSRREG|26VULN|36TLV|4RMIN|5aRCR|6BPWR|7DUR|8FEWX|9DMG
31	11323 34535	   	265.23	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1RMIN|2TSLFST|3CGEN|4ASPD|5MLV|6VULN|7DUR|8TLV|9aRCR
