0	Index      	 *	Score 	Summary	Detail	
1	12112 11354	 * 	307.45	DCR|DCR|2VULN|2DUR|1FLTARM|1TLV	1TBNT|28DUR|3TLV|47VULN|5MBVNT|69RCR|aFLTARM
2	12112 11154	 * 	305.33	DCR|DCR|2VULN|2TLV|1FLTARM|1DUR	1TBNT|2DUR|38TLV|47VULN|5MBVNT|69RCR|aFLTARM
3	12112 11352	 * 	303.39	DCR|DCR|3VULN|2DUR|1TLV	1TBNT|28DUR|3TLV|47aVULN|5MBVNT|69RCR
4	12112 11152	 * 	301.27	DCR|DCR|3VULN|2TLV|1DUR	1TBNT|2DUR|38TLV|47aVULN|5MBVNT|69RCR
5	14112 11154	   	291.68	DCR|DCR|2VULN|2TLV|1FLTARM	1TBNT|2LWND|38TLV|47VULN|5MBVNT|69RCR|aFLTARM
6	12112 13352	 * 	291.58	DCR|DCR|2VULN|2TLV|2DUR	1TBNT|28DUR|37TLV|4aVULN|5MBVNT|69RCR
7	12112 13354	 * 	291.58	DCR|DCR|2TLV|1VULN|2DUR|1FLTARM	1TBNT|28DUR|37TLV|4VULN|5MBVNT|69RCR|aFLTARM
8	14112 11152	   	287.62	DCR|DCR|3VULN|2TLV	1TBNT|2LWND|38TLV|47aVULN|5MBVNT|69RCR
9	14112 11454	   	281.35	DCR|DCR|2VULN|1FLTARM|1TLV	1TBNT|2LWND|3TLV|47VULN|5MBVNT|69RCR|8DMSP|aFLTARM
10	12112 11351	   	281.25	DCR|DCR|2VULN|2DUR|1TLV	1TBNT|28DUR|3TLV|47VULN|5MBVNT|69RCR|aCGEN
11	12112 11355	   	281.25	DCR|DCR|2VULN|2DUR|1TLV	1TBNT|28DUR|3TLV|47VULN|5MBVNT|69RCR|aFEWX
12	12112 11353	   	281.15	DCR|DCR|2VULN|2DUR|1TLV	1TBNT|28DUR|3TLV|47VULN|5MBVNT|69RCR|aERES
13	12112 11357	   	281.15	DCR|DCR|2VULN|2DUR|1TLV	1TBNT|28DUR|3TLV|47VULN|5MBVNT|69RCR|aBASARM
14	12112 11358	   	281.15	DCR|DCR|2VULN|2DUR|1TLV|1MSE	1TBNT|28DUR|3TLV|47VULN|5MBVNT|69RCR|aMSE
15	12112 11151	   	279.13	DCR|DCR|2VULN|2TLV|1DUR	1TBNT|2DUR|38TLV|47VULN|5MBVNT|69RCR|aCGEN
16	12112 11155	   	279.13	DCR|DCR|2VULN|2TLV|1DUR	1TBNT|2DUR|38TLV|47VULN|5MBVNT|69RCR|aFEWX
17	12112 11153	   	279.03	DCR|DCR|2VULN|2TLV|1DUR	1TBNT|2DUR|38TLV|47VULN|5MBVNT|69RCR|aERES
18	12112 11157	   	279.03	DCR|DCR|2VULN|2TLV|1DUR	1TBNT|2DUR|38TLV|47VULN|5MBVNT|69RCR|aBASARM
19	12112 11158	   	279.03	DCR|DCR|2VULN|2TLV|1DUR|1MSE	1TBNT|2DUR|38TLV|47VULN|5MBVNT|69RCR|aMSE
