0	Index      	 *	Score 	Summary	Detail	
1	42561 12313	 * 	195.43	2VULN|1BASARM|3BEXP|2ASPD|2DMG	19VULN|2LIT|39DMG|4AAC|578BEXP|69ASPD|9BPWR|aBASARM
2	46121 33621	 * 	191.63	DCR|3ASPD|2VULN|2DMG|1BEXP	19VULN|2MLV|369ASPD|4RCVC|5BEXP|7LSRICY|89DMG|9BPWR|aRCR
3	41121 14325	 * 	189.46	DCR|2VULN|2ASPD|2DMG|2BEXP	19VULN|2RCVC|3CGEN|49DMG|56BEXP|7LHND|89ASPD|9BPWR|aRCR
4	22312 53332	 * 	189.02	ACR|3ASPD|3BEXP|1VULN	169BEXP|2aLIT|39aSNIFST|4LHND|5RCR|7VULN|89aASPD|9aBPWR
5	23143 36234	 * 	185.46	DCR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	1BEXP|2NUKE|37ASPD|4VULN|5MDPS|6BASARM|8CGEN|9DMG|aRCR
6	35151 33322	 * 	183.66	DCR|2VULN|1BASARM|2BEXP|2AART	17LIT|26VULN|36BEXP|48AART|5DMSP|6BPWR|9BASARM|aRCR
7	35651 33322	   	183.66	DCR|2VULN|1BASARM|2BEXP|2AART	17LIT|26VULN|38AART|46BEXP|5DMSP|6BPWR|9BASARM|aRCR
8	22343 14115	 * 	181.84	ACR|2ASPD|2BEXP|1VULN|1AART	1aBEXP|2LIT|3aSNIFST|4RCR|5CGEN|6NUKE|7AART|8VULN|9aASPD|aBPWR
9	22343 34116	 * 	181.59	ACR|2VULN|2ASPD|1AART|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|69ASPD|7AART|8aVULN
10	22343 33324	 * 	181.24	ACR|3ASPD|2VULN|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|689ASPD|7aVULN
11	35561 12313	   	180.85	1BASARM|3BEXP|2ASPD|2DMG|1VULN	19LIT|2VULN|39DMG|4AAC|578BEXP|69ASPD|9BPWR|aBASARM
12	22343 34113	 * 	180.80	ACR|2ASPD|2AART|1VULN|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|69ASPD|7aAART|8VULN
13	22225 62343	 * 	179.42	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART	14BEXP|2LIT|3ZMB|5RCR|6MLV|7VULN|8AART|9DMG|aASPD
14	22115 22343	   	179.32	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART	13BEXP|2LIT|4TLV|5RCR|6ZMB|7VULN|8AART|9DMG|aASPD
