0	Index      	 *	Score 	Summary	Detail	
1	11133 56363	 * 	233.63	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1CDMG|1AAC	1ASPD|2RCR|3FEWX|4AART|5DMG|6CDMG|7AAC|8DUST|9BEXP|aBASARM
2	11133 41221	 * 	233.40	ACR|2ASPD|2DMG|2BEXP|2VULN|1AART	18ASPD|2RCR|3FEWX|4AART|58DMG|68BEXP|7LEGI|8BPWR|9aVULN
3	11126 35612	 * 	230.05	ACR|1BASARM|3BEXP|2ASPD|1AAC	16ASPD|2RCR|3FEWX|479BEXP|5AAC|8LHND|aBASARM
4	11133 53661	 * 	229.26	ACR|1BASARM|2ASPD|1DMG|1AART|1CDMG	17ASPD|2RCR|3FEWX|4AART|5DMG|6CDMG|8LIT|9BASARM|aDUST
5	11133 53662	   	229.26	ACR|1BASARM|2ASPD|1DMG|1AART|1CDMG	17ASPD|2RCR|3FEWX|4AART|5DMG|6CDMG|8LIT|9BASARM|aAME
6	11133 53663	   	229.26	ACR|1BASARM|2ASPD|1DMG|1CDMG|1AART	17ASPD|2RCR|3FEWX|4AART|5DMG|6CDMG|8LIT|9BASARM|aERES
7	11133 41251	 * 	229.10	ACR|3DMG|2ASPD|2BEXP|1AART	18ASPD|2RCR|3FEWX|4AART|589DMG|68BEXP|7LEGI|8BPWR|aLHND
8	11133 41252	   	229.10	ACR|3DMG|2ASPD|2BEXP|1AART	18ASPD|2RCR|3FEWX|4AART|589DMG|68BEXP|7LEGI|8BPWR|aDUR
9	11133 41253	   	229.10	ACR|3DMG|2ASPD|2BEXP|1AART	18ASPD|2RCR|3FEWX|4AART|589DMG|68BEXP|7LEGI|8BPWR|aRCVC
10	11133 41254	   	229.10	ACR|3DMG|2ASPD|2BEXP|1AART	18ASPD|2RCR|3FEWX|4AART|589DMG|68BEXP|7LEGI|8BPWR|aRMIN
11	11133 41255	   	229.00	ACR|3DMG|2ASPD|2BEXP|1AART	18ASPD|2RCR|3FEWX|4AART|589DMG|68BEXP|7LEGI|8BPWR|aSNITOX
12	11232 43161	 * 	226.34	ACR|3ASPD|1BASARM|1AART|1AAC	147ASPD|2RCR|3MSLREG|5VULN|6AART|8AAC|9MSLFST|aBASARM
13	11216 21531	   	224.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	19aASPD|2RCR|3MSLREG|4LIT|5BEXP|6CDMG|7ZMB|8BASARM
14	11216 24531	   	224.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	19aASPD|2RCR|3MSLREG|4LIT|5BEXP|6CDMG|7RMIN|8BASARM
15	11136 41241	   	224.23	ACR|1BASARM|2ASPD|2BEXP|1AART	18ASPD|2RCR|3FEWX|4AART|58MLV|68BEXP|7LEGI|8BPWR|9BASARM|aCGEN
16	11136 41243	   	224.23	ACR|1BASARM|2ASPD|2BEXP|1AART	18ASPD|2RCR|3FEWX|4AART|58MLV|68BEXP|7LEGI|8BPWR|9BASARM|aLHND
17	11135 53113	   	222.84	ACR|1BASARM|2ASPD|1BEXP|1AART|1CDMG	17ASPD|2RCR|3FEWX|4AART|5LWND|6DUST|8BEXP|9CDMG|aBASARM
18	11216 21534	   	222.84	ACR|1BASARM|2ASPD|1BEXP|1AART|1CDMG	19ASPD|2RCR|3MSLREG|4LIT|5BEXP|6CDMG|7ZMB|8BASARM|aAART
19	11421 31225	 * 	222.67	ACR|3ASPD|3BEXP|1DMG|1AART	19aASPD|2RCR|3aERES|49AEMAG|5DMG|6LWND|7AART|89aBEXP|9aBPWR
20	11133 42215	 * 	222.67	ACR|3DMG|2AART|1ASPD|1CDMG|1BEXP	1ASPD|2RCR|3FEWX|47AART|58aDMG|6BEXP|9CDMG
21	11151 35224	 * 	222.15	ACR|1BASARM|2ASPD|3VULN|1AAC|1SELL	17ASPD|2RCR|37FEWX|4SELL|578VULN|6AAC|7BPWR|9ZMB|aBASARM
22	11133 42213	 * 	221.86	ACR|2DMG|2BEXP|2AART|1ASPD|1CDMG	1ASPD|2RCR|3FEWX|47AART|58DMG|6aBEXP|9CDMG
23	11322 33315	   	221.55	ACR|2ASPD|2DMG|2BEXP|1CDMG|1AAC	19ASPD|2RCR|34AEMAG|5AAC|69DMG|79BEXP|8MDPS|9BPWR|aCDMG
24	11133 52423	 * 	220.57	ACR|3ASPD|2DMG|2CDMG|1AART	18aASPD|2RCR|3FEWX|4AART|58DMG|68CDMG|7RPLT|8BPWR|9LSRICY
25	11133 41211	   	220.38	ACR|2ASPD|2DMG|2BEXP|1AART	18ASPD|2RCR|3FEWX|4AART|58DMG|68BEXP|7LEGI|8BPWR|9DUR|aVULN
26	11133 41222	   	220.38	ACR|2ASPD|2DMG|2BEXP|1AART	18ASPD|2RCR|3aFEWX|4AART|58DMG|68BEXP|7LEGI|8BPWR|9VULN
27	11133 41223	   	220.38	ACR|2ASPD|2DMG|2BEXP|1AART	18ASPD|2RCR|3FEWX|4AART|58DMG|68BEXP|7LEGI|8BPWR|9VULN|aLIT
28	11133 41226	   	220.28	ACR|2ASPD|2DMG|2BEXP|1AART	18ASPD|2RCR|3FEWX|4AART|58DMG|68BEXP|7LEGI|8BPWR|9VULN|aMDPS
29	11133 56353	   	219.98	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART|1AAC	1ASPD|2RCR|3FEWX|4AART|5DMG|6CDMG|7AAC|8DUST|9DUR|aBASARM
