0	Index      	 *	Score 	Summary	Detail	
1	22513 36431	 * 	201.53	ACR|2VULN|2ASPD|1DMG|1AART|1CDMG	17VULN|2CGEN|37LIT|47ASPD|5RCR|6RPLT|7BPWR|8DMG|9CDMG|aAART
2	22513 13623	 * 	196.69	ACR|1BASARM|2ASPD|1VULN|1AART	1VULN|2CGEN|3LIT|49ASPD|5RCR|6AART|7MDPS|8AAC|aBASARM
3	24111 33342	 * 	195.49	ACR|2VULN|2ASPD|2BEXP|1DMG	19VULN|2FEWX|39BEXP|4DUST|5RCR|6AEFBLL|7MDPS|89ASPD|9BPWR|aDMG
4	21332 22261	 * 	195.47	ACR|2VULN|1BASARM|1ASPD|1DMG	12VULN|3LHND|4AIRHEL|5RCR|6DMG|7ASPD|8CGEN|9RPLT|aBASARM
5	23232 22261	   	195.47	ACR|2VULN|1BASARM|1ASPD|1DMG	13VULN|2LHND|4AIRHEL|5RCR|6DMG|7ASPD|8CGEN|9RPLT|aBASARM
6	21332 21653	 * 	195.06	ACR|3VULN|3DMG|1AART	127VULN|3LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aLIT
7	21332 21654	   	195.06	ACR|3VULN|3DMG|1AART	127VULN|3LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aBELT
8	23232 21653	   	195.06	ACR|3VULN|3DMG|1AART	137VULN|2LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aLIT
9	23232 21654	   	195.06	ACR|3VULN|3DMG|1AART	137VULN|2LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aBELT
10	21332 21651	   	194.96	ACR|3VULN|3DMG|1AART	127VULN|3LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aDUST
11	21332 21652	   	194.96	ACR|3VULN|3DMG|1AART	127VULN|3LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aERES
12	21332 21655	   	194.96	ACR|3VULN|3DMG|1AART	127VULN|3LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aMDPS
13	23232 21651	   	194.96	ACR|3VULN|3DMG|1AART	137VULN|2LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aDUST
14	23232 21652	   	194.96	ACR|3VULN|3DMG|1AART	137VULN|2LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aERES
15	23232 21655	   	194.96	ACR|3VULN|3DMG|1AART	137VULN|2LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aMDPS
16	21332 22145	 * 	193.01	ACR|3VULN|2ASPD|1DMG|1BEXP	128VULN|3LHND|4AIRHEL|5RCR|6DMG|79ASPD|aBEXP
17	23232 22145	   	193.01	ACR|3VULN|2ASPD|1DMG|1BEXP	138VULN|2LHND|4AIRHEL|5RCR|6DMG|79ASPD|aBEXP
18	21332 22166	 * 	192.29	ACR|3VULN|1ASPD|1DMG|1BEXP|1AART	128VULN|3LHND|4AIRHEL|5RCR|6DMG|7ASPD|9AART|aBEXP
19	23232 22166	   	192.29	ACR|3VULN|1ASPD|1DMG|1BEXP|1AART	138VULN|2LHND|4AIRHEL|5RCR|6DMG|7ASPD|9AART|aBEXP
20	22513 15153	 * 	191.66	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2CGEN|3LIT|4ASPD|5RCR|6AART|7BEXP|8RMIN|9DUR|aBASARM
21	22513 11643	   	191.56	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2CGEN|3LIT|4ASPD|5RCR|6AART|7DUST|8BEXP|9ZMB|aBASARM
22	22513 15123	   	191.56	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2CGEN|3LIT|4ASPD|5RCR|6AART|7BEXP|8RMIN|9LEGI|aBASARM
23	22513 15243	   	191.56	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2CGEN|3LIT|4ASPD|5RCR|6AART|7BEXP|8DUST|9ZMB|aBASARM
24	22513 15523	   	191.46	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2CGEN|3LIT|4ASPD|5RCR|6AART|7BEXP|8AAC|9LEGI|aBASARM
25	23111 33341	 * 	191.42	ACR|2VULN|2ASPD|2BEXP|1AART	19VULN|2LHND|39BEXP|4DUST|5RCR|6AEFBLL|7MDPS|89ASPD|9BPWR|aAART
26	21332 22163	 * 	190.74	ACR|4VULN|1ASPD|1DMG|1AART	128aVULN|3LHND|4AIRHEL|5RCR|6DMG|7ASPD|9AART
27	23232 22163	   	190.74	ACR|4VULN|1ASPD|1DMG|1AART	138aVULN|2LHND|4AIRHEL|5RCR|6DMG|7ASPD|9AART
28	34152 22113	 * 	190.03	ACR|1BASARM|2BEXP|1VULN|1DMG	13BEXP|2FEWX|4MSLFST|5RCR|6DMG|7VULN|8CGEN|9ERES|aBASARM
29	22513 15432	 * 	188.57	ACR|2VULN|2AART|1ASPD|1CDMG|1BEXP	1aVULN|2CGEN|3LIT|4ASPD|5RCR|69AART|7BEXP|8CDMG
30	21332 21243	 * 	187.76	ACR|3VULN|2DMG|1ASPD|1AAC	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9ASPD|aAAC
31	21332 21543	   	187.76	ACR|3VULN|2DMG|1ASPD|1AAC	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9ASPD|aAAC
32	23232 21243	   	187.76	ACR|3VULN|2DMG|1ASPD|1AAC	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9ASPD|aAAC
33	23232 21543	   	187.76	ACR|3VULN|2DMG|1ASPD|1AAC	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9ASPD|aAAC
34	21332 22146	   	187.66	ACR|3VULN|2ASPD|1DMG|1AAC	128VULN|3LHND|4AIRHEL|5RCR|6DMG|79ASPD|aAAC
35	23232 22146	   	187.66	ACR|3VULN|2ASPD|1DMG|1AAC	138VULN|2LHND|4AIRHEL|5RCR|6DMG|79ASPD|aAAC
36	11332 22261	   	187.18	ACR|1BASARM|1VULN|1ASPD|1DMG	1RCVC|2VULN|3LHND|4AIRHEL|5RCR|6DMG|7ASPD|8CGEN|9RPLT|aBASARM
37	32152 24252	 * 	186.78	ACR|3BEXP|2VULN|1ASPD|1DMG	138BEXP|2LWND|4MSLFST|5RCR|6DMG|7ASPD|9aVULN
38	21332 21212	 * 	186.69	ACR|3VULN|2DMG|1CDMG|1BEXP	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9BEXP|aCDMG
39	21332 21512	   	186.69	ACR|3VULN|2DMG|1BEXP|1CDMG	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9BEXP|aCDMG
40	23232 21212	   	186.69	ACR|3VULN|2DMG|1CDMG|1BEXP	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9BEXP|aCDMG
41	23232 21512	   	186.69	ACR|3VULN|2DMG|1BEXP|1CDMG	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9BEXP|aCDMG
42	21332 21316	   	186.59	ACR|3VULN|2DMG|1BEXP|1CDMG	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8CDMG|9VENICY|aBEXP
43	21332 21336	   	186.59	ACR|3VULN|2DMG|1BEXP|1CDMG	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8CDMG|9MULARM|aBEXP
44	23232 21316	   	186.59	ACR|3VULN|2DMG|1BEXP|1CDMG	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8CDMG|9VENICY|aBEXP
45	23232 21336	   	186.59	ACR|3VULN|2DMG|1BEXP|1CDMG	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8CDMG|9MULARM|aBEXP
46	22513 15412	 * 	185.98	ACR|3VULN|1ASPD|1CDMG|1BEXP|1AART	19aVULN|2CGEN|3LIT|4ASPD|5RCR|6AART|7BEXP|8CDMG
47	22513 13663	   	185.66	ACR|1BASARM|1VULN|1ASPD|1AART|2AAC	1VULN|2CGEN|3LIT|4ASPD|5RCR|6AART|7MDPS|89AAC|aBASARM
48	11332 21653	   	185.16	ACR|2VULN|3DMG|1AART	1RCVC|27VULN|3LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aLIT
49	11332 21654	   	185.16	ACR|2VULN|3DMG|1AART	1RCVC|27VULN|3LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aBELT
50	22355 32316	 * 	185.13	ACR|2VULN|1BASARM|1AART|1CDMG	14VULN|2CGEN|3CDMG|5RCR|6RPLT|7AART|8DUR|9BELT|aBASARM
51	11332 21651	   	185.06	ACR|2VULN|3DMG|1AART	1RCVC|27VULN|3LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aDUST
52	11332 21652	   	185.06	ACR|2VULN|3DMG|1AART	1RCVC|27VULN|3LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aERES
53	11332 21655	   	185.06	ACR|2VULN|3DMG|1AART	1RCVC|27VULN|3LHND|47AIRHEL|5RCR|678DMG|7BPWR|9AART|aMDPS
