0	Index      	 *	Score 	Summary	Detail	
1	52322 41263	 * 	223.11	ACR|1BASARM|2VULN|2AART|1ASPD|1AAC	1MDPS|2ASPD|3CGEN|4aVULN|5RCR|6AAC|7BASARM|89AART
2	52322 41253	   	218.31	ACR|1BASARM|2VULN|1ASPD|1AART|1BEXP|1AAC	1MDPS|2ASPD|3CGEN|4aVULN|5RCR|6AAC|7BASARM|8AART|9BEXP
3	56232 21531	 * 	217.36	ACR|3VULN|3DMG|2ASPD	1MDPS|23aVULN|4LWND|5RCR|6RPLT|78aDMG|9aASPD|aBPWR
4	35631 32116	 * 	211.21	ACR|1BASARM|2BEXP|1DMG|1VULN|1AART	14MLV|2AEMAG|38BEXP|5RCR|6DMG|7BASARM|9AART|aVULN
5	35641 32111	   	210.20	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1MLV|2AEMAG|38BEXP|4RCVC|5RCR|6DMG|7BASARM|9AART|aCDMG
6	52322 41261	   	208.48	ACR|1BASARM|2AART|1VULN|1ASPD|1AAC	1MDPS|2ASPD|3CGEN|4VULN|5RCR|6AAC|7BASARM|89AART|aLHND
7	52322 41262	   	208.48	ACR|1BASARM|2AART|1VULN|1ASPD|1AAC	1MDPS|2ASPD|3CGEN|4VULN|5RCR|6AAC|7BASARM|89AART|aLIT
8	35631 32111	   	207.09	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	14MLV|2AEMAG|38BEXP|5RCR|6DMG|7BASARM|9AART|aCDMG
9	56232 21131	 * 	206.01	ACR|4VULN|2ASPD|2DMG	1MDPS|238aVULN|4LWND|5RCR|6RPLT|7aDMG|9aASPD|aBPWR
10	52322 41251	   	205.68	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1AAC	1MDPS|2ASPD|3CGEN|4VULN|5RCR|6AAC|7BASARM|8AART|9BEXP|aLIT
11	52322 41252	   	205.58	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1AAC	1MDPS|2ASPD|3CGEN|4VULN|5RCR|6AAC|7BASARM|8AART|9BEXP|aAIRHEL
12	35661 32133	 * 	204.83	ACR|1BASARM|3BEXP|1DMG|1VULN	1MLV|2AEMAG|348BEXP|5RCR|6DMG|7BASARM|9RPLT|aVULN
13	52322 41223	   	204.66	ACR|1BASARM|2VULN|1ASPD|1AART|1AAC	1MDPS|2ASPD|3CGEN|4aVULN|5RCR|6AAC|7BASARM|8AART|9DUR
14	52322 41243	   	204.66	ACR|1BASARM|2VULN|1ASPD|1AART|1AAC	1MDPS|2ASPD|3CGEN|4aVULN|5RCR|6AAC|7BASARM|8AART|9DMSP
15	52322 41341	   	201.68	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1MDPS|2ASPD|3CGEN|4VULN|5RCR|6AAC|7BASARM|8CDMG|9BEXP|aRMIN
16	52322 41352	   	201.68	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1MDPS|2ASPD|39CGEN|4VULN|5RCR|6AAC|7BASARM|8CDMG|aBEXP
17	52322 41343	   	201.58	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1MDPS|2ASPD|3CGEN|4VULN|5RCR|6AAC|7BASARM|8CDMG|9BEXP|aLEGI
18	52322 41363	   	199.56	ACR|1BASARM|2VULN|1ASPD|1CDMG|1AAC	1MDPS|2ASPD|3CGEN|4aVULN|5RCR|6AAC|7BASARM|8CDMG|9MSLREG
19	35661 32213	 * 	199.16	ACR|1BASARM|2BEXP|1ASPD|1DMG	1MLV|2AEMAG|34BEXP|5RCR|6DMG|7BASARM|8LWND|9ASPD|aRCVC
20	56232 21431	   	198.70	ACR|3VULN|2ASPD|2DMG	1MDPS|23aVULN|48LWND|5RCR|6RPLT|7aDMG|9aASPD|aBPWR
21	35661 32211	   	197.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1MLV|2AEMAG|34BEXP|5RCR|6DMG|7BASARM|8LWND|9ASPD|aDUR
22	35661 32212	   	197.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1MLV|2AEMAG|34BEXP|5RCR|6DMG|7BASARM|8LWND|9ASPD|aCGEN
23	35641 32113	   	196.55	ACR|1BASARM|2BEXP|1DMG|1AART	1MLV|2AEMAG|38BEXP|4RCVC|5RCR|6DMG|7BASARM|9AART|aCGEN
24	35641 32112	   	196.45	ACR|1BASARM|2BEXP|1DMG|1AART	1MLV|2AEMAG|38BEXP|4RCVC|5RCR|6DMG|7BASARM|9AART|aTLV
25	35631 32136	 * 	195.28	ACR|1BASARM|2DMG|2BEXP	14MLV|2AEMAG|38BEXP|5RCR|6aDMG|7BASARM|9AEFBLL
26	35661 32323	   	194.86	ACR|1BASARM|2BEXP|1DMG|1VULN	1MLV|2AEMAG|34BEXP|5RCR|6DMG|7BASARM|8RMIN|9VULN|aRCVC
27	51242 21531	   	194.83	ACR|3DMG|2ASPD|1VULN	1MDPS|2aLWND|3VULN|4RCVC|5RCR|6RPLT|78aDMG|9aASPD|aBPWR
