0	Index      	 *	Score 	Summary	Detail	
1	56632 22122	 * 	205.64	ACR|3ASPD|2DMG|2BEXP	138MLV|23aASPD|3aBPWR|4RCR|5CGEN|6aBEXP|7aDMG|9RPLT
2	25136 21234	 * 	191.08	ACR|3DMG|2BEXP|2BASICY	1ERES|28aDMG|3ZMB|4AEFBLL|5RCR|6aBEXP|7DUST|9aBASICY|aBPWR
3	55633 11111	 * 	190.88	ACR|2DMG|2VULN|1ASPD|1BEXP|1CDMG	13MLV|23DMG|3BPWR|4RCR|5aVULN|6BEXP|7CDMG|8ASPD|9DUST
4	55633 21111	   	190.88	ACR|2DMG|2VULN|1ASPD|1BEXP|1CDMG	13MLV|23DMG|3BPWR|4RCR|5aVULN|6CDMG|7BEXP|8ASPD|9DUST
5	56633 11133	   	187.20	ACR|3ASPD|1AART|1BEXP|1CDMG|1VULN	13MLV|238ASPD|3BPWR|4RCR|5VULN|6BEXP|7CDMG|9LIT|aAART
6	56633 21133	   	187.20	ACR|3ASPD|1AART|1BEXP|1CDMG|1VULN	13MLV|238ASPD|3BPWR|4RCR|5VULN|6CDMG|7BEXP|9LIT|aAART
7	25136 21334	 * 	186.69	ACR|3BEXP|2DMG|2BASICY	1ERES|2aDMG|3ZMB|4AEFBLL|5RCR|68aBEXP|7DUST|9aBASICY|aBPWR
8	56633 11121	 * 	186.57	ACR|3ASPD|2VULN|1BEXP|1CDMG	13MLV|238ASPD|3BPWR|4RCR|5aVULN|6BEXP|7CDMG|9ZMB
9	56633 21121	   	186.57	ACR|3ASPD|2VULN|1BEXP|1CDMG	13MLV|238ASPD|3BPWR|4RCR|5aVULN|6CDMG|7BEXP|9ZMB
10	56633 11111	   	186.47	ACR|3ASPD|2VULN|1BEXP|1CDMG	13MLV|238ASPD|3BPWR|4RCR|5aVULN|6BEXP|7CDMG|9ERES
11	56633 21111	   	186.47	ACR|3ASPD|2VULN|1BEXP|1CDMG	13MLV|238ASPD|3BPWR|4RCR|5aVULN|6CDMG|7BEXP|9ERES
12	55633 11132	   	186.26	ACR|2DMG|1ASPD|1CDMG|1BEXP|1AAC|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6BEXP|7CDMG|8ASPD|9CGEN|aAAC
13	55633 21132	   	186.26	ACR|2DMG|1ASPD|1CDMG|1BEXP|1AAC|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6CDMG|7BEXP|8ASPD|9CGEN|aAAC
14	55633 11122	   	186.16	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6BEXP|7CDMG|8ASPD|9AME|aAAC
15	55633 21122	   	186.16	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6CDMG|7BEXP|8ASPD|9AME|aAAC
16	56632 21223	   	185.75	ACR|2ASPD|2BEXP|1DMG|1CDMG	13MLV|23ASPD|3BPWR|4RCR|5CGEN|69BEXP|7DUST|8DMG|aCDMG
17	56633 23142	 * 	184.75	ACR|3ASPD|3VULN|1CDMG	13MLV|238ASPD|3BPWR|4RCR|59aVULN|6CDMG|7MBVNT
18	66132 21136	 * 	183.40	DCR|1BASARM|2BEXP|2VULN|1AART|1CDMG|1AAC	1LWND|2AART|35BEXP|4CDMG|67VULN|8AAC|9BASARM|aRCR
19	55632 22211	   	181.54	ACR|3DMG|2BEXP|1CDMG	138MLV|237DMG|38BPWR|4RCR|58CGEN|68BEXP|9AME|aCDMG
20	55633 11312	   	181.04	ACR|2DMG|2BEXP|1CDMG|1AAC|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|68BEXP|7CDMG|9LHND|aAAC
21	55633 21312	   	181.04	ACR|2DMG|2BEXP|1CDMG|1AAC|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6CDMG|78BEXP|9LHND|aAAC
22	56633 11212	   	181.04	ACR|2ASPD|2BEXP|1CDMG|1AAC|1VULN	13MLV|23ASPD|3BPWR|4RCR|5VULN|68BEXP|7CDMG|9LHND|aAAC
23	56633 21212	   	181.04	ACR|2ASPD|2BEXP|1CDMG|1AAC|1VULN	13MLV|23ASPD|3BPWR|4RCR|5VULN|6CDMG|78BEXP|9LHND|aAAC
24	55633 11332	   	180.94	ACR|2DMG|2BEXP|1CDMG|1AAC|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|68BEXP|7CDMG|9DUST|aAAC
25	55633 21332	   	180.94	ACR|2DMG|2BEXP|1CDMG|1AAC|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6CDMG|78BEXP|9DUST|aAAC
26	56633 11232	   	180.94	ACR|2ASPD|2BEXP|1CDMG|1AAC|1VULN	13MLV|23ASPD|3BPWR|4RCR|5VULN|68BEXP|7CDMG|9DUST|aAAC
27	56633 21232	   	180.94	ACR|2ASPD|2BEXP|1CDMG|1AAC|1VULN	13MLV|23ASPD|3BPWR|4RCR|5VULN|6CDMG|78BEXP|9DUST|aAAC
28	56633 23134	   	179.86	ACR|3ASPD|1DMG|1CDMG|1VULN	13MLV|238ASPD|3BPWR|4RCR|5VULN|6CDMG|7MBVNT|9LIT|aDMG
29	55633 32232	 * 	179.80	ACR|3DMG|3VULN|1AAC	138MLV|236DMG|368BPWR|4RCR|568VULN|78ZMB|9LHND|aAAC
30	56633 32232	   	179.80	ACR|3ASPD|3VULN|1AAC	138MLV|236ASPD|368BPWR|4RCR|568VULN|78ZMB|9LHND|aAAC
31	55633 31121	 * 	179.43	ACR|3DMG|2VULN|1ASPD	13MLV|236DMG|36BPWR|4RCR|56VULN|7DUR|8LWND|9ASPD|aRCVC
32	55633 31123	   	179.43	ACR|3DMG|2VULN|1ASPD	13MLV|236DMG|36BPWR|4RCR|56VULN|7DUR|8LWND|9ASPD|aRPLT
33	56633 31121	 * 	179.43	ACR|3ASPD|2VULN|1DMG	13MLV|236ASPD|36BPWR|4RCR|56VULN|7DUR|8LWND|9DMG|aRCVC
34	56633 31123	   	179.43	ACR|3ASPD|2VULN|1DMG	13MLV|236ASPD|36BPWR|4RCR|56VULN|7DUR|8LWND|9DMG|aRPLT
35	55633 31122	   	179.33	ACR|3DMG|2VULN|1ASPD	13MLV|236DMG|36BPWR|4RCR|56VULN|7DUR|8LWND|9ASPD|aDUST
36	55633 31322	   	179.33	ACR|3DMG|2VULN|1ASPD	13MLV|236DMG|36BPWR|4RCR|56VULN|7DUR|8MDPS|9CGEN|aASPD
37	56633 31122	   	179.33	ACR|3ASPD|2VULN|1DMG	13MLV|236ASPD|36BPWR|4RCR|56VULN|7DUR|8LWND|9DMG|aDUST
