0	Index      	 *	Score 	Summary	Detail	
1	32461 31362	 * 	211.81	ACR|1BASARM|3BEXP|1ASPD|1AART	1LWND|23aBEXP|4RCR|5DUR|6LHND|7AART|8ASPD|9BASARM
2	22466 22111	 * 	209.26	ACR|3BEXP|2ASPD|2DMG|1AAC	1LHND|237BEXP|4RCR|58DMG|69ASPD|aAAC
3	22465 33312	 * 	209.19	ACR|1BASARM|2VULN|2BEXP|1ASPD	1LHND|23BEXP|4RCR|5LIT|6AME|7ASPD|89VULN|aBASARM
4	32465 33312	   	209.19	ACR|1BASARM|2VULN|2BEXP|1ASPD	1LWND|23BEXP|4RCR|5LIT|6AME|7ASPD|89VULN|aBASARM
5	22466 21213	 * 	204.16	ACR|1BASARM|2BEXP|1ASPD|1DMG	1LHND|23BEXP|4RCR|5DMG|6ASPD|7CGEN|8DUST|9BASARM|aRCVC
6	32466 13211	   	202.96	ACR|1BASARM|2BEXP|1ASPD|1DMG	1aLWND|23BEXP|4RCR|5DMG|6LHND|7ASPD|8MLV|9BASARM
7	22466 21211	   	202.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1LHND|23BEXP|4RCR|5DMG|6ASPD|7CGEN|8DUST|9BASARM|aLWND
8	22466 21212	   	202.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1LHND|23BEXP|4RCR|5DMG|6ASPD|7aCGEN|8DUST|9BASARM
9	32466 11311	   	202.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1aLWND|23BEXP|4RCR|5DMG|6LHND|7TLV|8ASPD|9BASARM
10	32466 13212	   	202.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1LWND|23BEXP|4RCR|5DMG|6LHND|7ASPD|8MLV|9BASARM|aMDPS
11	32466 13213	   	202.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1LWND|23BEXP|4RCR|5DMG|6LHND|7ASPD|8MLV|9BASARM|aAIRHEL
12	32466 11312	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1LWND|23BEXP|4RCR|5DMG|6LHND|7TLV|8ASPD|9BASARM|aMDPS
13	32466 11313	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1LWND|23BEXP|4RCR|5DMG|6LHND|7TLV|8ASPD|9BASARM|aAIRHEL
14	32466 23213	 * 	201.31	ACR|3ASPD|2BEXP|1DMG|1CDMG	1LWND|23BEXP|4RCR|5DMG|6SPLARM|78aASPD|9CDMG
15	22466 22113	   	200.96	ACR|3BEXP|2ASPD|2DMG	1LHND|237BEXP|4RCR|58DMG|69ASPD|aCGEN
16	32461 31363	   	200.54	ACR|1BASARM|2BEXP|1ASPD|1AART	1aLWND|23BEXP|4RCR|5DUR|6LHND|7AART|8ASPD|9BASARM
17	32461 31361	   	200.44	ACR|1BASARM|2BEXP|1ASPD|1AART	1LWND|23BEXP|4RCR|5DUR|6LHND|7AART|8ASPD|9BASARM|aERES
18	22466 22131	   	193.28	ACR|3BEXP|2DMG|1ASPD|1AAC	1LHND|237BEXP|4RCR|58DMG|6ASPD|9RCVC|aAAC
19	15324 24213	 * 	192.26	ACR|3ASPD|1BASARM|1AAC	14DUR|2AAC|3CGEN|5RCR|678ASPD|9BASARM|aRCVC
20	22466 22121	   	191.67	ACR|3BEXP|2DMG|1ASPD|1AAC	1LHND|237BEXP|4RCR|58DMG|6ASPD|9AAC|aZMB
21	22466 22122	   	191.67	ACR|3BEXP|2DMG|1ASPD|1AAC	1LHND|237BEXP|4RCR|58DMG|6ASPD|9AAC|aLWND
22	32462 41111	   	191.67	ACR|3BEXP|2ASPD|1DMG|1AAC	16LWND|235BEXP|4RCR|7DMG|89ASPD|aAAC
23	32463 61111	   	191.67	ACR|3BEXP|2ASPD|1DMG|1AAC	15LWND|236BEXP|4RCR|7DMG|89ASPD|aAAC
24	22466 22123	   	191.57	ACR|3BEXP|2DMG|1ASPD|1AAC	1LHND|237BEXP|4RCR|58DMG|6ASPD|9AAC|aERES
25	32466 12211	   	191.20	ACR|1BASARM|2BEXP|1DMG|1AAC	1aLWND|23BEXP|4RCR|5DMG|6LHND|7AAC|8MLV|9BASARM
26	32466 12212	   	191.10	ACR|1BASARM|2BEXP|1DMG|1AAC	1LWND|23BEXP|4RCR|5DMG|6LHND|7AAC|8MLV|9BASARM|aMDPS
27	32466 12213	   	191.10	ACR|1BASARM|2BEXP|1DMG|1AAC	1LWND|23BEXP|4RCR|5DMG|6LHND|7AAC|8MLV|9BASARM|aAIRHEL
28	15324 24211	   	190.95	ACR|3ASPD|1BASARM|1AAC	14DUR|2AAC|3CGEN|5RCR|678ASPD|9BASARM|aLWND
29	15324 24212	   	190.95	ACR|3ASPD|1BASARM|1AAC	14DUR|2AAC|3aCGEN|5RCR|678ASPD|9BASARM
30	42461 31333	 * 	190.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1VULN|23BEXP|4RCR|5DUR|6LHND|7AART|8ASPD|9AEMAG|aDMG
31	22461 53321	 * 	189.93	ACR|2BEXP|1DMG|1BASICY|1AART|1VULN	1LHND|23BEXP|4RCR|5DUR|6BASICY|7AART|8RPLT|9DMG|aVULN
32	32461 53321	   	189.93	ACR|2BEXP|1DMG|1BASICY|1AART|1VULN	1LWND|23BEXP|4RCR|5DUR|6BASICY|7AART|8RPLT|9DMG|aVULN
33	32466 13322	 * 	189.87	ACR|2ASPD|2BEXP|1DMG|1VULN	1LWND|23BEXP|4RCR|5DMG|6LHND|78ASPD|9ZMB|aVULN
34	32466 13312	   	189.77	ACR|2ASPD|2BEXP|1DMG|1VULN	1LWND|23BEXP|4RCR|5DMG|6LHND|78ASPD|9ERES|aVULN
35	13566 22113	 * 	189.56	ACR|2VULN|2ASPD|1DMG|1CDMG	17DUR|27VULN|3AEMAG|4RCR|5DMG|67FLTARM|7BPWR|8aASPD|9CDMG
36	32466 23222	   	189.49	ACR|2ASPD|2DMG|2BEXP	1LWND|23BEXP|4RCR|5aDMG|6SPLARM|78ASPD|9ERES
37	13662 31234	 * 	188.82	ACR|1BASARM|1VULN|1ASPD|1AART	13DUR|2VULN|4RCR|5MLV|6RPLT|7BASARM|8AART|9LHND|aASPD
38	13662 31243	 * 	188.82	ACR|1BASARM|1VULN|1DMG|1AART	139DUR|2VULN|4RCR|5MLV|6RPLT|7BASARM|8AART|aDMG
39	22464 13233	 * 	188.76	ACR|1BASARM|3BEXP|1VULN	1LHND|237BEXP|4RCR|5RPLT|6ERES|8VULN|9FEWX|aBASARM
40	32464 13233	   	188.76	ACR|1BASARM|3BEXP|1VULN	1LWND|237BEXP|4RCR|5RPLT|6ERES|8VULN|9FEWX|aBASARM
41	32465 23221	   	188.76	ACR|1BASARM|3BEXP|1VULN	1LWND|23aBEXP|4RCR|5LIT|6VULN|7MLV|8AME|9BASARM
42	13562 31234	   	188.72	ACR|1BASARM|1VULN|1ASPD|1AART	1DUR|2VULN|3AEMAG|4RCR|5MLV|6RPLT|7BASARM|8AART|9LHND|aASPD
43	13662 31214	   	188.72	ACR|1BASARM|1VULN|1ASPD|1AART	13DUR|2VULN|4RCR|5MLV|6RPLT|7BASARM|8AART|9DUST|aASPD
44	22464 13213	   	188.66	ACR|1BASARM|3BEXP|1VULN	1LHND|237BEXP|4RCR|5RPLT|6ERES|8VULN|9DUST|aBASARM
45	32464 13213	   	188.66	ACR|1BASARM|3BEXP|1VULN	1LWND|237BEXP|4RCR|5RPLT|6ERES|8VULN|9DUST|aBASARM
46	13562 31214	   	188.62	ACR|1BASARM|1VULN|1ASPD|1AART	1DUR|2VULN|3AEMAG|4RCR|5MLV|6RPLT|7BASARM|8AART|9DUST|aASPD
47	13662 31223	 * 	187.70	ACR|1BASARM|2VULN|1AART|1AAC	13DUR|29VULN|4RCR|5MLV|6RPLT|7BASARM|8AART|aAAC
48	13562 31223	   	187.60	ACR|1BASARM|2VULN|1AART|1AAC	1DUR|29VULN|3AEMAG|4RCR|5MLV|6RPLT|7BASARM|8AART|aAAC
49	22461 11621	   	187.55	ACR|1BASARM|3BEXP|1CDMG	1LHND|237BEXP|4RCR|5DUR|6SNITOX|8CDMG|9MDPS|aBASARM
50	22462 22421	   	187.55	ACR|1BASARM|3BEXP|1CDMG	1LHND|235BEXP|4RCR|6SPLREG|7CDMG|8DUR|9MDPS|aBASARM
51	22463 11621	   	187.55	ACR|1BASARM|3BEXP|1CDMG	1LHND|237BEXP|4RCR|5LWND|6SNITOX|8CDMG|9MDPS|aBASARM
52	32461 11621	   	187.55	ACR|1BASARM|3BEXP|1CDMG	1LWND|237BEXP|4RCR|5DUR|6SNITOX|8CDMG|9MDPS|aBASARM
53	32462 22421	   	187.55	ACR|1BASARM|3BEXP|1CDMG	1LWND|235BEXP|4RCR|6SPLREG|7CDMG|8DUR|9MDPS|aBASARM
54	35262 43312	   	187.13	ACR|1BASARM|2VULN|2BEXP	1LWND|2TLV|3RMIN|4RCR|56BEXP|7LIT|89VULN|aBASARM
55	42463 23212	 * 	186.83	ACR|1VULN|2BEXP|1ASPD|1BASICY|1AART	1VULN|23BEXP|4RCR|5LWND|6AME|7ASPD|8BASICY|9DUR|aAART
56	32466 13131	   	185.83	ACR|2BEXP|1ASPD|1DMG|1VULN|1CDMG	1LWND|23BEXP|4RCR|5DMG|6LHND|7ASPD|8LEGI|9CDMG|aVULN
57	32466 13321	   	185.75	ACR|2ASPD|2BEXP|1DMG|1CDMG	1LWND|23BEXP|4RCR|5DMG|6LHND|78ASPD|9ZMB|aCDMG
58	32466 13311	   	185.65	ACR|2ASPD|2BEXP|1DMG|1CDMG	1LWND|23BEXP|4RCR|5DMG|6LHND|78ASPD|9ERES|aCDMG
59	32466 23212	   	185.65	ACR|2ASPD|2BEXP|1DMG|1CDMG	1LWND|23BEXP|4RCR|5DMG|6SPLARM|78ASPD|9CDMG|aLHND
60	22466 33231	   	185.55	ACR|2DMG|2BEXP|1ASPD|1CDMG	1LHND|23BEXP|4RCR|5aDMG|6DUST|7ASPD|8CDMG|9MDPS
61	32466 23211	   	185.55	ACR|2ASPD|2BEXP|1DMG|1CDMG	1LWND|23BEXP|4RCR|5DMG|6SPLARM|78ASPD|9CDMG|aDUST
62	22466 22133	   	184.97	ACR|3BEXP|2DMG|1ASPD	1LHND|237BEXP|4RCR|58DMG|6ASPD|9RCVC|aCGEN
63	42463 23221	   	184.83	ACR|1VULN|2BEXP|1ASPD|1BASICY|1CDMG	1VULN|23BEXP|4RCR|5LWND|6AME|7ASPD|8BASICY|9CDMG|aCGEN
64	42463 23223	   	184.83	ACR|1VULN|2BEXP|1ASPD|1BASICY|1CDMG	1VULN|23BEXP|4RCR|5LWND|6AME|7ASPD|8BASICY|9CDMG|aFEWX
65	42461 31312	   	184.42	ACR|1VULN|2BEXP|1ASPD|1AART|1CDMG	1VULN|23BEXP|4RCR|5DUR|6LHND|7AART|8ASPD|9DUST|aCDMG
66	22651 53332	   	184.40	ACR|1BASARM|3BEXP|1AART|1SELL	1LHND|246BEXP|3SELL|5RCR|7MDPS|8BASARM|9AART|aLIT
67	32651 53332	   	184.40	ACR|1BASARM|3BEXP|1AART|1SELL	1LWND|246BEXP|3SELL|5RCR|7MDPS|8BASARM|9AART|aLIT
68	12621 43315	   	184.37	ACR|1BASARM|1VULN|1AART|1BEXP|1AAC|1SELL	14DUR|2BEXP|3SELL|5RCR|6MDPS|7VULN|8AART|9AAC|aBASARM
69	11324 24213	   	183.95	ACR|3ASPD|1BASARM	14DUR|2ZMB|3CGEN|5RCR|678ASPD|9BASARM|aRCVC
70	13662 31322	   	183.82	ACR|1BASARM|1VULN|1DMG|1BEXP	13DUR|2VULN|4RCR|5MLV|6RPLT|7BASARM|8LIT|9BEXP|aDMG
71	51264 22131	 * 	183.75	ACR|2ASPD|2BEXP|1DMG|1AART	1MLV|26ASPD|3CGEN|4RMIN|5RCR|79BEXP|8AART|aDMG
72	13562 31322	   	183.72	ACR|1BASARM|1VULN|1DMG|1BEXP	1DUR|2VULN|3AEMAG|4RCR|5MLV|6RPLT|7BASARM|8LIT|9BEXP|aDMG
73	12651 53332	   	183.52	ACR|1BASARM|3BEXP|1VULN|1SELL	1DUR|246BEXP|3SELL|5RCR|7MDPS|8BASARM|9DMSP|aVULN
74	22461 53322	 * 	183.43	ACR|3BEXP|1DMG|1BASICY|1AART	1LHND|23aBEXP|4RCR|5DUR|6BASICY|7AART|8RPLT|9DMG
75	32461 53322	   	183.43	ACR|3BEXP|1DMG|1BASICY|1AART	1LWND|23aBEXP|4RCR|5DUR|6BASICY|7AART|8RPLT|9DMG
76	22466 22222	   	183.37	ACR|3BEXP|2DMG|1ASPD	1LHND|237BEXP|4RCR|5aDMG|6ASPD|8DUR|9LIT
77	22466 22231	   	183.37	ACR|3BEXP|2ASPD|1DMG	1LHND|237BEXP|4RCR|5DMG|6aASPD|8DUR|9LWND
78	22466 22322	   	183.37	ACR|3BEXP|2DMG|1ASPD	1LHND|237BEXP|4RCR|5aDMG|6ASPD|8FEWX|9LIT
79	22466 22331	   	183.37	ACR|3BEXP|2ASPD|1DMG	1LHND|237BEXP|4RCR|5DMG|6aASPD|8FEWX|9LWND
80	22466 23132	   	183.37	ACR|3BEXP|2DMG|1ASPD	1LHND|238BEXP|4RCR|5aDMG|6ASPD|7LIT|9LWND
81	32462 41113	   	183.37	ACR|3BEXP|2ASPD|1DMG	16LWND|235BEXP|4RCR|7DMG|89ASPD|aCGEN
82	32463 61113	   	183.37	ACR|3BEXP|2ASPD|1DMG	15LWND|236BEXP|4RCR|7DMG|89ASPD|aCGEN
83	32466 32111	   	183.37	ACR|3BEXP|2DMG|1ASPD	1LWND|237BEXP|4RCR|58DMG|6aZMB|9ASPD
84	32466 32113	   	183.37	ACR|3BEXP|2DMG|1ASPD	1LWND|237BEXP|4RCR|58DMG|6ZMB|9ASPD|aCGEN
85	22462 22235	 * 	183.35	ACR|3BEXP|1VULN|1ASPD|2CDMG	1LHND|235BEXP|4RCR|6SPLREG|79CDMG|8VULN|aASPD
86	42431 42323	 * 	183.13	DCR|1BASARM|3BEXP|1VULN|1DMG|1AAC	1VULN|235BEXP|45ERES|5BPWR|6AAC|7BASARM|8DMG|9RPLT|aRCR
87	55314 13122	   	182.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	12MLV|2BPWR|3TLV|4DMG|5RCR|6LIT|7ERES|8ASPD|9CDMG|aBASARM
88	22466 23311	 * 	182.91	ACR|2VULN|2BEXP|1ASPD|1DMG	1LHND|23BEXP|4RCR|5DMG|6ASPD|7LIT|89VULN|aBELT
89	22466 23312	   	182.91	ACR|2VULN|2BEXP|1ASPD|1DMG	1LHND|23BEXP|4RCR|5DMG|6ASPD|7LIT|89VULN|aMLV
90	22466 23323	   	182.91	ACR|2VULN|2BEXP|1ASPD|1DMG	1LHND|23BEXP|4RCR|5DMG|6ASPD|7LIT|8aVULN|9MLV
91	22466 23313	   	182.81	ACR|2VULN|2BEXP|1ASPD|1DMG	1LHND|23BEXP|4RCR|5DMG|6ASPD|7LIT|89VULN|aMDPS
92	22466 23333	   	182.81	ACR|2VULN|2BEXP|1ASPD|1DMG	1LHND|23BEXP|4RCR|5DMG|6ASPD|7LIT|8aVULN|9ERES
93	32466 31211	   	182.79	ACR|1BASARM|2BEXP|1DMG	1aLWND|23BEXP|4RCR|5DMG|6ZMB|7CGEN|8DUST|9BASARM
94	22463 62311	   	182.79	ACR|1BASARM|2BEXP|1ASPD	1LHND|23BEXP|4RCR|5aLWND|6ERES|7ZMB|8ASPD|9BASARM
95	32466 31212	   	182.69	ACR|1BASARM|2BEXP|1DMG	1LWND|23BEXP|4RCR|5DMG|6ZMB|7CGEN|8DUST|9BASARM|aMDPS
96	32466 31213	   	182.69	ACR|1BASARM|2BEXP|1DMG	1LWND|23BEXP|4RCR|5DMG|6ZMB|7CGEN|8DUST|9BASARM|aAIRHEL
97	22463 62312	   	182.69	ACR|1BASARM|2BEXP|1ASPD	1LHND|23BEXP|4RCR|5LWND|6ERES|7ZMB|8ASPD|9BASARM|aMDPS
98	22463 62313	   	182.69	ACR|1BASARM|2BEXP|1ASPD	1LHND|23BEXP|4RCR|5LWND|6ERES|7ZMB|8ASPD|9BASARM|aAIRHEL
99	11324 24211	   	182.65	ACR|3ASPD|1BASARM	14DUR|2ZMB|3CGEN|5RCR|678ASPD|9BASARM|aLWND
100	11324 24212	   	182.65	ACR|3ASPD|1BASARM	14DUR|2ZMB|3aCGEN|5RCR|678ASPD|9BASARM
101	31354 24211	   	182.65	ACR|3ASPD|1BASARM	1aLWND|2ZMB|3CGEN|4DMSP|5RCR|678ASPD|9BASARM
102	31354 24212	   	182.65	ACR|3ASPD|1BASARM	1LWND|2ZMB|3CGEN|4DMSP|5RCR|678ASPD|9BASARM|aRMIN
103	11324 24214	   	182.55	ACR|3ASPD|1BASARM	14DUR|2ZMB|3CGEN|5RCR|678ASPD|9BASARM|aMSLFST
104	11324 24216	   	182.55	ACR|3ASPD|1BASARM	14DUR|2ZMB|3CGEN|5RCR|678ASPD|9BASARM|aMDPS
105	31354 24213	   	182.55	ACR|3ASPD|1BASARM	1LWND|2ZMB|3CGEN|4DMSP|5RCR|678ASPD|9BASARM|aAIRHEL
106	22466 22223	 * 	182.55	ACR|3BEXP|1ASPD|1DMG|1VULN	1LHND|237BEXP|4RCR|5DMG|6ASPD|8DUR|9LIT|aVULN
107	22466 22312	   	182.55	ACR|3BEXP|1ASPD|1DMG|1VULN	1LHND|237BEXP|4RCR|5DMG|6ASPD|8FEWX|9RPLT|aVULN
108	22466 22323	   	182.55	ACR|3BEXP|1ASPD|1DMG|1VULN	1LHND|237BEXP|4RCR|5DMG|6ASPD|8FEWX|9LIT|aVULN
109	22466 23133	   	182.55	ACR|3BEXP|1ASPD|1DMG|1VULN	1LHND|238BEXP|4RCR|5DMG|6ASPD|7LIT|9LWND|aVULN
110	32463 42132	   	182.55	ACR|3BEXP|1VULN|1ASPD|1DMG	159LWND|237BEXP|4RCR|6VULN|8DMG|aASPD
