0	Index      	 *	Score 	Summary	Detail	
1	41361 36213	 * 	285.74	橙橙2易伤2等级1伤害	17等级25易伤35敌人爆炸4赏金邻近5序列升级6额外掉落8a核9伤害
2	41361 32213	   	275.41	橙橙2易伤1等级1伤害	1等级25易伤35敌人爆炸4赏金邻近5序列升级6额外掉落7立即金币8a核9伤害
3	11242 63233	 * 	266.59	橙橙2伤害1易伤1等级	1随机矿2等级3易伤4额外掉落56伤害7赏金邻近8a核9掉矿
4	41533 11334	 * 	266.15	橙4易伤3等级2伤害	15a等级289a易伤3平台4a伤害6额外掉落7核a序列升级
5	41361 32253	   	262.28	橙橙2易伤1等级	1等级25易伤35敌人爆炸4赏金邻近5序列升级6额外掉落7立即金币8a核9攻速
6	41122 36213	   	259.44	橙橙2等级1易伤1伤害	17等级2易伤3立即金币4基地爆炸5赏金塔6额外掉落8a核9伤害
7	41622 36213	   	259.44	橙橙2等级1易伤1伤害	17等级2易伤3双倍矿4基地爆炸5赏金塔6额外掉落8a核9伤害
8	13232 52213	   	259.34	橙橙2等级1易伤1伤害	1随机矿2赏金邻近35掉矿45等级5序列升级6易伤7额外掉落8a核9伤害
9	41112 36213	   	259.34	橙橙2等级1易伤1伤害	17等级2易伤3立即金币4挖尘5赏金塔6额外掉落8a核9伤害
10	41312 36213	   	259.34	橙橙2等级1易伤1伤害	17等级2易伤3敌人爆炸4火球减费5赏金塔6额外掉落8a核9伤害
11	41362 36213	   	259.34	橙橙2等级1易伤1伤害	17等级2易伤3敌人爆炸4赏金邻近5火球减费6额外掉落8a核9伤害
12	41612 36213	   	259.34	橙橙2等级1易伤1伤害	17等级2易伤3双倍矿4挖尘5赏金塔6额外掉落8a核9伤害
13	41325 15331	 * 	258.15	橙3易伤2喷火对甲2等级1技能	1a等级25a易伤3敌人爆炸4攻速6头目7技能8a喷火对甲9核a序列升级
14	11212 15511	   	256.24	橙橙1易伤1等级1时间1暴击	1随机矿2等级3易伤4暴击5赏金塔6双倍秒伤7a核8时间9最后敌人
15	11212 15561	   	256.24	橙橙1易伤1等级1时间1暴击	1随机矿2等级3易伤4暴击5赏金塔6双倍秒伤7a核8时间9低血量敌人
16	11212 15521	   	256.14	橙橙1易伤1等级1时间1暴击	1随机矿2等级3易伤4暴击5赏金塔6双倍秒伤7a核8时间9挖尘
17	41212 15511	   	256.14	橙橙1易伤1等级1时间1暴击	1等级2易伤3技能点4暴击5赏金塔6双倍秒伤7a核8时间9最后敌人
18	41212 15521	   	256.04	橙橙1易伤1等级1时间1暴击	1等级2易伤3技能点4暴击5赏金塔6双倍秒伤7a核8时间9挖尘
