0	Index      	 *	Score 	Summary	Detail	
1	53412 13325	 * 	291.89	橙橙2易伤1等级1伤害	1等级2赏金塔3敌人爆炸45易伤6伤害7a核8基地爆炸9最后敌人
2	42221 21155	   	287.97	橙橙2易伤1等级1攻速	13易伤2双倍秒伤4毒气减费5攻速6赏金塔7等级8敌人爆炸9a核
3	52541 31322	 * 	284.51	橙3矿等2易伤2等级	17等级27金币生成369矿等4最后敌人57易伤7序列升级8时间a核
4	52531 21162	 * 	281.39	橙2易伤3等级2矿等1伤害1卖塔	167等级2金币生成37矿等4挖青57易伤7序列升级8卖塔9核a伤害
5	54532 22221	 * 	280.28	紫橙1等级1易伤1矿等1伤害1攻速1卖塔	1等级2敌人爆炸3卖塔4随机技能59核6易伤7矿等8伤害a攻速
6	55532 22221	 * 	280.18	紫橙1等级1易伤1矿等1伤害1攻速1卖塔	1等级2基地爆炸3卖塔4随机技能59核6易伤7矿等8伤害a攻速
7	21316 34413	 * 	278.76	橙橙3易伤1技能	1平台2敌人爆炸3立即金币4挖尘59a易伤67核8技能
8	23236 34413	   	278.76	橙橙3易伤1技能	1平台29a易伤35最后敌人4挖尘67核8技能
9	52541 31122	   	276.10	橙3矿等2易伤2等级	17等级27金币生成369矿等4最后敌人57易伤7序列升级8挖尘a核
10	42216 11326	 * 	274.50	橙3易伤2矿等2等级	138易伤2双倍秒伤4赏金塔5掉矿68等级78矿等8序列升级9挖尘a核
11	43453 41222	 * 	273.02	橙3易伤2矿等2伤害	137易伤2金币生成47矿等5加一67伤害7序列升级8技能点9随机技能a核
12	23315 35135	   	272.62	橙橙1等级1易伤1伤害	1平台2易伤3额外掉落4挖尘5随机技能69核7伤害8金币生成a等级
13	52531 21342	 * 	269.88	橙2易伤3等级2矿等	167等级2金币生成37矿等4挖青57易伤7序列升级8时间9立即金币a核
14	52531 21362	   	269.88	橙2易伤3等级2矿等	167等级2金币生成37矿等4挖青57易伤7序列升级8时间9双倍矿a核
15	52531 21352	   	269.78	橙2易伤3等级2矿等	167等级2金币生成37矿等4挖青57易伤7序列升级8时间9毒气减费a核
16	23345 31135	   	269.55	橙橙1等级1易伤1技能	1平台2易伤3额外掉落4低血量敌人5随机技能69核7技能8金币生成a等级
17	23315 31135	   	269.45	橙橙1等级1易伤1技能	1平台2易伤3额外掉落4挖尘5随机技能69核7技能8金币生成a等级
18	21316 34613	 * 	268.32	橙橙2易伤1矿等	1平台2敌人爆炸3立即金币4挖尘59易伤67核8金币生成a矿等
19	23236 34613	   	268.32	橙橙2易伤1矿等	1平台29易伤35最后敌人4挖尘67核8金币生成a矿等
20	53321 54232	 * 	268.15	橙4易伤2等级1矿等	19等级2赏金塔3789易伤4赏金邻近59敌人爆炸6核9序列升级a矿等
21	52312 34236	   	267.95	橙4易伤2等级1矿等	16等级23金币生成4散射对绿5678易伤6序列升级9核a矿等
22	53323 54232	   	267.95	橙4易伤2等级1矿等	19等级2赏金塔3789易伤4赏金邻近59挖尘6核9序列升级a矿等
23	21316 34223	 * 	267.93	橙橙2矿等1易伤	1平台2敌人爆炸38立即金币4挖尘5易伤67核9a矿等
24	21316 34523	   	267.93	橙橙2矿等1易伤	18平台2敌人爆炸3立即金币4挖尘5易伤67核9a矿等
25	23236 34123	   	267.93	橙橙2矿等1易伤	1平台2易伤35最后敌人4挖尘67核8双倍矿9a矿等
26	23236 34523	   	267.93	橙橙2矿等1易伤	18平台2易伤35最后敌人4挖尘67核9a矿等
27	53412 13613	 * 	267.02	橙2易伤2伤害1等级1矿等1技能	1等级2赏金塔3敌人爆炸45易伤68伤害7核9技能a矿等
28	53114 13613	   	266.92	橙2易伤2伤害1等级1矿等1技能	1等级2赏金塔3基地爆炸45易伤68伤害7核9技能a矿等
29	43453 21222	 * 	266.21	橙3易伤2矿等2攻速	137易伤2金币生成47矿等5加一67攻速7序列升级8技能点9随机技能a核
