0	Index      	 *	Score 	Summary	Detail	
1	11233 56743	 * 	307.82	橙橙1易伤1等级1矿等1伤害1暴击	1最后敌人2易伤3伤害4暴击5掉矿6等级7加一8矿等9a核
2	33422 45233	 * 	301.74	橙橙2矿等1易伤1伤害1暴击	1随机矿2雷电3最后敌人4易伤58矿等69核7暴击a伤害
3	41613 36122	 * 	286.53	橙橙3易伤1攻速	124易伤3低血量敌人5全技能69核7赏金塔8攻速a策反
4	41613 36121	   	286.43	橙橙3易伤1攻速	124易伤3低血量敌人5全技能69核7赏金塔8攻速a风暴减费
5	41613 36123	   	286.43	橙橙3易伤1攻速	124易伤3低血量敌人5全技能69核7赏金塔8攻速a加一
6	53122 16115	 * 	282.44	橙3易伤1等级2攻速1矿等1技能	14攻速2额外掉落348易伤4序列升级5赏金邻近6技能7等级9矿等a核
7	11122 16613	   	281.93	橙橙3易伤1伤害	1最后敌人289易伤3雷电减费4金币生成5伤害6平台7a核
8	11215 51213	   	281.93	橙橙3易伤1伤害	1最后敌人269易伤3伤害4平台5金币生成7基地爆炸8a核
9	11215 53213	   	281.93	橙橙3易伤1伤害	1最后敌人269易伤3伤害4平台5金币生成7挖尘8a核
10	55333 13326	 * 	281.84	橙2易伤2矿等1等级1攻速2随机技能1暴击	1攻速28矿等3挖尘4等级58随机技能6暴击78易伤8序列升级9随机矿a核
11	11213 51513	   	281.83	橙橙3易伤1伤害	1最后敌人269易伤3伤害4平台5掉矿7基地爆炸8a核
12	11213 53513	   	281.83	橙橙3易伤1伤害	1最后敌人269易伤3伤害4平台5掉矿7挖尘8a核
13	33422 45231	   	281.68	橙橙2矿等1易伤1暴击	1随机矿2雷电3最后敌人4易伤58矿等69核7暴击a平台
14	33422 45232	   	281.58	橙橙2矿等1易伤1暴击	1随机矿2雷电3最后敌人4易伤58矿等69核7暴击a掉矿
15	53123 22413	 * 	280.50	橙3易伤3攻速1矿等1伤害1暴击	146攻速2额外掉落346易伤46序列升级5立即金币7矿等8伤害9暴击a核
16	51213 56313	 * 	278.87	橙橙2易伤2攻速	18攻速2时间3敌人爆炸4平台5掉矿69易伤7a核
17	11626 51213	   	278.76	橙橙3易伤1技能	1最后敌人269易伤3金币生成4平台5技能7基地爆炸8a核
18	11626 53213	   	278.76	橙橙3易伤1技能	1最后敌人269易伤3金币生成4平台5技能7挖尘8a核
19	11315 51213	   	278.12	橙橙3易伤1攻速	1最后敌人269易伤3攻速4平台5金币生成7基地爆炸8a核
20	11315 53213	   	278.12	橙橙3易伤1攻速	1最后敌人269易伤3攻速4平台5金币生成7挖尘8a核
21	11313 51513	   	278.02	橙橙3易伤1攻速	1最后敌人269易伤3攻速4平台5掉矿7基地爆炸8a核
22	11313 53513	   	278.02	橙橙3易伤1攻速	1最后敌人269易伤3攻速4平台5掉矿7挖尘8a核
23	23342 41632	 * 	277.98	橙3易伤3矿等3暴击	135暴击2立即金币35序列升级459矿等68a易伤7核
