0	Index      	 *	Score 	Summary	Detail	
1	52114 11251	 * 	231.48	4易伤3攻速3伤害3暴击1全技能	189攻速2689易伤346暴击5全技能689序列升级789伤害a双倍矿
2	52114 11252	   	231.38	4易伤3攻速3伤害3暴击1全技能	189攻速2689易伤346暴击5全技能689序列升级789伤害a技能点
3	52114 11253	   	231.38	4易伤3攻速3伤害3暴击1全技能	189攻速2689易伤346暴击5全技能689序列升级789伤害a火球减费
4	52631 11251	 * 	224.47	3易伤3攻速3伤害2全技能1基地爆炸1技能	189攻速289易伤3技能4a全技能5时间6基地爆炸789伤害89序列升级
5	52633 11251	   	224.47	3易伤3攻速3伤害2全技能1基地爆炸1技能	189攻速289易伤3技能4a全技能5最后敌人6基地爆炸789伤害89序列升级
6	52231 21241	 * 	217.40	3攻速3伤害2易伤1基础对甲1全技能	189攻速29易伤378伤害4全技能589时间6加一89序列升级a基础对甲
7	52231 22241	   	217.40	3攻速3伤害2易伤1基础对甲1全技能	178攻速29易伤389伤害4全技能589时间6加一89序列升级a基础对甲
8	51233 22361	   	215.30	3伤害1基础对甲2易伤2攻速1全技能1暴击	19攻速2低血量敌人359伤害4全技能6金币生成7基础对甲89易伤9序列升级a暴击
9	51235 32361	   	215.30	3攻速1基础对甲2易伤2伤害1全技能1暴击	169攻速2低血量敌人39伤害4全技能5金币生成7基础对甲89易伤9序列升级a暴击
10	51236 32361	   	215.30	3攻速1基础对甲2易伤2伤害1全技能1暴击	169攻速2低血量敌人39伤害4全技能5矿等7基础对甲89易伤9序列升级a暴击
11	51233 62361	   	215.20	3伤害1基础对甲2易伤2攻速1全技能1暴击	19攻速2低血量敌人359伤害4全技能6技能点7基础对甲89易伤9序列升级a暴击
12	51234 32361	   	215.20	3攻速1基础对甲2易伤2伤害1全技能1暴击	169攻速2低血量敌人39伤害4全技能5等级7基础对甲89易伤9序列升级a暴击
13	52241 61241	   	215.10	3攻速3伤害2易伤1基础对甲1全技能	189攻速29易伤378伤害4加一589挖尘6全技能89序列升级a基础对甲
14	52241 62241	   	215.10	3攻速3伤害2易伤1基础对甲1全技能	178攻速29易伤389伤害4加一589挖尘6全技能89序列升级a基础对甲
15	55211 32361	   	214.20	3攻速1基础对甲2易伤2伤害1全技能1暴击	169攻速2等级39伤害4最后敌人5全技能7基础对甲89易伤9序列升级a暴击
16	52633 31251	   	210.82	3易伤3攻速3伤害2全技能1技能	189攻速289易伤3技能4a全技能5最后敌人6时间789伤害89序列升级
17	52232 51331	 * 	206.77	1基础对甲2攻速2伤害2全技能1易伤1基地爆炸1技能	18攻速2易伤38伤害47全技能5技能68最后敌人8序列升级9基地爆炸a基础对甲
18	52232 32562	 * 	205.68	橙1基础对甲2攻速1易伤1全技能1伤害1技能	16攻速2易伤3伤害4全技能5技能7狙击对直升8平台9基础对甲a核
19	52631 11226	 * 	205.41	橙2易伤2攻速2伤害1全技能1基地爆炸1技能	18攻速28易伤3技能4全技能5时间6基地爆炸78伤害8序列升级9雷电a核
20	52633 11226	   	205.41	橙2易伤2攻速2伤害1全技能1基地爆炸1技能	18攻速28易伤3技能4全技能5最后敌人6基地爆炸78伤害8序列升级9雷电a核
21	52631 11252	   	205.02	3易伤3攻速3伤害1全技能1基地爆炸1技能	189攻速289易伤3技能4全技能5时间6基地爆炸789伤害89序列升级a金币生成
22	52631 11253	   	205.02	3易伤3攻速3伤害1全技能1基地爆炸1技能	189攻速289易伤3技能4全技能5时间6基地爆炸789伤害89序列升级a敌人爆炸
23	52633 11252	   	205.02	3易伤3攻速3伤害1全技能1基地爆炸1技能	189攻速289易伤3技能4全技能5最后敌人6基地爆炸789伤害89序列升级a金币生成
24	52633 11253	   	205.02	3易伤3攻速3伤害1全技能1基地爆炸1技能	189攻速289易伤3技能4全技能5最后敌人6基地爆炸789伤害89序列升级a敌人爆炸
25	51233 22265	 * 	204.98	3伤害1基础对甲2攻速1易伤1全技能2暴击	19攻速2低血量敌人359伤害4全技能6金币生成7基础对甲89暴击9序列升级a易伤
26	52114 22251	 * 	204.96	2易伤1基础对甲2攻速2伤害2暴击1全技能	19攻速29易伤34暴击5全技能6低血量敌人79伤害8平台9序列升级a基础对甲
27	12134 23162	 * 	204.31	紫2易伤3基地爆炸1伤害1全技能1暴击	1掉矿29易伤3暴击468基地爆炸5核7全技能a伤害
28	42134 23162	   	204.31	紫2易伤3基地爆炸1伤害1全技能1暴击	1技能点29易伤3暴击468基地爆炸5核7全技能a伤害
29	52631 11231	   	203.95	2易伤1基础对甲2攻速2伤害1全技能1基地爆炸1技能	18攻速28易伤3技能4全技能59时间6基地爆炸78伤害8序列升级a基础对甲
30	52262 13423	 * 	202.42	4易伤3攻速3伤害2基地爆炸1技能	17a攻速278a易伤357伤害4双倍秒伤6技能7a序列升级9a基地爆炸
31	13243 43151	 * 	202.39	紫2全技能1攻速1伤害1基础对冰1基地爆炸1暴击	1掉矿2敌人爆炸3伤害4暴击5核68全技能7基地爆炸9攻速a基础对冰
32	52262 13312	 * 	202.21	橙3攻速3伤害2易伤1技能	179攻速27易伤357伤害4双倍秒伤6技能7序列升级8掉矿a核
