0	Index      	 *	Score 	Summary	Detail	
1	13422 22512	 * 	227.09	紫3易伤2攻速2伤害2基地爆炸	18攻速2掉矿38伤害4导弹对毒5核69基地爆炸78a易伤8序列升级
2	13422 22511	   	217.09	紫2易伤2攻速2伤害2基地爆炸	18攻速2掉矿38伤害4导弹对毒5核69基地爆炸78易伤8序列升级a矿等
3	13422 22513	   	217.09	紫2易伤2攻速2伤害2基地爆炸	18攻速2掉矿38伤害4导弹对毒5核69基地爆炸78易伤8序列升级a金币生成
4	13422 22514	   	217.09	紫2易伤2攻速2伤害2基地爆炸	18攻速2掉矿38伤害4导弹对毒5核69基地爆炸78易伤8序列升级a策反
5	13422 22515	   	216.99	紫2易伤2攻速2伤害2基地爆炸	18攻速2掉矿38伤害4导弹对毒5核69基地爆炸78易伤8序列升级a加一
6	13422 22516	   	216.99	紫2易伤2攻速2伤害2基地爆炸	18攻速2a掉矿38伤害4导弹对毒5核69基地爆炸78易伤8序列升级
7	13422 22542	   	212.26	紫3易伤2攻速2伤害1基地爆炸	18攻速2掉矿38伤害4导弹对毒5核6基地爆炸78a易伤8序列升级9敌人爆炸
8	13422 22551	   	212.26	紫3易伤2攻速2伤害1基地爆炸	18攻速2掉矿38伤害4导弹对毒5核6基地爆炸78a易伤8序列升级9随机矿
9	13422 22521	   	212.16	紫3易伤2攻速2伤害1基地爆炸	18攻速2掉矿38伤害4导弹对毒5核6基地爆炸78a易伤8序列升级9核弹
10	13422 22562	   	212.16	紫3易伤2攻速2伤害1基地爆炸	18攻速29掉矿38伤害4导弹对毒5核6基地爆炸78a易伤8序列升级
11	13422 22543	   	202.25	紫2易伤2攻速2伤害1基地爆炸	18攻速2掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级9敌人爆炸a双倍矿
12	13422 22552	   	202.25	紫2易伤2攻速2伤害1基地爆炸	18攻速2掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级9随机矿a低血量敌人
13	23122 63311	 * 	202.19	紫1基础对甲1攻速1伤害1易伤2技能	18技能2伤害3掉矿4导弹对毒5核6金币生成7攻速9易伤a基础对甲
14	13422 62311	   	202.19	紫1基础对甲1攻速1伤害1易伤2技能	1攻速2掉矿3伤害4导弹对毒5核6金币生成78技能9易伤a基础对甲
15	13422 22522	   	202.15	紫2易伤2攻速2伤害1基地爆炸	18攻速2掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级9核弹a低血量敌人
16	13422 22534	   	202.15	紫2易伤2攻速2伤害1基地爆炸	18攻速2掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级9双倍秒伤a矿等
17	13422 22535	   	202.15	紫2易伤2攻速2伤害1基地爆炸	18攻速2掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级9双倍秒伤a随机矿
18	13422 22536	   	202.15	紫2易伤2攻速2伤害1基地爆炸	18攻速2掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级9双倍秒伤a金币生成
19	13422 22561	   	202.15	紫2易伤2攻速2伤害1基地爆炸	18攻速29掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级a矿等
20	13422 22563	   	202.15	紫2易伤2攻速2伤害1基地爆炸	18攻速29掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级a金币生成
21	13422 22524	   	202.05	紫2易伤2攻速2伤害1基地爆炸	18攻速2掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级9核弹a技能点
22	13422 22525	   	202.05	紫2易伤2攻速2伤害1基地爆炸	18攻速2a掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级9核弹
23	13422 22531	   	202.05	紫2易伤2攻速2伤害1基地爆炸	18攻速2a掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级9双倍秒伤
