0	Index      	 *	Score 	Summary	Detail	
1	62135 24831	 * 	226.75	紫1基础对甲2基地爆炸1攻速1伤害1全技能1技能	1攻速27基地爆炸3加一4易伤5核6技能8基础对甲9伤害a全技能
2	62135 24833	 * 	226.13	紫1基础对甲2基地爆炸1攻速1伤害2易伤1技能	1攻速27基地爆炸3加一4a易伤5核6技能8基础对甲9伤害
3	62135 24812	   	213.10	紫1基础对甲2基地爆炸1攻速1伤害1技能	1攻速27基地爆炸3加一4易伤5核6技能8基础对甲9立即金币a伤害
4	62135 24844	   	213.10	紫1基础对甲2基地爆炸1攻速1伤害1技能	1攻速27基地爆炸3加一4易伤5核6技能8基础对甲9时间a伤害
5	62135 24832	   	213.00	紫1基础对甲2基地爆炸1攻速1伤害1技能	1攻速27基地爆炸3加一4易伤5核6技能8基础对甲9伤害a掉矿
6	62135 24834	   	213.00	紫1基础对甲2基地爆炸1攻速1伤害1技能	1攻速27基地爆炸3加一4易伤5核6技能8基础对甲9伤害a等级
7	32353 52152	 * 	209.17	橙2基础对甲2基础对冰3暴击1攻速1基地爆炸	158暴击2基地爆炸38挖尘45基础对冰58序列升级6攻速78基础对甲9易伤a核
8	62135 43137	 * 	207.55	紫1基础对甲2攻速1伤害1基地爆炸	16攻速2基地爆炸3加一4易伤5核7敌人爆炸8伤害9雷电a基础对甲
9	62135 24824	   	205.96	紫1基础对甲2基地爆炸2易伤1攻速1技能	1攻速27基地爆炸3加一4a易伤5核6技能8基础对甲9激光对绿
10	62135 24821	 * 	204.21	紫1基础对甲3基地爆炸1攻速1技能	1攻速27a基地爆炸3加一4易伤5核6技能8基础对甲9激光对绿
11	32353 12152	 * 	204.05	橙2基础对甲2基地爆炸2基础对冰3暴击	158暴击28基地爆炸3挖尘45基础对冰58序列升级6随机矿78基础对甲9易伤a核
12	32353 22152	   	203.95	橙2基础对甲2基地爆炸2基础对冰3暴击	158暴击28基地爆炸3挖尘45基础对冰58序列升级6核弹78基础对甲9易伤a核
13	62125 33137	   	202.98	紫1基础对甲2易伤1攻速1伤害1基地爆炸	1攻速2基地爆炸3加一4敌人爆炸5核67易伤8伤害9雷电a基础对甲
14	62135 33137	   	202.98	紫1基础对甲2易伤1攻速1伤害1基地爆炸	1攻速2基地爆炸3加一46易伤5核7敌人爆炸8伤害9雷电a基础对甲
15	32353 52142	   	202.23	橙2基础对甲2基础对冰3暴击1攻速1基地爆炸	158暴击2基地爆炸38挖尘45基础对冰58序列升级6攻速78基础对甲9最后敌人a核
16	22642 25131	 * 	201.20	紫4易伤3基地爆炸2攻速	139掉矿23a基地爆炸3a序列升级478a易伤5核6a攻速
17	62135 24813	 * 	200.88	紫1基础对甲2基地爆炸1攻速2技能	1攻速27基地爆炸3加一4易伤5核6a技能8基础对甲9立即金币
18	32353 12142	   	197.11	橙2基础对甲2基地爆炸2基础对冰3暴击	158暴击28基地爆炸3挖尘45基础对冰58序列升级6随机矿78基础对甲9最后敌人a核
19	32353 22142	   	197.01	橙2基础对甲2基地爆炸2基础对冰3暴击	158暴击28基地爆炸3挖尘45基础对冰58序列升级6核弹78基础对甲9最后敌人a核
20	33334 32122	   	196.85	紫1基础对甲1攻速1基地爆炸1暴击1技能	1暴击2金币生成3双倍秒伤4核5攻速6矿等7技能8基地爆炸9易伤a基础对甲
