0	Index      	 *	Score 	Summary	Detail	
1	63452 22112	 * 	301.23	橙3矿等3等级1易伤2攻速2随机技能	17随机技能25攻速3平台457等级57序列升级678矿等9易伤a核
2	33432 31331	 * 	294.84	橙橙1易伤1等级1矿等1伤害	1赏金邻近2雷电3伤害4易伤5平台6矿等7双倍矿89核a等级
3	33432 32331	   	294.84	橙橙1易伤1等级1矿等1伤害	1赏金邻近27雷电3伤害4易伤5平台6矿等89核a等级
4	11233 11136	 * 	291.71	橙橙2易伤1等级2时间	18最后敌人28易伤3赏金邻近4金币生成5雷电69核78时间8序列升级a等级
5	36533 11136	   	291.71	橙橙2易伤1等级2时间	1赏金邻近28易伤38最后敌人4金币生成5雷电69核78时间8序列升级a等级
6	36352 31331	   	291.03	橙橙1易伤1等级1矿等1攻速	1赏金邻近2易伤3雷电4攻速5平台6矿等7双倍矿89核a等级
7	36352 32331	   	291.03	橙橙1易伤1等级1矿等1攻速	1赏金邻近2易伤37雷电4攻速5平台6矿等89核a等级
8	11233 11536	   	284.96	橙橙2易伤1等级	1最后敌人28易伤3赏金邻近4金币生成5雷电69核7时间a等级
9	11233 11133	   	279.68	橙橙2易伤1伤害2时间	18最后敌人28易伤3赏金邻近4金币生成5雷电69核78时间8序列升级a伤害
10	36233 11133	   	279.68	橙橙2易伤1伤害2时间	1赏金邻近28易伤38敌人爆炸4金币生成5雷电69核78时间8序列升级a伤害
11	36533 11133	   	279.68	橙橙2易伤1伤害2时间	1赏金邻近28易伤38最后敌人4金币生成5雷电69核78时间8序列升级a伤害
12	36342 11133	   	279.58	橙橙2易伤1伤害2时间	1赏金邻近28易伤38雷电4基地爆炸5金币生成69核78时间8序列升级a伤害
13	36623 13216	 * 	276.75	橙3易伤2矿等2等级	1赏金邻近29a易伤3a等级4雷电5基地爆炸6核7a矿等8随机矿a序列升级
14	11233 16136	   	276.66	橙橙2易伤1等级	1最后敌人28易伤3赏金邻近47金币生成5雷电69核a等级
15	36233 16136	   	276.66	橙橙2易伤1等级	1赏金邻近28易伤3敌人爆炸47金币生成5雷电69核a等级
16	62523 32361	   	274.01	橙3矿等1易伤1等级1伤害1暴击	1随机技能246矿等3敌人爆炸5易伤7等级8暴击9核a伤害
17	11233 11533	   	272.93	橙橙2易伤1伤害	1最后敌人28易伤3赏金邻近4金币生成5雷电69核7时间a伤害
18	36233 11533	   	272.93	橙橙2易伤1伤害	1赏金邻近28易伤3敌人爆炸4金币生成5雷电69核7时间a伤害
19	36533 11533	   	272.93	橙橙2易伤1伤害	1赏金邻近28易伤3最后敌人4金币生成5雷电69核7时间a伤害
20	35362 11533	   	272.83	橙橙2易伤1伤害	1赏金邻近2基地爆炸3雷电48易伤5金币生成69核7时间a伤害
21	36342 11533	   	272.83	橙橙2易伤1伤害	1赏金邻近28易伤3雷电4基地爆炸5金币生成69核7时间a伤害
