0	Index      	 *	Score 	Summary	Detail	
1	56121 31433	 * 	308.50	橙橙2易伤2矿等1暴击	1雷电减费2挖青35易伤45矿等5序列升级69核7最后敌人8赏金塔a暴击
2	56121 31432	   	294.85	橙橙2易伤2矿等	1雷电减费2挖青35易伤45矿等5序列升级69核7a最后敌人8赏金塔
3	56121 31431	   	294.75	橙橙2易伤2矿等	1雷电减费2挖青35易伤45矿等5序列升级69核7最后敌人8赏金塔a掉矿
4	43326 31163	 * 	290.61	橙5易伤3矿等	17挖尘2最后敌人37a矿等45789易伤6核7序列升级
5	56121 31114	 * 	284.80	橙3易伤3矿等1等级	1雷电减费2挖青35a易伤45a矿等5a序列升级6核7最后敌人8等级9a基地爆炸
6	12141 56214	 * 	281.99	橙橙1易伤1等级1伤害2随机技能	1加一2金币生成3伤害48随机技能5等级6导弹对黄79核a易伤
7	35116 61132	   	280.52	橙橙1易伤1等级1技能	1掉矿2等级3策反4随机技能5激光对冰6技能79核8时间a易伤
8	35242 43332	   	280.52	橙橙1易伤1等级1技能	1掉矿2等级3烈焰减费4易伤5随机技能6时间7技能8敌人爆炸9a核
9	35262 43332	   	280.52	橙橙1易伤1等级1技能	1掉矿2等级3烈焰减费4随机技能5易伤6时间7技能8敌人爆炸9a核
10	35242 41232	   	280.42	橙橙1易伤1等级1技能	1掉矿2等级3烈焰减费4易伤5随机技能6时间7挖尘8技能9a核
11	35242 43232	   	280.42	橙橙1易伤1等级1技能	1掉矿2等级3烈焰减费4易伤5随机技能6时间7技能8挖尘9a核
12	35262 41232	   	280.42	橙橙1易伤1等级1技能	1掉矿2等级3烈焰减费4随机技能5易伤6时间7挖尘8技能9a核
13	35262 43232	   	280.42	橙橙1易伤1等级1技能	1掉矿2等级3烈焰减费4随机技能5易伤6时间7技能8挖尘9a核
