0	Index      	 *	Score 	Summary	Detail	
1	13312 25162	 * 	321.77	紫橙3易伤2矿等1等级	16矿等2时间3挖尘49核56a易伤6序列升级7等级8低血量敌人
2	12215 46331	 * 	319.76	橙3易伤3矿等2等级1暴击	138矿等238易伤38序列升级4火球减费5加一6随机技能78等级9核a暴击
3	12215 46333	 * 	315.13	橙3易伤3矿等3等级	138矿等238易伤38序列升级4火球减费5加一6随机技能78a等级9核
4	12215 46335	   	312.73	橙3易伤3矿等2等级2随机技能	138矿等238易伤38序列升级4火球减费5加一6a随机技能78等级9核
5	12215 46336	   	306.11	橙3易伤3矿等2等级	138矿等238易伤38序列升级4火球减费5加一6随机技能78等级9核a立即金币
6	12215 46337	   	306.11	橙3易伤3矿等2等级	138矿等238易伤38序列升级4火球减费5加一6随机技能78等级9核a敌人爆炸
7	12215 46338	   	306.11	橙3易伤3矿等2等级	138矿等238易伤38序列升级4火球减费5加一6随机技能78等级9核a低血量敌人
8	12215 46332	   	306.01	橙3易伤3矿等2等级	138矿等238易伤38序列升级4火球减费5加一6随机技能78等级9核a掉矿
9	12215 46334	   	306.01	橙3易伤3矿等2等级	138矿等238易伤38序列升级4火球减费5加一6随机技能78等级9核a烈焰减费
10	13312 25161	   	298.31	紫橙2易伤2矿等1等级	16矿等2时间3挖尘49核56易伤6序列升级7等级8低血量敌人a散射对甲
11	13312 25163	   	298.31	紫橙2易伤2矿等1等级	16矿等2时间3挖尘49核56易伤6序列升级7等级8低血量敌人a金币生成
12	13312 25164	   	298.31	紫橙2易伤2矿等1等级	16矿等2时间3挖尘49核56易伤6序列升级7等级8低血量敌人a技能点
13	13312 25165	   	298.21	紫橙2易伤2矿等1等级	16矿等2时间3挖尘49核56易伤6序列升级7等级8低血量敌人a毒气减费
14	13312 25166	   	298.21	紫橙2易伤2矿等1等级	16矿等2时间3a挖尘49核56易伤6序列升级7等级8低血量敌人
15	12262 14135	   	297.63	橙3易伤3矿等2暴击1攻速	137矿等237易伤37序列升级4全技能5双倍矿67暴击8策反9攻速a核
16	12312 25462	   	297.39	紫橙3易伤1等级1矿等	1矿等25a易伤3挖尘49核6挖青7等级8时间
17	12312 35462	   	297.39	紫橙3易伤1等级1矿等	1矿等25a易伤3挖尘49核6基地爆炸7等级8时间
18	32312 12462	   	297.39	紫橙3易伤1等级1矿等	1等级25a易伤3挖尘49核6矿等7基地爆炸8时间
19	12222 66326	 * 	297.35	橙2易伤2矿等2伤害1等级1暴击	13矿等23易伤3序列升级4雷电58伤害6随机技能7暴击9等级a核
20	12265 11325	   	295.03	橙3易伤3矿等1伤害1暴击	136矿等236易伤36序列升级4全技能5平台7策反8核9暴击a伤害
21	12265 15321	   	295.03	橙3易伤3矿等1伤害1暴击	136矿等236易伤36序列升级4全技能5平台7伤害8核9暴击a敌人爆炸
22	12265 15322	   	295.03	橙3易伤3矿等1伤害1暴击	136矿等236易伤36序列升级4全技能5平台7伤害8核9暴击a随机矿
23	12265 15323	   	295.03	橙3易伤3矿等1伤害1暴击	136矿等236易伤36序列升级4全技能5平台7伤害8核9暴击a赏金塔
24	36513 21133	 * 	293.45	橙橙2易伤1等级1技能	1等级2随机矿3低血量敌人4额外掉落5技能69核7双倍秒伤8a易伤
25	12265 11336	   	293.31	橙3易伤3矿等1等级	136矿等236易伤36序列升级4全技能5平台7策反8核9双倍秒伤a等级
26	12263 31234	   	293.31	橙3易伤3矿等1等级	136矿等239易伤3序列升级4全技能5雷电7核8最后敌人a等级
27	11364 31623	   	292.90	橙3矿等2等级1易伤3时间1技能	157矿等2立即金币357时间4全技能57序列升级67等级8易伤9技能a核
