0	Index      	 *	Score 	Summary	Detail	
1	32213 65511	 * 	280.84	橙3易伤3时间3矿等1等级1暴击	127时间3平台467矿等567易伤67序列升级8核9等级a暴击
2	33425 31111	 * 	276.40	橙橙1易伤1等级1伤害1时间1暴击	1时间2随机技能3伤害4随机矿5赏金邻近6暴击79核8等级a易伤
3	22361 33223	 * 	275.07	紫橙3易伤3时间1伤害	1敌人爆炸256时间3a核469易伤6序列升级7双倍矿8伤害
4	22361 35223	   	274.97	紫橙3易伤3时间1伤害	1敌人爆炸256时间3a核469易伤6序列升级7毒气减费8伤害
5	22361 33243	 * 	270.52	紫橙2易伤3时间2伤害	1敌人爆炸256时间3a核46易伤6序列升级7双倍矿89伤害
6	34361 33243	   	270.52	紫橙2易伤3时间2伤害	157时间26低血量敌人3a核46易伤6序列升级89伤害
7	36311 33243	   	270.52	紫橙2易伤3时间2伤害	157时间26易伤3a核46最后敌人6序列升级89伤害
8	36331 33243	   	270.52	紫橙2易伤3时间2伤害	157时间26易伤3a核46低血量敌人6序列升级89伤害
9	22361 35243	   	270.42	紫橙2易伤3时间2伤害	1敌人爆炸256时间3a核46易伤6序列升级7毒气减费89伤害
10	36311 63243	   	270.42	紫橙2易伤3时间2伤害	157时间26易伤3a核4最后敌人89伤害
11	36331 63243	   	270.42	紫橙2易伤3时间2伤害	157时间26易伤3a核4低血量敌人89伤害
12	52361 33243	   	270.42	紫橙2易伤3时间2伤害	1挖尘256时间3a核46易伤6序列升级7双倍矿89伤害
13	32213 65512	   	267.19	橙3易伤3时间3矿等1等级	127时间3平台467矿等567易伤67序列升级8核9等级a雷电
14	32213 65513	   	267.19	橙3易伤3时间3矿等1等级	127时间3平台467矿等567易伤67序列升级8核9等级a立即金币
15	36314 32243	 * 	262.03	紫橙2伤害1易伤1等级1矿等1时间	1时间2易伤3a核4最后敌人5赏金塔6矿等7等级89伤害
16	36334 32243	   	262.03	紫橙2伤害1易伤1等级1矿等1时间	1时间2易伤3a核4低血量敌人5赏金塔6矿等7等级89伤害
17	32213 65522	 * 	261.05	橙3易伤3时间3矿等1伤害	127时间3平台467矿等567易伤67序列升级8核9基地爆炸a伤害
18	32213 65532	   	261.05	橙3易伤3时间3矿等1伤害	127时间3平台467矿等567易伤67序列升级8核9敌人爆炸a伤害
19	26354 32223	 * 	256.99	紫橙2易伤1等级1伤害1矿等	1敌人爆炸29易伤3a核4基地爆炸5赏金塔6矿等7等级8伤害
20	33115 31111	   	256.34	橙橙1易伤1等级1时间1暴击1技能	1时间2随机技能3金币生成4技能5赏金邻近6暴击79核8等级a易伤
21	33265 31111	   	256.34	橙橙1易伤1等级1时间1暴击1技能	1时间2随机技能3技能4随机矿5赏金邻近6暴击79核8等级a易伤
22	22114 32223	   	255.04	紫橙2易伤1等级1伤害1时间	1敌人爆炸2时间3赏金塔4随机矿5a核69易伤7等级8伤害
23	22414 32223	   	255.04	紫橙2易伤1等级1伤害1时间	1敌人爆炸2时间3赏金邻近4随机矿5a核69易伤7等级8伤害
24	22361 33523	   	255.01	紫橙3易伤3时间1技能	1敌人爆炸256时间3a核469易伤6序列升级7双倍矿8技能
25	22361 33623	   	255.01	紫橙3易伤3时间	1敌人爆炸256时间3a核469易伤6序列升级7双倍矿8策反
26	22361 36423	 * 	255.01	紫橙3易伤3时间2技能	1敌人爆炸256时间3a核469易伤6序列升级78技能
27	36362 36133	   	255.01	紫橙3易伤3时间1技能	189时间246易伤3a核56敌人爆炸6序列升级7技能
28	36362 26123	   	254.91	紫橙3易伤3时间1技能	168时间249易伤3a核5敌人爆炸7技能
29	22361 35523	   	254.91	紫橙3易伤3时间1技能	1敌人爆炸256时间3a核469易伤6序列升级7毒气减费8技能
30	22361 35623	   	254.91	紫橙3易伤3时间	1敌人爆炸256时间3a核469易伤6序列升级7毒气减费8策反
31	22361 66123	   	254.91	紫橙3易伤3时间1技能	1敌人爆炸258时间3a核469易伤7技能
32	36131 31461	 * 	253.21	橙4易伤2时间1喷火对甲1矿等	15时间2458易伤3赏金塔5序列升级6金币生成7矿等9核a喷火对甲
33	22361 33213	   	252.93	紫橙2易伤3时间1伤害	19敌人爆炸256时间3a核46易伤6序列升级7双倍矿8伤害
34	22361 23223	   	252.83	紫橙2易伤3时间1伤害	1敌人爆炸256时间3a核49易伤7双倍矿8伤害
35	22361 35213	   	252.83	紫橙2易伤3时间1伤害	19敌人爆炸256时间3a核46易伤6序列升级7毒气减费8伤害
36	22361 25223	   	252.73	紫橙2易伤3时间1伤害	1敌人爆炸256时间3a核49易伤7毒气减费8伤害
37	52132 12261	   	252.05	橙橙1易伤1伤害1矿等1时间	1挖尘2时间3赏金塔4易伤5敌人爆炸6伤害7平台89核a矿等
38	52432 12261	   	252.05	橙橙1易伤1伤害1矿等1时间	1挖尘2时间3赏金邻近4易伤5敌人爆炸6伤害7平台89核a矿等
39	36363 13162	   	251.68	紫橙2易伤1矿等1时间1全技能1暴击	1时间24易伤3a核5风暴减费6全技能7随机矿8矿等9暴击
40	62223 36351	 * 	250.95	橙橙2矿等2时间1等级	1基地爆炸2a时间3雷电47矿等5等级6技能点89核
