0	Index      	 *	Score 	Summary	Detail	
1	11232 13786	 * 	300.41	DCR|DCR|2VULN|1TLV|1MLV	1RCVC|28VULN|3FRZICY|4MBVNT|5BBNT|6TLV|79RCR|aMLV
2	23125 14432	 * 	288.87	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LWND|2RAT|3ASPD|4TLV|5DMG|6VULN|7aRCR|8MDPS|9RPLT
3	23126 14622	 * 	283.39	DCR|DCR|1VULN|1TLV|2ASPD	1LWND|2RAT|3aASPD|4TLV|5ERES|6VULN|79RCR|8BELT
4	53322 15216	   	280.42	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1AME|2ASPD|3TBNT|4VULN|5DUR|6LWND|7aRCR|8CDMG|9MLV
5	22416 23313	   	280.16	DCR|DCR|1VULN|1MLV|1ASPD|2DUR	1LWND|2MLV|37DUR|4VULN|5RAT|6aRCR|8LSRICY|9ASPD
6	11232 13783	   	280.13	DCR|DCR|2VULN|1TLV	1RCVC|28VULN|3FRZICY|4MBVNT|5BBNT|6TLV|79RCR|aDUR
7	11238 13783	   	280.13	DCR|DCR|2VULN|1TLV	1RCVC|28VULN|3FRZICY|4MBVNT|5TBNT|6TLV|79RCR|aDUR
8	23112 24622	 * 	279.89	DCR|DCR|1VULN|2ASPD|1MLV	1LWND|2RAT|3aASPD|4VULN|5MLV|6ERES|79RCR|8BELT
9	12231 23226	 * 	277.53	DCR|2VULN|2MLV|1TLV|2ASPD	1RCVC|27ASPD|3MDPS|4AART|57VULN|67MLV|7BPWR|8LIT|9RCR|aTLV
10	22353 23266	   	273.96	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1LWND|2MLV|3TBNT|4SELL|5NUKE|6VULN|7LHND|8TLV|9aRCR
11	22353 21266	   	273.86	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1LWND|2MLV|3TBNT|4SELL|5NUKE|6VULN|7DUST|8TLV|9aRCR
12	23112 24642	   	273.61	DCR|DCR|1VULN|1MLV|1ASPD	1LWND|2RAT|3ASPD|4VULN|5MLV|6ERES|7aRCR|8BELT|9DUR
13	53323 15216	   	272.02	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1AME|2ASPD|3TBNT|4VULN|5DUST|6LWND|7aRCR|8CDMG|9MLV
14	11232 13784	   	271.82	DCR|DCR|2VULN|1TLV	1RCVC|28VULN|3FRZICY|4MBVNT|5BBNT|6TLV|79RCR|aRMIN
15	11232 13785	   	271.82	DCR|DCR|2VULN|1TLV	1RCVC|28VULN|3FRZICY|4MBVNT|5BBNT|6TLV|79RCR|aFEWX
16	11238 13784	   	271.82	DCR|DCR|2VULN|1TLV	1RCVC|28VULN|3FRZICY|4MBVNT|5TBNT|6TLV|79RCR|aRMIN
17	11232 13781	   	271.72	DCR|DCR|2VULN|1TLV	1RCVC|28VULN|3FRZICY|4MBVNT|5BBNT|6TLV|79RCR|aERES
18	11232 13782	   	271.72	DCR|DCR|2VULN|1TLV	1RCVC|28VULN|3FRZICY|4MBVNT|5BBNT|6TLV|79RCR|aDUST
19	11232 13787	   	271.72	DCR|DCR|2VULN|1TLV	1RCVC|28VULN|3FRZICY|4MBVNT|5BBNT|6TLV|79RCR|aAEWIND
20	11232 13788	   	271.72	DCR|DCR|2VULN|1TLV	1RCVC|28VULN|3FRZICY|4MBVNT|5BBNT|6TLV|79RCR|aBEXP
21	11238 13781	   	271.72	DCR|DCR|2VULN|1TLV	1RCVC|28VULN|3FRZICY|4MBVNT|5TBNT|6TLV|79RCR|aERES
22	11238 13782	   	271.72	DCR|DCR|2VULN|1TLV	1RCVC|28VULN|3FRZICY|4MBVNT|5TBNT|6TLV|79RCR|aDUST
23	22245 62123	 * 	271.58	ACR|DCR|2VULN|1TLV|1MLV	1LWND|2MLV|3MDPS|4ERES|56RCR|7DUR|8aVULN|9TLV
