0	Index      	 *	Score 	Summary	Detail	
1	25124 53332	 * 	279.17	DCR|DCR|1TLV|1MLV|1DMG|1AAC	1LHND|2TLV|3LIT|4AAC|5MLV|6TBNT|7RPLT|8DMG|9aRCR
2	36124 53333	 * 	274.21	DCR|DCR|2AAC|1TLV|1MLV	1FEWX|2RMIN|3LIT|49AAC|5MLV|6TBNT|7aRCR|8TLV
3	42347 46313	 * 	272.77	DCR|DCR|2VULN|1AAC|1ASPD|1NUKE	1ASPD|2MBVNT|3TBNT|4RPLT|5NUKE|6AAC|78RCR|9aVULN
4	42447 46313	   	272.77	DCR|DCR|2VULN|1AAC|1ASPD|1NUKE	1ASPD|2MBVNT|3BBNT|4RPLT|5NUKE|6AAC|78RCR|9aVULN
5	32632 24162	 * 	272.59	DCR|3VULN|2MLV|3ASPD	1aFEWX|2RPLT|35aVULN|467ASPD|8aMLV|9RCR|aBPWR
6	31123 32253	 * 	272.52	DCR|2VULN|2MLV|2TLV|1DMG	19FEWX|24AEFRZ|39MLV|5aVULN|6DMG|79TLV|8RCR|9BPWR
7	42845 21424	   	271.92	DCR|DCR|1TLV|1MLV|1ASPD|1CDMG	1ASPD|2MBVNT|3AEBURN|4MLV|5TLV|6aRCR|7CDMG|8LWND|9FRZICY
8	42845 21444	   	271.82	DCR|DCR|1TLV|1MLV|1ASPD|1CDMG	1ASPD|2MBVNT|3AEBURN|4MLV|5TLV|6aRCR|7CDMG|8LWND|9MULHEA
9	42723 83134	   	271.72	DCR|DCR|1TLV|1MLV|1ASPD|1CDMG	1ASPD|2MBVNT|38DUST|4LSRREG|5TLV|6aRCR|7CDMG|9MLV
10	24633 42233	 * 	271.57	DCR|3VULN|1TLV|1MLV|1DMG|1AAC	1LHND|2FEWX|3AAC|45aVULN|6MLV|7TLV|8RCR|9DMG
11	23633 45332	   	271.47	DCR|3VULN|1TLV|1MLV|1DMG|1AAC	1LHND|2BEXP|3AAC|457VULN|6MLV|8TLV|9DMG|aRCR
12	43453 24413	 * 	270.20	DCR|4VULN|2TLV|2ASPD|1NUKE	19ASPD|2LWND|3NUKE|49TLV|579aVULN|6MBVNT|8RCR|9BPWR
13	42873 21144	   	269.43	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|2MBVNT|3AEBURN|45VULN|6aRCR|7CDMG|8BASARM|9FEWX
14	43231 43223	 * 	269.02	DCR|2VULN|2MLV|1TLV|2ASPD	15ASPD|2LWND|3DUST|4aVULN|69MLV|7TLV|8RCR
15	51324 33253	 * 	268.85	DCR|3VULN|2TLV|1MLV|1DMG	1CGEN|29DUST|3MLV|4AME|59aVULN|6DMG|79TLV|8RCR|9BPWR
16	61323 33253	   	268.75	DCR|3VULN|2TLV|1MLV|1DMG	1ERES|29DUST|3MLV|4AME|59aVULN|6DMG|79TLV|8RCR|9BPWR
17	42314 48432	   	268.63	DCR|DCR|1VULN|1AAC|1ASPD|1CDMG	1ASPD|2MBVNT|3TBNT|4LIT|5AAC|6CDMG|7aRCR|8VULN|9DUR
18	42414 48432	   	268.63	DCR|DCR|1VULN|1AAC|1ASPD|1CDMG	1ASPD|2MBVNT|3BBNT|4LIT|5AAC|6CDMG|7aRCR|8VULN|9DUR
19	23323 46334	 * 	267.83	DCR|DCR|2MLV|1VULN	1LHND|24BEXP|34MLV|4BPWR|5VULN|6BASICY|7TBNT|8aRCR|9LIT
20	42383 22173	   	267.15	DCR|2VULN|2MLV|3ASPD|1AAC	15aASPD|2MBVNT|3TBNT|4ERES|6RCR|7aVULN|8aMLV|9AAC|aBPWR
21	42483 22173	   	267.15	DCR|2VULN|2MLV|3ASPD|1AAC	15aASPD|2MBVNT|3BBNT|4ERES|6RCR|7aVULN|8aMLV|9AAC|aBPWR
22	51334 35122	   	266.56	DCR|2VULN|2MLV|1TLV|1DMG	1CGEN|2DUST|38MLV|4DMG|57VULN|6TLV|9DUR|aRCR
23	61333 35122	   	266.46	DCR|2VULN|2MLV|1TLV|1DMG	1ERES|2DUST|38MLV|4DMG|57VULN|6TLV|9DUR|aRCR
24	61353 35122	   	266.46	DCR|2VULN|2MLV|1TLV|1DMG	1ERES|2DUST|38MLV|4TLV|57VULN|6DMG|9DUR|aRCR
25	23312 43334	   	266.21	DCR|2VULN|2MLV|2TLV|1CDMG	1aLHND|2BEXP|3aMLV|4CDMG|58VULN|6aTLV|7RCR|9RMIN|aBPWR
26	33633 42363	   	265.58	DCR|3VULN|2TLV|1MLV|1AAC	1FEWX|2BEXP|3AAC|45aVULN|6MLV|78TLV|9RCR
27	24633 42231	 * 	264.53	DCR|2VULN|2AAC|1TLV|1MLV|1DMG	1LHND|2FEWX|3aAAC|45VULN|6MLV|7TLV|8RCR|9DMG
28	42873 21232	   	264.32	DCR|3VULN|1TLV|1MLV|1ASPD|1CDMG	1ASPD|2MBVNT|3AEBURN|45aVULN|6RCR|7CDMG|8MLV|9TLV
29	23312 41651	   	263.84	DCR|2MLV|2TLV|1VULN|1AAC|1CDMG	17LHND|2BEXP|37MLV|4CDMG|5VULN|67TLV|7BPWR|8AAC|9RAT|aRCR
30	23633 42332	   	263.51	DCR|2VULN|2TLV|1MLV|1DMG|1AAC	1LHND|2BEXP|3AAC|45VULN|6MLV|78TLV|9DMG|aRCR
31	61323 33245	   	263.51	DCR|2VULN|2TLV|1MLV|1DMG|1AAC	1ERES|2aDUST|3MLV|4AME|5aVULN|6DMG|7aTLV|8RCR|9AAC|aBPWR
32	21333 42234	 * 	263.48	DCR|2MLV|2DMG|1VULN|1TLV|1CDMG	1LHND|2AEFRZ|3aLWND|4aDMG|5VULN|6aMLV|7TLV|8RCR|9CDMG|aBPWR
33	31333 42234	   	263.48	DCR|2MLV|2DMG|1VULN|1TLV|1CDMG	1FEWX|2AEFRZ|3aLWND|4aDMG|5VULN|6aMLV|7TLV|8RCR|9CDMG|aBPWR
34	61343 35122	   	263.28	DCR|2VULN|2MLV|1TLV|1AAC	1ERES|2DUST|38MLV|4AAC|57VULN|6TLV|9DUR|aRCR
35	23312 41451	   	263.20	DCR|2MLV|2TLV|1VULN|1ASPD|1CDMG	17LHND|2BEXP|37MLV|4CDMG|5VULN|67TLV|7BPWR|8ASPD|9RAT|aRCR
36	42631 52433	 * 	263.17	DCR|2VULN|1TLV|2ASPD|1MLV|1DMG	15ASPD|2MBVNT|3BEXP|4aVULN|6MLV|7TLV|8RCR|9DMG
37	42731 52433	   	263.17	DCR|2VULN|1TLV|2ASPD|1MLV|1DMG	15ASPD|2MBVNT|3DUST|4aVULN|6MLV|7TLV|8RCR|9DMG
38	43231 43234	 * 	262.98	DCR|2MLV|1VULN|1TLV|2ASPD|2CDMG	15ASPD|2aLWND|3DUST|4VULN|6aMLV|7TLV|8RCR|9aCDMG|aBPWR
39	32621 43363	 * 	262.33	DCR|DCR|1VULN|1TLV	1FEWX|2RPLT|3VULN|4LWND|5TLV|6DUR|79RCR|8AME|aAART
40	31163 66211	 * 	260.53	DCR|3VULN|2MLV|1TLV	17FEWX|2AEFRZ|37MLV|457VULN|6TBNT|7BPWR|8RCR|9TLV|aLHND
41	31163 66212	   	260.53	DCR|3VULN|2MLV|1TLV	17FEWX|2AEFRZ|37MLV|457VULN|6TBNT|7BPWR|8RCR|9TLV|aRCVC
42	31163 66213	   	260.43	DCR|3VULN|2MLV|1TLV	17FEWX|2AEFRZ|37MLV|457VULN|6TBNT|7BPWR|8RCR|9TLV|aLEGI
43	42314 48442	   	260.22	DCR|DCR|1VULN|1AAC|1ASPD|1CDMG	1ASPD|2MBVNT|3TBNT|4LIT|5AAC|6CDMG|7aRCR|8VULN|9BEXP
44	42347 46311	   	260.22	DCR|DCR|1VULN|1AAC|1ASPD|1CDMG|1NUKE	1ASPD|2MBVNT|3TBNT|4RPLT|5NUKE|6AAC|78RCR|9VULN|aCDMG
45	42414 48442	   	260.22	DCR|DCR|1VULN|1AAC|1ASPD|1CDMG	1ASPD|2MBVNT|3BBNT|4LIT|5AAC|6CDMG|7aRCR|8VULN|9BEXP
46	42447 46311	   	260.22	DCR|DCR|1VULN|1AAC|1ASPD|1CDMG|1NUKE	1ASPD|2MBVNT|3BBNT|4RPLT|5NUKE|6AAC|78RCR|9VULN|aCDMG
47	32631 41142	 * 	260.19	DCR|2VULN|2MLV|2DMG|1ASPD	1FEWX|2RPLT|3aVULN|4ASPD|5ZMB|6RCR|7aDMG|8BEXP|9aMLV|aBPWR
48	43231 43243	   	260.10	DCR|2VULN|1TLV|2ASPD|1MLV|1AAC	15ASPD|2LWND|3DUST|4aVULN|6MLV|7TLV|8RCR|9AAC
49	25124 52332	   	259.11	DCR|DCR|1TLV|1MLV|1AAC	1LHND|2TLV|3LIT|4AAC|5MLV|6TBNT|7ZMB|8RPLT|9aRCR
50	51124 53133	   	258.91	DCR|DCR|1TLV|1MLV|1AAC	1CGEN|2DUST|3LIT|4AAC|5MLV|6TBNT|7aRCR|8AEBURN|9TLV
51	51124 53233	   	258.91	DCR|DCR|1TLV|1MLV|1AAC	1CGEN|28DUST|3LIT|4AAC|5MLV|6TBNT|7aRCR|9TLV
52	51341 53133	   	258.91	DCR|DCR|1TLV|1MLV|1AAC	1CGEN|2DUST|3MLV|4AAC|5LIT|6TBNT|7aRCR|8AEBURN|9TLV
53	51341 53233	   	258.91	DCR|DCR|1TLV|1MLV|1AAC	1CGEN|28DUST|3MLV|4AAC|5LIT|6TBNT|7aRCR|9TLV
54	61124 53133	   	258.81	DCR|DCR|1TLV|1MLV|1AAC	1ERES|2DUST|3LIT|4AAC|5MLV|6TBNT|7aRCR|8AEBURN|9TLV
