0	Index      	 *	Score 	Summary	Detail	
1	24111 16512	 * 	296.52	DCR|DCR|2VULN|1TLV|1DMG	1LHND|2LWND|39BEXP|4TLV|5aVULN|6DMG|78RCR
2	13311 16524	 * 	295.04	DCR|DCR|2MLV|1VULN|1DMG	1aMLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9MDPS
3	23352 23663	 * 	294.74	DCR|DCR|1VULN|1TLV|1MLV|2CDMG	13LHND|23CDMG|3BPWR|4MLV|5TBNT|6BEXP|79RCR|8TLV|aVULN
4	23362 33663	   	294.74	DCR|DCR|1VULN|1TLV|1MLV|2CDMG	13LHND|23CDMG|3BPWR|4TBNT|5BEXP|6MLV|79RCR|8TLV|aVULN
5	43111 16531	   	293.00	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LEGI|2DUR|3BEXP|4TLV|5VULN|6DMG|78RCR|9BELT|aASPD
6	43111 16513	   	292.90	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LEGI|2DUR|39BEXP|4TLV|5VULN|6DMG|78RCR|aASPD
7	43111 16522	   	292.90	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LEGI|2DUR|3BEXP|4TLV|5VULN|6DMG|78RCR|9MDPS|aASPD
8	13311 16543	 * 	288.45	DCR|DCR|2DMG|1VULN|1MLV	1MLV|2BEXP|3FEWX|4DUR|5VULN|6aDMG|78RCR|9DUST
9	11122 24462	 * 	287.58	DCR|2VULN|2MLV|1TLV|2CDMG|2DUR|2RAT	19MLV|29RAT|34DUR|58CDMG|6RCR|79VULN|9BPWR|aTLV
10	11115 26224	 * 	287.45	DCR|3MLV|3ASPD|1VULN|1DMG|2RAT	18aMLV|28RAT|3DUR|4VULN|568ASPD|7RCR|8BPWR|9DMG
11	13311 16533	   	287.21	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9RCVC|aASPD
12	13311 16513	   	287.11	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1MLV|29BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|aASPD
13	13311 16522	   	287.11	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9MDPS|aASPD
14	24111 16531	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LHND|2LWND|3BEXP|4TLV|5VULN|6DMG|78RCR|9BELT|aASPD
15	41111 16533	   	284.59	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LEGI|2DUST|3BEXP|4TLV|5VULN|6DMG|78RCR|9RCVC|aASPD
16	41111 16513	   	284.49	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LEGI|2DUST|39BEXP|4TLV|5VULN|6DMG|78RCR|aASPD
17	41111 16522	   	284.49	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LEGI|2DUST|3BEXP|4TLV|5VULN|6DMG|78RCR|9MDPS|aASPD
18	11115 26252	 * 	283.60	DCR|2MLV|3ASPD|1VULN|1TLV|2DUR|2RAT	18MLV|28RAT|3aDUR|4VULN|568ASPD|7RCR|8BPWR|9TLV
19	13311 16551	   	279.26	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9AART|aLIT
20	13311 16552	   	279.26	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9AART|aBBNT
21	13311 16525	   	279.16	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9MDPS|aAART
22	13311 16553	   	279.16	DCR|DCR|1VULN|1MLV|1DMG|1MSE	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9AART|aMSE
23	11122 24461	 * 	277.91	DCR|3MLV|2VULN|2CDMG|2DUR|2RAT	19aMLV|29RAT|34DUR|58CDMG|6RCR|79VULN|9BPWR
24	13311 16541	   	277.80	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9DUST|aRAT
25	11115 26251	   	276.95	DCR|2MLV|3ASPD|1VULN|1TLV|2RAT|1MSE	18MLV|28RAT|3DUR|4VULN|568ASPD|7RCR|8BPWR|9TLV|aMSE
26	11115 26253	   	276.95	DCR|2MLV|3ASPD|1VULN|1TLV|2RAT	18MLV|28RAT|3DUR|4VULN|568ASPD|7RCR|8BPWR|9TLV|aBEXP
27	11111 23536	   	276.89	DCR|2MLV|3ASPD|1VULN|1TLV|2DUR	18MLV|2RAT|38DUR|4VULN|5TLV|689ASPD|7MDPS|8BPWR|aRCR
28	43111 16533	   	276.75	DCR|DCR|1VULN|1TLV|1DMG	1LEGI|2DUR|3BEXP|4TLV|5VULN|6DMG|78RCR|9BELT|aCGEN
29	43111 16511	   	276.65	DCR|DCR|1VULN|1TLV|1DMG	1LEGI|2DUR|39BEXP|4TLV|5VULN|6DMG|78RCR|aLWND
30	43111 16521	   	276.65	DCR|DCR|1VULN|1TLV|1DMG	1LEGI|2DUR|3BEXP|4TLV|5VULN|6DMG|78RCR|9MDPS|aLHND
31	43111 16532	   	276.65	DCR|DCR|1VULN|1TLV|1DMG	1LEGI|2DUR|3BEXP|4TLV|5VULN|6DMG|78RCR|9BELT|aERES
