0	Index      	 *	Score 	Summary	Detail	
1	65323 22371	 * 	310.92	DCR|DCR|2VULN|2MLV|1AAC	1TBNT|28MLV|3AEBURN|47VULN|5MBVNT|69RCR|aAAC
2	21344 41312	 * 	308.98	DCR|DCR|2VULN|1TLV|1DMG|1AAC	16AME|2RPLT|3TLV|4DMG|56VULN|6BPWR|7aRCR|8LWND|9AAC
3	21344 11512	   	308.88	DCR|DCR|2VULN|1TLV|1DMG|1AAC	1AME|2RPLT|3TLV|4DMG|58VULN|6AAC|7FEWX|9aRCR
4	21344 12512	   	308.78	DCR|DCR|2VULN|1TLV|1DMG|1AAC	1AME|2RPLT|3TLV|4DMG|58VULN|6AAC|7AETHUN|9aRCR
5	21344 13512	   	308.78	DCR|DCR|2VULN|1TLV|1DMG|1AAC	1AME|2RPLT|3TLV|4DMG|58VULN|6AAC|7DUST|9aRCR
6	21344 42212	   	308.34	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	16AME|2RPLT|3TLV|4DMG|56VULN|6BPWR|7LWND|8ASPD|9aRCR
7	22331 65212	   	308.24	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1AME|2DMG|3TLV|4FEWX|5RPLT|67VULN|8ASPD|9aRCR
8	22341 65212	   	308.24	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1AME|2DMG|3TLV|4LHND|5RPLT|67VULN|8ASPD|9aRCR
9	21341 65212	   	308.14	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1AME|2RPLT|3TLV|4DMG|5DUST|67VULN|8ASPD|9aRCR
10	22311 65212	   	308.14	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1AME|2DMG|3TLV|4LEGI|5RPLT|67VULN|8ASPD|9aRCR
11	21344 16312	 * 	306.08	DCR|DCR|1VULN|2AAC|1TLV|1DMG	1AME|2RPLT|3TLV|4DMG|5VULN|67AAC|8DUR|9aRCR
12	21311 65212	   	305.07	DCR|DCR|2VULN|1TLV|1AAC|1ASPD	1AME|2RPLT|3TLV|4LWND|5AAC|67VULN|8ASPD|9aRCR
