0	Index      	 *	Score 	Summary	Detail	
1	51265 21122	 * 	283.38	DCR|4VULN|2TLV|1MLV	1349VULN|2AME|5AART|6RCR|79TLV|89DUST|9BPWR|aMLV
2	13362 34332	 * 	277.52	DCR|3MLV|2VULN|1TLV|1DMG|1RPLT|2DUR	1aDUR|2ERES|3RPLT|45aMLV|6RCR|7DMG|8TLV|9aVULN|aBPWR
3	51221 12452	 * 	275.65	DCR|3VULN|2LIT|1TLV|1DMG	135VULN|2AME|4CGEN|69LIT|7RCR|8DMG|aTLV
4	54221 12225	 * 	274.85	DCR|4VULN|2LIT|1TLV	1358VULN|2AAC|4CGEN|69LIT|7RCR|aTLV
5	51221 12225	   	274.75	DCR|4VULN|2LIT|1TLV	1358VULN|2AME|4CGEN|69LIT|7RCR|aTLV
6	53221 12225	   	274.75	DCR|4VULN|2LIT|1TLV	1358VULN|2ERES|4CGEN|69LIT|7RCR|aTLV
7	51262 12225	   	274.75	DCR|4VULN|2LIT|1TLV	1348VULN|2AME|5CGEN|69LIT|7RCR|aTLV
8	51251 12225	   	274.65	DCR|4VULN|2LIT|1TLV	1358VULN|2AME|4ERES|69LIT|7RCR|aTLV
9	51221 12442	 * 	274.50	DCR|4VULN|1TLV|1LIT|1DMG	1359VULN|2AME|4CGEN|6LIT|7RCR|8DMG|aTLV
10	52124 63121	 * 	273.37	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	1VULN|2CANARM|3AAC|45TLV|6CDMG|7DMG|8LIT|9MLV|aRCR
11	51221 12462	 * 	272.92	DCR|3VULN|2DMG|1TLV|1LIT	135VULN|2AME|4CGEN|6LIT|7RCR|89DMG|aTLV
12	51265 21313	   	271.05	DCR|4VULN|1TLV|1LIT	134aVULN|2AME|5AART|6RCR|7TLV|8LIT|9RPLT
13	14342 12262	 * 	270.22	DCR|2VULN|1TLV|1LIT|1MLV|1RPLT|1CDMG|1DUR	1DUR|2AAC|3RPLT|4TLV|5MLV|6LIT|7aVULN|8CDMG|9RCR
14	56332 13214	 * 	269.78	DCR|3VULN|3MLV|1TLV|1DMG	178VULN|2TBNT|378MLV|4ZMB|5DMG|678LWND|78BPWR|9TLV|aRCR
15	51221 12426	   	268.99	DCR|3VULN|1TLV|1LIT|1DMG|1CDMG	135VULN|2AME|4CGEN|6LIT|7RCR|8DMG|9CDMG|aTLV
16	53221 12426	   	268.99	DCR|3VULN|1TLV|1LIT|1DMG|1CDMG	135VULN|2ERES|4CGEN|6LIT|7RCR|8DMG|9CDMG|aTLV
17	54221 12243	   	268.19	DCR|4VULN|1TLV|1LIT|1ASPD	1358VULN|2AAC|4CGEN|6LIT|7RCR|9ASPD|aTLV
18	51221 12242	   	268.09	DCR|4VULN|1TLV|1LIT|1ASPD	1358VULN|2AME|4CGEN|6LIT|7RCR|9ASPD|aTLV
19	51262 12242	   	268.09	DCR|4VULN|1TLV|1LIT|1ASPD	1348VULN|2AME|5CGEN|6LIT|7RCR|9ASPD|aTLV
