0	Index      	 *	Score 	Summary	Detail	
1	53321 23135	 * 	310.95	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1ASPD	1RPLT|2SNITOX|3LIT|4VULN|5ASPD|6TLV|7AART|8NUKE|9aRCR
2	23565 41124	 * 	310.64	DCR|DCR|2VULN|1TLV|1LIT|1ASPD	1RMIN|2MBVNT|34VULN|4BPWR|5ASPD|6aRCR|7FEWX|8LIT|9TLV
3	23565 44124	   	310.54	DCR|DCR|2VULN|1TLV|1LIT|1ASPD	1RMIN|2MBVNT|34VULN|4BPWR|5ASPD|6aRCR|7LEGI|8LIT|9TLV
4	23811 12124	 * 	306.12	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG	1RMIN|2MBVNT|3DMG|4ERES|5VULN|6aRCR|7MLV|8LIT|9TLV
5	34422 38424	 * 	302.28	DCR|DCR|2LIT|1TLV|1DMG|1ASPD	1BBNT|25LIT|3MBVNT|4ASPD|6MDPS|7aRCR|8DMG|9TLV
6	24142 14222	 * 	298.31	DCR|2VULN|2TLV|2MLV|1LIT|1CDMG	1RMIN|27MLV|3CDMG|47VULN|5TBNT|67TLV|7BPWR|8RCR|9ERES|aLIT
7	33431 12651	 * 	293.35	DCR|DCR|2TLV|1VULN|2AART	1BBNT|23AART|47TLV|5AME|69RCR|8RPLT|aVULN
8	33431 12652	 * 	293.35	DCR|DCR|2TLV|1LIT|2AART	1BBNT|23AART|47TLV|5AME|69RCR|8RPLT|aLIT
9	21266 23362	 * 	292.96	DCR|2VULN|2TLV|2MLV|2DMG	1RMIN|2aDMG|3aMLV|4RPLT|56TLV|7RCR|8ERES|9aVULN|aBPWR
10	41263 74124	   	286.26	DCR|DCR|1TLV|1LIT|1VULN|1MLV	13ZMB|23LHND|3BPWR|4MBVNT|5VULN|6LIT|7aRCR|8MLV|9TLV
11	42261 11124	   	286.06	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1ZMB|2ERES|3MLV|4MBVNT|5VULN|6aRCR|7RMIN|8LIT|9TLV
12	21141 22223	 * 	284.82	DCR|2VULN|2TLV|3DMG|2CDMG	1RMIN|279DMG|37CDMG|49VULN|5DUR|67TLV|79BPWR|89ERES|aRCR
13	23525 41124	   	284.43	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1RMIN|2MBVNT|3VULN|4RCVC|5ASPD|6aRCR|7FEWX|8LIT|9TLV
14	23525 48124	   	284.43	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1RMIN|2MBVNT|3VULN|4RCVC|5ASPD|6aRCR|7LWND|8LIT|9TLV
15	23525 44124	   	284.33	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1RMIN|2MBVNT|3VULN|4RCVC|5ASPD|6aRCR|7LEGI|8LIT|9TLV
16	21141 22333	 * 	283.36	DCR|2TLV|2DMG|1LIT|1VULN|2CDMG	1RMIN|27DMG|37CDMG|4VULN|5DUR|67TLV|7BPWR|8AART|9LIT|aRCR
17	51216 23112	   	280.97	DCR|2TLV|2DMG|1LIT|1VULN|1RPLT|2DUR	1RPLT|24DUR|38DMG|56TLV|7RCR|9VULN|aLIT
