0	Index      	 *	Score 	Summary	Detail	
1	22632 14532	 * 	299.27	DCR|2VULN|2LIT|2DMG|1TLV|1RPLT	1aLIT|2RPLT|3aDMG|4ERES|5BBNT|6TLV|7aVULN|8RCR|9AAC|aBPWR
2	22632 36532	 * 	293.61	DCR|2TLV|2LIT|2DMG|1VULN|1RPLT	1aLIT|2RPLT|3aDMG|4ERES|5BBNT|6VULN|7aTLV|8RCR|9AAC|aBPWR
3	23522 21443	 * 	292.16	DCR|DCR|3LIT|1TLV|1MLV	127LIT|2BPWR|3LWND|4MLV|5LHND|69RCR|8BLASTR|aTLV
4	23522 21543	   	292.16	DCR|DCR|3LIT|1TLV|1MLV	127LIT|2BPWR|3LWND|4MLV|5LHND|69RCR|8FLTARM|aTLV
5	23521 21443	   	292.06	DCR|DCR|3LIT|1TLV|1MLV	127LIT|2BPWR|3LWND|4MLV|5LEGI|69RCR|8BLASTR|aTLV
6	23521 21543	   	292.06	DCR|DCR|3LIT|1TLV|1MLV	127LIT|2BPWR|3LWND|4MLV|5LEGI|69RCR|8FLTARM|aTLV
7	53134 25212	 * 	288.10	ACR|DCR|2TLV|1VULN|1MLV|1DMG|1ASPD	1MLV|2CGEN|37RCR|4DMG|59TLV|6AIRARM|8VULN|aASPD
8	33115 55211	 * 	285.44	DCR|DCR|2VULN|2TLV	14FEWX|29TLV|3AAC|5SNIHEL|67RCR|8aVULN
9	22232 14532	 * 	282.26	DCR|2VULN|2TLV|2LIT|1RPLT	1aLIT|2RPLT|3DMSP|4BEXP|5BBNT|6aTLV|7aVULN|8RCR|9AAC|aBPWR
10	22232 36532	   	282.26	DCR|2VULN|2TLV|2LIT|1RPLT	1aLIT|2RPLT|3DMSP|4BEXP|5BBNT|6aVULN|7aTLV|8RCR|9AAC|aBPWR
11	22332 14532	   	282.26	DCR|2VULN|2TLV|2LIT|1RPLT	1aLIT|2RPLT|3RCVC|4BEXP|5BBNT|6aTLV|7aVULN|8RCR|9AAC|aBPWR
12	22332 36532	   	282.26	DCR|2VULN|2TLV|2LIT|1RPLT	1aLIT|2RPLT|3RCVC|4BEXP|5BBNT|6aVULN|7aTLV|8RCR|9AAC|aBPWR
13	22242 36532	   	282.16	DCR|2VULN|2TLV|2LIT|1RPLT	1aLIT|2RPLT|3DMSP|4DUST|5BBNT|6aVULN|7aTLV|8RCR|9AAC|aBPWR
14	22342 36532	   	282.16	DCR|2VULN|2TLV|2LIT|1RPLT	1aLIT|2RPLT|3RCVC|4DUST|5BBNT|6aVULN|7aTLV|8RCR|9AAC|aBPWR
15	22242 14532	   	282.16	DCR|2VULN|2TLV|2LIT|1RPLT	1aLIT|2RPLT|3DMSP|4DUST|5BBNT|6aTLV|7aVULN|8RCR|9AAC|aBPWR
16	22342 14532	   	282.16	DCR|2VULN|2TLV|2LIT|1RPLT	1aLIT|2RPLT|3RCVC|4DUST|5BBNT|6aTLV|7aVULN|8RCR|9AAC|aBPWR
17	31313 53514	 * 	280.63	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1RPLT|1ASPD	1FEWX|24VULN|3RPLT|5TLV|6LIT|7ASPD|8RCR|9DMG|aMLV
18	22414 31216	   	280.12	DCR|2VULN|2LIT|1TLV|1DMG|1RPLT	19LIT|2RPLT|3ERES|4TLV|5DMG|67VULN|8AART|aRCR
19	42526 21413	 * 	278.99	DCR|DCR|1TLV|1LIT|1VULN	1BEXP|2DUST|3AAC|4RPLT|5MBVNT|6VULN|79RCR|8TLV|aLIT
20	11142 23133	 * 	278.28	DCR|2TLV|2LIT|1VULN|1MLV|1RPLT	1MDPS|2CGEN|3RPLT|49TLV|58LIT|6RCR|7MLV|aVULN
21	22412 14323	   	277.29	DCR|2TLV|1LIT|1VULN|1MLV|1RPLT	1LIT|2RPLT|3ERES|46TLV|5BBNT|7MLV|8DUR|9VULN|aRCR
22	22412 46323	   	277.29	DCR|2TLV|1LIT|1VULN|1MLV|1RPLT	1LIT|2RPLT|3ERES|47TLV|5BBNT|6MLV|8DUR|9VULN|aRCR
23	22432 16323	   	277.29	DCR|2TLV|1LIT|1VULN|1MLV|1RPLT	1LIT|2RPLT|3ERES|4MLV|5BBNT|67TLV|8DUR|9VULN|aRCR
24	33323 42442	   	275.57	DCR|2VULN|2LIT|1TLV|1DMG|1ASPD	1FEWX|2TLV|3AART|49VULN|57LIT|6ASPD|8DMG|aRCR
25	31313 53511	   	274.92	DCR|2VULN|1TLV|1LIT|1DMG|1RPLT|1ASPD	1FEWX|24VULN|3RPLT|5TLV|6LIT|7ASPD|8RCR|9DMG|aBBNT
26	41313 53511	   	274.92	DCR|2VULN|1TLV|1LIT|1DMG|1RPLT|1ASPD	1BEXP|24VULN|3RPLT|5TLV|6LIT|7ASPD|8RCR|9DMG|aBBNT
27	61313 53511	   	274.82	DCR|2VULN|1TLV|1LIT|1DMG|1RPLT|1ASPD	1DUST|24VULN|3RPLT|5TLV|6LIT|7ASPD|8RCR|9DMG|aBBNT
28	53134 25232	 * 	274.74	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG	1MLV|2CGEN|37RCR|4DMG|5TLV|6AIRARM|8VULN|9LIT|aTBNT
29	53134 25311	   	274.44	ACR|DCR|2TLV|1VULN|1MLV|1DMG	1MLV|2CGEN|37RCR|4DMG|59TLV|6AIRARM|8BEXP|aVULN
30	53134 25213	   	274.44	ACR|DCR|2TLV|1VULN|1MLV|1DMG	1MLV|2aCGEN|37RCR|4DMG|59TLV|6AIRARM|8VULN
31	53134 25211	   	274.34	ACR|DCR|2TLV|1VULN|1MLV|1DMG	1MLV|2CGEN|37RCR|4DMG|59TLV|6AIRARM|8VULN|aAEFBLL
32	31313 52513	 * 	273.74	DCR|3VULN|1TLV|1LIT|1DMG|1RPLT	1FEWX|24aVULN|3RPLT|5TLV|6LIT|7CGEN|8RCR|9DMG
33	41313 52513	   	273.74	DCR|3VULN|1TLV|1LIT|1DMG|1RPLT	1BEXP|24aVULN|3RPLT|5TLV|6LIT|7CGEN|8RCR|9DMG
34	22411 51216	   	273.71	DCR|2VULN|2LIT|1TLV|1RPLT|1ASPD	19LIT|2RPLT|3ERES|4TLV|57VULN|6ASPD|8AART|aRCR
35	61313 52513	   	273.64	DCR|3VULN|1TLV|1LIT|1DMG|1RPLT	1DUST|24aVULN|3RPLT|5TLV|6LIT|7CGEN|8RCR|9DMG
36	26116 53122	   	273.30	DCR|2VULN|2TLV|2LIT|1CDMG	1aLIT|2LHND|3aVULN|4TBNT|5LEGI|6CDMG|7ERES|8aTLV|9RCR|aBPWR
37	22262 63222	 * 	271.16	DCR|2LIT|2DMG|1TLV|2ASPD|1RPLT|1CDMG	18LIT|2RPLT|3DMSP|4BELT|5CDMG|68ASPD|78DMG|8BPWR|9TLV|aRCR
38	22362 63222	   	271.16	DCR|2LIT|2DMG|1TLV|2ASPD|1RPLT|1CDMG	18LIT|2RPLT|3RCVC|4BELT|5CDMG|68ASPD|78DMG|8BPWR|9TLV|aRCR
39	22632 14243	   	270.83	DCR|2VULN|1TLV|1LIT|1DMG|1RPLT	1LIT|2RPLT|3DMG|4ERES|5BBNT|6TLV|79VULN|8DUR|aRCR
40	22632 36243	   	270.83	DCR|2VULN|1TLV|1LIT|1DMG|1RPLT	1LIT|2RPLT|3DMG|4ERES|5BBNT|69VULN|7TLV|8DUR|aRCR
