0	Index      	 *	Score 	Summary	Detail	
1	26422 63121	 * 	304.06	DCR|3LIT|2VULN|2TLV|1MLV	1GSSTOX|24TLV|349LIT|4BPWR|5ZMB|6RCR|7MLV|8aVULN
2	26423 62312	 * 	292.32	DCR|2TLV|2LIT|2MLV|1VULN|1ASPD	1GSSTOX|24TLV|34LIT|4BPWR|5VULN|67MLV|8ASPD|9RCR|aTBNT
3	26423 62313	   	286.76	DCR|2TLV|2LIT|2MLV|1VULN|1ASPD	1GSSTOX|24TLV|34LIT|4BPWR|5VULN|67MLV|8ASPD|9RCR|aDMSP
4	26423 62311	   	286.66	DCR|2TLV|2LIT|2MLV|1VULN|1ASPD	1GSSTOX|24TLV|34LIT|4BPWR|5VULN|67MLV|8ASPD|9RCR|aMDPS
5	26423 41211	   	281.43	DCR|3LIT|2VULN|2TLV	1GSSTOX|24TLV|34aLIT|4BPWR|59VULN|6TSLARM|7RCR|8DUR
6	26422 63311	   	277.95	DCR|3LIT|2TLV|1VULN|1MLV	19GSSTOX|24TLV|349LIT|49BPWR|5ZMB|6RCR|7MLV|89FEWX|aVULN
7	26422 63111	   	277.86	DCR|3LIT|2TLV|1VULN|1MLV	1GSSTOX|24TLV|34aLIT|4BPWR|5ZMB|6RCR|7MLV|8VULN|9LWND
8	26422 63122	   	277.86	DCR|3LIT|2TLV|1VULN|1MLV	1GSSTOX|24TLV|349LIT|4BPWR|5ZMB|6RCR|7MLV|8VULN|aLWND
9	26422 63123	   	277.76	DCR|3LIT|2TLV|1VULN|1MLV	1GSSTOX|24TLV|349LIT|4BPWR|5ZMB|6RCR|7MLV|8VULN|aERES
10	33415 31261	 * 	277.59	ACR|ACR|2VULN|2TLV|2LIT|1SELL	1SELL|2aLIT|35RCR|4TBNT|6AART|7aTLV|8aVULN|9DLOT|aBPWR
11	32341 51623	   	277.46	DCR|3LIT|2VULN|1TLV|1SELL	1SELL|2AART|37VULN|467LIT|5RPLT|7BPWR|8DUR|9RCR|aTLV
12	12341 12413	   	277.43	DCR|3LIT|2VULN|2TLV	1BELT|2TBNT|389LIT|45ERES|68VULN|78TLV|8BPWR|aRCR
13	33332 62523	 * 	276.26	DCR|2TLV|2DMG|1LIT|1VULN|2DUR|1ASPD|1SELL	1SELL|2LIT|39DUR|4VULN|5ASPD|69DMG|7FEWX|89TLV|9BPWR|aRCR
14	45313 31413	 * 	276.12	DCR|DCR|1TLV|1VULN|1MLV|1ASPD	1BEXP|2MGNSTR|3TLV|4RPLT|5RMIN|6aRCR|7MLV|8ASPD|9VULN
15	26313 31413	   	276.02	DCR|DCR|1TLV|1VULN|1MLV|1ASPD	1GSSTOX|2TLV|3FEWX|4RPLT|5RMIN|6aRCR|7MLV|8ASPD|9VULN
16	26513 31413	   	276.02	DCR|DCR|1TLV|1VULN|1MLV|1ASPD	1GSSTOX|2TLV|3BEXP|4RPLT|5RMIN|6aRCR|7MLV|8ASPD|9VULN
17	54433 31122	 * 	275.47	ACR|4VULN|2TLV|1LIT|3DUR|1ASPD	157DUR|2RCR|3479VULN|67TLV|7BPWR|8LIT|aASPD
