0	Index      	 *	Score 	Summary	Detail	
1	11616 53231	 * 	319.99	DCR|2VULN|2TLV|2LIT|1MLV|2CDMG|1ASPD	18CDMG|2aLIT|3MLV|4LSRREG|5aVULN|6ASPD|7RCR|9aTLV|aBPWR
2	33351 32146	 * 	307.57	DCR|2VULN|2LIT|2DMG|1TLV|1RPLT	1RPLT|2aLIT|3TLV|4BBNT|5aDMG|6MBVNT|7AART|8RCR|9aVULN|aBPWR
3	42423 22351	 * 	307.06	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1AART|2RMIN|3RPLT|4ERES|5TLV|68RCR|7VULN|9BBNT|aLIT
4	33321 32146	   	303.47	DCR|2VULN|2LIT|2DMG|1TLV|1RPLT	1RPLT|2aLIT|3TLV|4aDMG|5TBNT|6MBVNT|7AART|8RCR|9aVULN|aBPWR
5	11621 52511	 * 	300.69	DCR|DCR|1TLV|1LIT|1MLV|1ASPD|1CDMG	1CDMG|2LIT|3MLV|4MDPS|5DUR|6TLV|7ASPD|89RCR|aBBNT
6	33353 43351	 * 	299.84	DCR|3LIT|2VULN|2TLV|1RPLT	1RPLT|258LIT|35TLV|4BBNT|5BPWR|69VULN|7VENTOX|aRCR
7	42423 22341	   	299.02	DCR|DCR|1TLV|1VULN|1DMG|1RPLT|1ASPD	1AART|2RMIN|3RPLT|4ERES|5TLV|68RCR|7VULN|9ASPD|aDMG
8	33355 32146	 * 	296.03	DCR|2VULN|2LIT|1TLV|2ASPD|1RPLT	1RPLT|2aLIT|3TLV|4BBNT|5aASPD|6MBVNT|7AART|8RCR|9aVULN|aBPWR
9	33353 22251	   	295.81	DCR|2VULN|2TLV|2LIT|1RPLT|1CDMG	1RPLT|25LIT|35TLV|4BBNT|5BPWR|6CDMG|78VULN|9RCR|aLWND
10	33353 22252	   	295.81	DCR|2VULN|2TLV|2LIT|1RPLT|1CDMG	1RPLT|25LIT|35TLV|4BBNT|5BPWR|6CDMG|78VULN|9RCR|aCGEN
11	33353 22256	   	295.81	DCR|2VULN|2TLV|2LIT|1RPLT|1CDMG	1RPLT|25LIT|35TLV|4BBNT|5BPWR|6CDMG|78VULN|9RCR|aZMB
12	33353 41351	   	295.81	DCR|2VULN|2TLV|2LIT|1RPLT|1CDMG	1RPLT|25LIT|35TLV|4BBNT|5BPWR|67VULN|8CDMG|9RCR|aLWND
13	33353 41352	   	295.81	DCR|2VULN|2TLV|2LIT|1RPLT|1CDMG	1RPLT|25LIT|35TLV|4BBNT|5BPWR|67VULN|8CDMG|9RCR|aCGEN
14	33353 22253	   	295.71	DCR|2VULN|2TLV|2LIT|1RPLT|1CDMG	1RPLT|25LIT|35TLV|4BBNT|5BPWR|6CDMG|78VULN|9RCR|aDUST
15	33353 22254	   	295.71	DCR|2VULN|2TLV|2LIT|1RPLT|1CDMG	1RPLT|25LIT|35TLV|4BBNT|5BPWR|6CDMG|78VULN|9RCR|aSNIFST
16	33353 22255	   	295.71	DCR|2VULN|2TLV|2LIT|1RPLT|1CDMG	1RPLT|25LIT|35TLV|4BBNT|5BPWR|6CDMG|78VULN|9RCR|aMDPS
17	33353 41353	   	295.71	DCR|2VULN|2TLV|2LIT|1RPLT|1CDMG	1RPLT|25LIT|35TLV|4BBNT|5BPWR|67VULN|8CDMG|9RCR|aDUST
18	42423 22353	 * 	295.51	DCR|DCR|2TLV|1VULN|1RPLT	1AART|2RMIN|3RPLT|4ERES|5aTLV|68RCR|7VULN|9BBNT
19	11216 23231	   	294.12	DCR|2VULN|2TLV|2LIT|1DMG|2CDMG	18CDMG|2aLIT|3AME|4LSRREG|5aVULN|6DMG|7RCR|9aTLV|aBPWR
20	31611 31223	   	293.96	DCR|DCR|1TLV|1VULN|1RPLT|1ASPD|1CDMG	1RPLT|2SPLREG|3DUR|4ASPD|5CDMG|6LWND|78RCR|9TLV|aVULN
21	42423 22363	 * 	291.51	DCR|DCR|2VULN|1TLV|1RPLT	1AART|2RMIN|3RPLT|4ERES|5TLV|68RCR|7aVULN|9FEWX
22	11621 52513	   	291.03	DCR|DCR|1TLV|1LIT|1MLV|1ASPD|1CDMG	1CDMG|2LIT|3MLV|4MDPS|5DUR|6TLV|7ASPD|89RCR|aDMSP
23	11621 52512	   	290.93	DCR|DCR|1TLV|1LIT|1MLV|1ASPD|1CDMG	1CDMG|2LIT|3MLV|4MDPS|5DUR|6TLV|7ASPD|89RCR|aERES
24	33311 22524	   	290.32	DCR|2VULN|2TLV|2LIT|1RPLT|1SELL	1RPLT|28LIT|38TLV|4LHND|5DUR|68VULN|7SELL|8BPWR|9AART|aRCR
25	33331 22524	   	290.32	DCR|2VULN|2TLV|2LIT|1RPLT|1SELL	1RPLT|28LIT|38TLV|4LWND|5DUR|68VULN|7SELL|8BPWR|9AART|aRCR
