0	Index      	 *	Score 	Summary	Detail	
1	16212 63631	 * 	231.84	4VULN|1SPLARM|1MDPS|1ASPD|1CDMG|1AAC|1ZMB	1248VULN|3ASPD|5ZMB|6SPLARM|7CDMG|9AAC|aMDPS
2	13513 11663	 * 	231.44	DCR|3VULN|2DMG|2ASPD|1AART	17aVULN|27ASPD|3aLHND|4ERES|57TLV|6AART|7aBPWR|8aDMG|9RCR
3	13432 21663	   	230.67	DCR|3VULN|2DMG|1AART|1ASPD|2DUR	14aVULN|2ASPD|3AART|5aDUR|6ERES|7TLV|8aDMG|9RCR|aBPWR
4	16232 63631	 * 	230.21	3VULN|1SPLARM|1MDPS|2ASPD|1CDMG|1AAC|1ZMB	128VULN|34ASPD|5ZMB|6SPLARM|7CDMG|9AAC|aMDPS
5	13412 21663	 * 	228.91	DCR|2VULN|2AART|2DMG|1ASPD|2DUR	1aVULN|2ASPD|34AART|5aDUR|6ERES|7TLV|8aDMG|9RCR|aBPWR
6	13423 15162	 * 	225.77	DCR|3AART|2VULN|2DMG|1ASPD	19VULN|2ASPD|368AART|4RMIN|59BEXP|79DMG|9BPWR|aRCR
7	11226 61363	 * 	224.54	ACR|3VULN|2DMG|1MDPS|2ASPD|1CDMG	159VULN|2RCR|39DMG|4BEXP|6CDMG|79ASPD|8RPLT|9BPWR|aMDPS
8	13432 15362	   	223.43	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	148VULN|2ASPD|3AART|5DUR|6CGEN|79DMG|aRCR
9	13432 25332	   	223.33	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	148VULN|2ASPD|3AART|5DUR|6ERES|79DMG|aRCR
10	11621 22344	 * 	222.65	ACR|3VULN|1SPLARM|2AART|1DMG|1CDMG	157VULN|2RCR|34AART|6FEWX|8SPLARM|9DMG|aCDMG
11	11621 52324	   	222.65	ACR|3VULN|1SPLARM|2AART|1DMG|1CDMG	156VULN|2RCR|34AART|7LWND|8SPLARM|9DMG|aCDMG
12	11621 62324	   	222.65	ACR|3VULN|1SPLARM|2AART|1DMG|1CDMG	157VULN|2RCR|34AART|6LWND|8SPLARM|9DMG|aCDMG
13	11621 32324	   	222.55	ACR|3VULN|1SPLARM|2AART|1DMG|1CDMG	157VULN|2RCR|34AART|6DUST|8SPLARM|9DMG|aCDMG
14	13326 61363	   	222.54	ACR|3VULN|2DMG|1MDPS|2ASPD|1CDMG	159VULN|29ASPD|3RCR|4BEXP|6CDMG|79DMG|8RPLT|9BPWR|aMDPS
15	13412 15332	 * 	221.92	DCR|3VULN|2AART|1ASPD|1DMG|1DUR	189VULN|2ASPD|34AART|5DUR|6CGEN|7DMG|aRCR
16	13412 55332	   	221.92	DCR|3VULN|2AART|1ASPD|1DMG|1DUR	189VULN|2ASPD|34AART|5DUR|6MLV|7DMG|aRCR
17	13414 43332	   	221.82	DCR|3VULN|2AART|1ASPD|1DMG|1DUR	179VULN|2ASPD|34AART|5DMG|6TLV|8DUR|aRCR
18	13432 15332	 * 	221.69	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1489VULN|2ASPD|3AART|5DUR|6CGEN|7DMG|aRCR
19	13432 55332	   	221.69	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1489VULN|2ASPD|3AART|5DUR|6MLV|7DMG|aRCR
20	13412 15362	   	221.67	DCR|2VULN|2AART|2DMG|1ASPD|1DUR	18VULN|2ASPD|34AART|5DUR|6CGEN|79DMG|aRCR
21	13434 43332	   	221.59	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1479VULN|2ASPD|3AART|5DMG|6TLV|8DUR|aRCR
22	13412 25332	   	221.57	DCR|2VULN|2AART|2DMG|1ASPD|1DUR	18VULN|2ASPD|34AART|5DUR|6ERES|79DMG|aRCR
23	13421 25132	   	220.55	DCR|3VULN|2AART|1ASPD|1DMG	159VULN|2ASPD|38AART|4RMIN|6FEWX|7DMG|aRCR
24	13421 35132	   	220.45	DCR|3VULN|2AART|1ASPD|1DMG	159VULN|2ASPD|38AART|4RMIN|6DUST|7DMG|aRCR
25	13421 25162	   	220.30	DCR|2VULN|2AART|2DMG|1ASPD	15VULN|2ASPD|38AART|4RMIN|6FEWX|79DMG|aRCR
26	13421 35162	   	220.20	DCR|2VULN|2AART|2DMG|1ASPD	15VULN|2ASPD|38AART|4RMIN|6DUST|79DMG|aRCR
27	16236 22363	 * 	219.61	DCR|4VULN|3ASPD|1MDPS	1259VULN|347ASPD|69BEXP|8RCR|9BPWR|aMDPS
28	16216 26321	   	219.38	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3ASPD|6BEXP|7RCR|8DMG|9LIT|aAART
29	13434 22262	   	219.29	DCR|3VULN|2DMG|1AART|1ASPD	147VULN|2ASPD|3AART|59DMG|6FEWX|8RMIN|aRCR
30	13434 25232	   	219.29	DCR|3VULN|2DMG|1AART|1ASPD	149VULN|2ASPD|3AART|57DMG|6FEWX|8RMIN|aRCR
31	16216 36321	   	219.28	DCR|4VULN|1AART|1ASPD|1DMG	1245VULN|3ASPD|6DUST|7RCR|8DMG|9LIT|aAART
32	13434 32262	   	219.19	DCR|3VULN|2DMG|1AART|1ASPD	147VULN|2ASPD|3AART|59DMG|6DUST|8RMIN|aRCR
33	13434 35232	   	219.19	DCR|3VULN|2DMG|1AART|1ASPD	149VULN|2ASPD|3AART|57DMG|6DUST|8RMIN|aRCR
34	13414 22232	   	217.77	DCR|3VULN|2AART|1ASPD|1DMG	179VULN|2ASPD|34AART|5DMG|6FEWX|8RMIN|aRCR
35	13414 51232	   	217.77	DCR|3VULN|2AART|1ASPD|1DMG	169VULN|2ASPD|34AART|5DMG|7FEWX|8RMIN|aRCR
36	13414 52232	   	217.77	DCR|3VULN|2AART|1ASPD|1DMG	169VULN|2ASPD|34AART|5DMG|7LWND|8RMIN|aRCR
37	13414 62232	   	217.77	DCR|3VULN|2AART|1ASPD|1DMG	179VULN|2ASPD|34AART|5DMG|6LWND|8RMIN|aRCR
38	16236 26321	   	217.75	DCR|3VULN|2ASPD|1AART|1DMG	125VULN|34ASPD|6BEXP|7RCR|8DMG|9LIT|aAART
39	13412 62332	 * 	217.70	DCR|4VULN|2AART|1ASPD|1DUR	1789VULN|2ASPD|34AART|5DUR|6LWND|aRCR
40	13414 32232	   	217.67	DCR|3VULN|2AART|1ASPD|1DMG	179VULN|2ASPD|34AART|5DMG|6DUST|8RMIN|aRCR
41	16236 36321	   	217.65	DCR|3VULN|2ASPD|1AART|1DMG	125VULN|34ASPD|6DUST|7RCR|8DMG|9LIT|aAART
