0	Index      	 *	Score 	Summary	Detail	
1	36426 31332	 * 	213.44	DCR|3VULN|2ASPD|1AART|2DUR	12aVULN|3aDUR|489LIT|5AART|6RCR|7aASPD|aBPWR
2	36426 31232	 * 	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	12VULN|3DUR|4LIT|5AART|6RCR|7ASPD|8DMG|9LHND|aCDMG
3	36254 22211	 * 	211.97	DCR|4VULN|2AART|1ZMB|1DUR	1279VULN|3LIT|45AART|6DUR|8RCR|aZMB
4	36426 31223	 * 	210.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	12VULN|3DUR|4LIT|5AART|6RCR|7aASPD|8DMG|9AME
5	36212 25512	 * 	210.18	DCR|1SPLARM|2VULN|2DMG|1ASPD|1CDMG	12VULN|3LIT|4ASPD|5CDMG|6aDMG|7RCR|8ERES|9SPLARM
6	31133 35212	 * 	209.94	DCR|3VULN|2ASPD|1AART|1CDMG	145VULN|2LHND|3aASPD|6AART|7CDMG|8LIT|9RCR
7	31125 41432	 * 	209.86	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	1VULN|2LHND|3aASPD|46AART|5CGEN|7CDMG|8RCR|9DMG
8	31126 41432	   	209.76	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	1VULN|2LHND|3aASPD|46AART|5ERES|7CDMG|8RCR|9DMG
9	36126 42213	 * 	209.58	DCR|4VULN|2AART|1CDMG	1279VULN|3LHND|4LIT|56AART|8RCR|aCDMG
10	36253 42213	   	209.58	DCR|4VULN|2AART|1CDMG	1279VULN|3LIT|46AART|5LHND|8RCR|aCDMG
11	36212 25631	 * 	209.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	12VULN|3LIT|4ASPD|58CDMG|6DMG|7RCR|9RPLT|aAART
12	31551 31432	   	209.20	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	1VULN|2LHND|34AART|56DUR|7CDMG|8RCR|9DMG|aASPD
13	36212 25611	 * 	208.13	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	12VULN|3LIT|4aASPD|58CDMG|6DMG|7RCR|9DUR
14	36426 31113	   	208.00	DCR|3VULN|2ASPD|1AART|1DUR	129VULN|3DUR|4LIT|5AART|6RCR|7aASPD|8FEWX
15	31133 21338	   	207.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	145VULN|2LHND|3ASPD|6ZMB|7MBVNT|8RCR|9CDMG|aAART
16	32133 21338	   	207.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	145VULN|2FEWX|3ASPD|6ZMB|7MBVNT|8RCR|9CDMG|aAART
17	31124 11432	 * 	206.71	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|2LHND|35aASPD|4AART|6AME|7CDMG|8RCR|9DMG
18	31124 21433	   	206.71	DCR|3ASPD|1AART|1VULN|1DMG|1CDMG	1VULN|2LHND|35aASPD|4AART|6RMIN|7CDMG|8RCR|9DMG
19	31124 41432	   	206.71	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|2LHND|35aASPD|4AART|6MLV|7CDMG|8RCR|9DMG
20	32124 11433	   	206.71	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|2FEWX|35aASPD|4AART|6AME|7CDMG|8RCR|9DMG
21	32124 21433	   	206.71	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|2FEWX|35aASPD|4AART|6RMIN|7CDMG|8RCR|9DMG
22	32124 41433	   	206.71	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|2FEWX|35aASPD|4AART|6MLV|7CDMG|8RCR|9DMG
23	32161 13153	   	204.71	DCR|3ASPD|1AART|1VULN|1DMG|1CDMG	1VULN|2FEWX|38aASPD|4CDMG|5DMG|6CGEN|7AART|9RCR
24	32161 63153	   	204.71	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|2FEWX|38aASPD|4CDMG|5DMG|6RMIN|7AART|9RCR
25	35161 13153	   	204.61	DCR|3ASPD|1AART|1VULN|1DMG|1CDMG	1VULN|2DUST|38aASPD|4CDMG|5DMG|6CGEN|7AART|9RCR
26	31133 35213	   	204.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	145VULN|2LHND|3ASPD|6AART|7CDMG|8LIT|9RCR|aDUR
27	36126 31252	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|3LHND|4LIT|5AART|6RCR|7ASPD|8DMG|9LWND|aCDMG
28	36253 31252	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|3LIT|4AART|5LHND|6RCR|7ASPD|8DMG|9LWND|aCDMG
29	36126 31262	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|3LHND|4LIT|5AART|6RCR|7ASPD|8DMG|9LEGI|aCDMG
30	36253 31262	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|3LIT|4AART|5LHND|6RCR|7ASPD|8DMG|9LEGI|aCDMG
31	23421 61432	   	203.75	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1ERES|2AAC|35AART|4DUR|6VULN|7CDMG|8RCR|9DMG|aASPD
32	36126 42211	   	203.66	DCR|4VULN|2AART|1ZMB	1279VULN|3LHND|4LIT|56AART|8RCR|aZMB
33	36253 42211	   	203.66	DCR|4VULN|2AART|1ZMB	1279VULN|3LIT|46AART|5LHND|8RCR|aZMB
34	32121 23345	 * 	202.66	3SPLARM|4VULN|3ASPD|1AART|1ZMB	169aVULN|2FEWX|39aASPD|4AART|5LIT|7ZMB|89aSPLARM|9aBPWR
35	31124 11436	   	202.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1VULN|2LHND|35ASPD|4AART|6AME|7CDMG|8RCR|9DMG|aDUR
