0	Index      	 *	Score 	Summary	Detail	
1	23261 36822	 * 	209.88	DCR|2VULN|2AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2DUR|3DMG|4MBVNT|56AART|7RCR|8aVULN|9ASPD
2	43233 31641	 * 	207.74	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1LHND|2AART|3MDPS|46aVULN|5ASPD|7DUR|8DMG|9RCR
3	13563 23261	 * 	205.66	DCR|1SPLARM|2VULN|2DMG|1AART|1DUR	1RMIN|2DUR|3SPLARM|4AART|56DMG|7RCVC|8RCR|9aVULN
4	13253 12336	 * 	204.08	DCR|3DMG|1VULN|1ASPD|2DUR|2ZMB	1RMIN|27DUR|378DMG|4RPLT|57ZMB|6RCR|7BPWR|9ASPD|aVULN
5	34241 36132	   	204.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1FEWX|2ASPD|3DMG|4DUR|56AART|79VULN|8LWND|aRCR
6	34231 16522	 * 	202.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1FEWX|29ASPD|3DMG|4DUST|5AART|6DUR|78VULN|aRCR
7	51162 11235	 * 	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1CDMG|2aVULN|3LWND|4AART|5AAC|6DMG|7RCR|8FEWX|9ASPD
8	23232 34313	 * 	201.18	DCR|2VULN|2DMG|1MDPS|2ASPD|2DUR|1AAC	1AAC|29DUR|39DMG|4DUST|57VULN|6MDPS|89ASPD|9BPWR|aRCR
9	23255 34514	 * 	200.87	DCR|2VULN|1AART|2CDMG|1DMG|2DUR|1AAC	1AAC|29DUR|3DMG|4RPLT|5MBVNT|69VULN|79CDMG|8RCR|9BPWR|aAART
10	43133 13435	 * 	199.62	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1LHND|2AART|3CDMG|4RPLT|5MDPS|689VULN|7RCR|aASPD
11	34232 35241	   	199.33	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1FEWX|2ASPD|3DMG|4DUST|58aVULN|6MDPS|7AART|9RCR
12	43133 13562	 * 	199.06	DCR|1MDPS|2DMG|1AART|1VULN|1ASPD|1CDMG	1LHND|2AART|3CDMG|4RPLT|5MDPS|6VULN|7RCR|8aDMG|9ASPD
13	23261 16822	   	199.05	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	1AAC|26DUR|3DMG|4MBVNT|5AART|7RCR|8aVULN|9ASPD
14	13231 42525	 * 	198.67	DCR|3ASPD|1AART|2CDMG|1DMG|1DUR	1RMIN|2DUR|3DMG|4aCDMG|569ASPD|7AART|8RCR
15	51521 16221	 * 	198.50	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1CDMG|24VULN|3LEGI|59ASPD|6DUR|7DUST|8RCR|aDMG
16	51152 62313	 * 	198.13	DCR|4VULN|1NUKE|1CDMG|1DUR	1CDMG|2457VULN|3LWND|6RCVC|8DUR|9RCR|aNUKE
17	51522 62313	   	198.03	DCR|4VULN|1NUKE|1CDMG|1DUR	1CDMG|2457VULN|3LEGI|6RCVC|8DUR|9RCR|aNUKE
18	34241 36222	 * 	197.92	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	1FEWX|29ASPD|3DMG|4DUR|56AART|7VULN|8BEXP|aRCR
19	51152 53313	   	197.70	DCR|4VULN|1NUKE|1CDMG|1DUR	1CDMG|2456VULN|3LWND|7RCVC|8DUR|9RCR|aNUKE
20	16231 32543	 * 	197.62	DCR|3ASPD|3CDMG|1VULN|1DMG	1RMIN|27FEWX|3DMG|467CDMG|579ASPD|7BPWR|8RCR|aVULN
21	51522 53313	   	197.60	DCR|4VULN|1NUKE|1CDMG|1DUR	1CDMG|2456VULN|3LEGI|7RCVC|8DUR|9RCR|aNUKE
22	53215 12331	 * 	197.42	DCR|2VULN|2DMG|1ASPD|1CDMG|1SELL	1CDMG|2SELL|3DUST|4RPLT|57VULN|6RCR|8aDMG|9ASPD
23	34242 31313	 * 	196.38	DCR|3VULN|1MDPS|2ASPD|1DMG|1DUR	19FEWX|29ASPD|3DMG|4DUR|589VULN|6MDPS|7RMIN|9BPWR|aRCR
24	51112 52313	   	196.10	DCR|4VULN|1NUKE|1CDMG|1DUR	1CDMG|2567VULN|34LWND|8DUR|9RCR|aNUKE
25	52142 52313	   	196.10	DCR|4VULN|1NUKE|1CDMG|1DUR	1CDMG|23LWND|4567VULN|8DUR|9RCR|aNUKE
26	22242 34313	   	196.04	DCR|2VULN|2DMG|1MDPS|2ASPD|1AAC|1DUR	1AAC|29BEXP|39DMG|4DUR|57VULN|6MDPS|89ASPD|9BPWR|aRCR
27	26242 34313	   	196.04	DCR|2VULN|2DMG|1MDPS|2ASPD|1AAC|1DUR	1AAC|29FEWX|39DMG|4DUR|57VULN|6MDPS|89ASPD|9BPWR|aRCR
28	34231 56132	   	195.68	DCR|2VULN|2AART|1ASPD|1DMG	1FEWX|2ASPD|3DMG|4DUST|56AART|79VULN|8LWND|aRCR
29	41213 62511	 * 	195.34	DCR|3VULN|2DMG|1ASPD	1LHND|2MLV|3aDMG|4LWND|579VULN|6ASPD|8RCR
30	44213 12511	   	195.34	DCR|3VULN|2DMG|1ASPD	1LHND|2ASPD|3aDMG|4LWND|579VULN|6CGEN|8RCR
