0	Index      	 *	Score 	Summary	Detail	
1	16114 33241	 * 	219.82	DCR|2VULN|2DMG|2ASPD|1AART|1DUR	1DUST|29VULN|3AART|4ERES|5DUR|69DMG|7CGEN|89ASPD|9BPWR|aRCR
2	22325 34632	   	217.83	DCR|2VULN|2DMG|1AART|1ASPD|1AAC|1ZMB|1DUR	1ASPD|2ZMB|36VULN|4AAC|5aDMG|7DUR|8AART|9RCR
3	22344 32622	   	215.62	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1ASPD|2ZMB|38VULN|4LHND|5AART|6RCR|7MLV|9aDMG
4	66114 33122	 * 	215.55	DCR|2ASPD|1AART|1VULN|2CDMG|1DMG|1ZMB	1LHND|27ASPD|3VULN|4ZMB|5AART|6RCR|89CDMG|aDMG
5	22344 33122	   	215.55	DCR|2ASPD|1AART|1VULN|2CDMG|1DMG|1ZMB	17ASPD|2ZMB|3VULN|4LHND|5AART|6RCR|89CDMG|aDMG
6	66114 33333	 * 	215.38	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1LHND|27ASPD|3aVULN|4ZMB|5AART|6RCR|8SPLREG|9CDMG
7	22344 33333	   	215.38	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	17ASPD|2ZMB|3aVULN|4LHND|5AART|6RCR|8SPLREG|9CDMG
8	22344 32226	   	212.25	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	18ASPD|2ZMB|3aVULN|4LHND|5AART|6RCR|7MLV|9DMG
9	16163 33241	   	211.61	DCR|2VULN|2DMG|2ASPD|1AART	1DUST|29VULN|3AART|4LHND|5AME|69DMG|7CGEN|89ASPD|9BPWR|aRCR
10	16111 33241	   	211.51	DCR|2VULN|2DMG|2ASPD|1AART	1DUST|29VULN|3AART|4ERES|5LHND|69DMG|7CGEN|89ASPD|9BPWR|aRCR
11	16141 33241	   	211.51	DCR|2VULN|2DMG|2ASPD|1AART	1DUST|29VULN|3AART|4TLV|5LHND|69DMG|7CGEN|89ASPD|9BPWR|aRCR
12	23453 51321	 * 	209.97	DCR|3VULN|3ASPD|1DMG|1SELL	169ASPD|2SELL|3RCVC|46aVULN|5LEGI|6BPWR|7RCR|8DMG
13	22325 32636	 * 	209.67	DCR|3VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1ASPD|2ZMB|36aVULN|4AAC|5DMG|7DUST|8AART|9RCR
14	22325 34631	 * 	209.60	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1AAC|1ZMB|1DUR	1ASPD|2ZMB|36VULN|4AAC|5DMG|7DUR|8AART|9RCR|aMDPS
15	22344 32222	   	209.46	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	18ASPD|2ZMB|3VULN|4LHND|5AART|6RCR|7MLV|9aDMG
16	22344 33422	   	209.46	DCR|2DMG|2ASPD|1AART|1VULN|1ZMB	17ASPD|2ZMB|3VULN|4LHND|5AART|6RCR|8CGEN|9aDMG
17	66114 32222	   	209.46	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	1LHND|28ASPD|3VULN|4ZMB|5AART|6RCR|7MLV|9aDMG
18	22325 32632	   	209.42	DCR|2VULN|2DMG|1AART|1ASPD|1AAC|1ZMB	1ASPD|2ZMB|36VULN|4AAC|5aDMG|7DUST|8AART|9RCR
19	22344 33222	   	209.36	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	17ASPD|2ZMB|3VULN|4LHND|5AART|6RCR|8TLV|9aDMG
20	66114 33222	   	209.36	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	1LHND|27ASPD|3VULN|4ZMB|5AART|6RCR|8TLV|9aDMG
21	66114 33121	 * 	208.41	DCR|3ASPD|1AART|1VULN|2CDMG|1ZMB	1LHND|27aASPD|3VULN|4ZMB|5AART|6RCR|89CDMG
22	22344 33121	   	208.41	DCR|3ASPD|1AART|1VULN|2CDMG|1ZMB	17aASPD|2ZMB|3VULN|4LHND|5AART|6RCR|89CDMG
23	22344 33633	   	208.34	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	17ASPD|2ZMB|3aVULN|4LHND|5AART|6RCR|8BASARM|9CDMG
24	26132 65422	 * 	207.88	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|34VULN|5LEGI|6MBVNT|7DMG|8RCR|9aAART
25	16212 23615	   	207.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	13DUST|238VULN|3BPWR|4DUR|5BEXP|6AART|7ASPD|9RCR|aDMG
26	16312 23615	   	207.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUST|238VULN|4DUR|5BEXP|6AART|7ASPD|9RCR|aDMG
27	26131 62162	 * 	207.55	DCR|3VULN|2DMG|1ASPD|1DUR	1ASPD|2DUR|347VULN|5TLV|6RCR|8LHND|9aDMG
28	26131 63132	   	207.55	DCR|3VULN|2DMG|1ASPD|1DUR	1ASPD|2DUR|34aVULN|5TLV|6RCR|79DMG|8FEWX
29	26131 63312	   	207.55	DCR|3VULN|2DMG|1ASPD|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7aDMG|8LWND
30	26131 63412	   	207.55	DCR|3VULN|2DMG|1ASPD|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7aDMG|8LHND
31	26134 63312	   	207.55	DCR|3VULN|2DMG|1ASPD|1DUR	1ASPD|2DUR|349VULN|5ERES|6RCR|7aDMG|8LWND
32	26131 63512	   	207.45	DCR|3VULN|2DMG|1ASPD|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7aDMG|8DUST
33	22344 33341	   	207.44	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	17ASPD|2ZMB|3aVULN|4LHND|5AART|6RCR|8SPLREG|9DUR
34	22344 32621	   	207.40	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1ASPD|2ZMB|38VULN|4LHND|5AART|6RCR|7MLV|9DMG|aMDPS
35	23533 51321	 * 	206.76	DCR|3VULN|3ASPD|1DMG|1SELL	159ASPD|2SELL|36LHND|46aVULN|6BPWR|7RCR|8DMG
36	22326 51226	   	206.24	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB|1DUR	1ASPD|2ZMB|3aVULN|4AAC|5DUR|6RCR|7FEWX|8DMG|9AART
37	22322 52226	   	206.14	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB|1DUR	1ASPD|2ZMB|3aVULN|4AAC|5LEGI|6RCR|7DUR|8DMG|9AART
38	26135 12611	   	205.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|347VULN|5DMG|6FEWX|8AART|9BEXP|aRCR
39	26131 63112	 * 	205.81	DCR|4VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349aVULN|5TLV|6RCR|7DMG|8FEWX
40	26134 63112	   	205.81	DCR|4VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349aVULN|5ERES|6RCR|7DMG|8FEWX
41	26135 32611	   	205.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|346VULN|5DMG|7DUST|8AART|9BEXP|aRCR
