0	Index      	 *	Score 	Summary	Detail	
1	13343 26827	 * 	224.20	DCR|2VULN|2AART|2ASPD|1DMG|1DUR	1aDUST|2MBVNT|3aVULN|4DMG|58AART|6DUR|7RCR|9aASPD|aBPWR
2	13343 11761	 * 	214.71	DCR|4VULN|2DMG|1AART	17DUST|2MBVNT|369aVULN|46DMG|5AART|6BPWR|8RCR
3	13353 11761	   	214.71	DCR|4VULN|2DMG|1AART	17DUST|2MBVNT|369aVULN|4AART|56DMG|6BPWR|8RCR
4	25141 13151	 * 	213.64	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	12ERES|3DUR|4AART|59aVULN|6RCR|7DMG|8ASPD
5	13343 26227	   	213.37	DCR|2VULN|2ASPD|1AART|1DMG|2DUR	1aDUST|2MBVNT|3aVULN|4DMG|5AART|68DUR|7RCR|9aASPD|aBPWR
6	13353 26227	   	213.37	DCR|2VULN|2ASPD|1AART|1DMG|2DUR	1aDUST|2MBVNT|3aVULN|4AART|5DMG|68DUR|7RCR|9aASPD|aBPWR
7	36313 63633	 * 	211.35	DCR|4VULN|1ASPD|1DMG|2ZMB	17LHND|27ZMB|3479VULN|5RCVC|6RCR|7BPWR|8ASPD|aDMG
8	16141 11621	 * 	210.14	DCR|1SPLARM|2VULN|1AART|1DMG|2ZMB	137DUST|28ZMB|4AART|58VULN|6RCR|8BPWR|9DMG|aSPLARM
9	32643 35323	   	209.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1LHND|26aVULN|3DUR|4AART|5DMG|7LWND|8RCR|9ASPD
10	32643 15323	 * 	209.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	16LHND|2aVULN|3DUR|4AART|56DMG|6BPWR|7LWND|8RCR|9ASPD
11	13343 11758	 * 	207.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DUST|2MBVNT|36VULN|46DMG|5AART|6BPWR|8RCR|9ZMB|aCDMG
12	32643 33411	   	207.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1LHND|26VULN|3DUR|4AART|57DMG|8ASPD|9RCR|aRCVC
13	32643 33412	   	207.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1LHND|26VULN|3DUR|4AART|57DMG|8ASPD|9RCR|aCGEN
