0	Index      	 *	Score 	Summary	Detail	
1	61123 24532	 * 	239.82	DCR|3VULN|2AART|2DMG|2DUR	19aVULN|27AART|39DUR|4RMIN|5RPLT|6RCR|89DMG|9BPWR
2	61253 11214	 * 	234.52	DCR|3VULN|2AART|1MDPS|1ASPD|1CDMG	139VULN|25AART|4DUST|6ASPD|7RCR|8CDMG|aMDPS
3	14263 53432	 * 	232.46	DCR|3VULN|2ASPD|1AART|1DMG|3DUR	167DUR|278VULN|37ASPD|4MBVNT|5AART|7BPWR|9RCR|aDMG
4	11133 16322	 * 	231.58	DCR|3DMG|2ASPD|1VULN|1AART|3DUR	138DUR|2AART|4AME|58aDMG|68ASPD|7RCR|8BPWR|9VULN
5	11343 16322	   	231.58	DCR|3DMG|2ASPD|1VULN|1AART|3DUR	148DUR|2AART|3AME|58aDMG|68ASPD|7RCR|8BPWR|9VULN
6	61123 23536	 * 	231.03	DCR|2VULN|2DMG|1AART|1ASPD|3DUR	19VULN|2AART|379DUR|4RMIN|5RPLT|6RCR|89DMG|9BPWR|aASPD
7	61221 61343	 * 	230.60	4VULN|1SPLARM|1MDPS|1AART|1ASPD|1DMG	1357VULN|2AART|4SPLARM|6RCVC|8DMG|9ASPD|aMDPS
8	61253 11215	 * 	229.92	DCR|3VULN|2AART|2ASPD|1CDMG	139VULN|25AART|4DUST|6aASPD|7RCR|8CDMG
9	61123 26236	   	227.16	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	19VULN|2AART|39DUR|4RMIN|5RPLT|6RCR|79DMG|8RCVC|9BPWR|aASPD
10	66214 33132	 * 	225.48	DCR|3DMG|2VULN|1AART|1ASPD|1ZMB	17VULN|27aDMG|3ZMB|4ASPD|5AART|678FEWX|7BPWR|9RCR
11	61123 26232	   	224.93	DCR|3VULN|2DMG|1AART|2DUR	19aVULN|2AART|39DUR|4RMIN|5RPLT|6RCR|79DMG|8RCVC|9BPWR
12	61124 53131	   	224.30	DCR|2VULN|2AART|2DMG|2ZMB|1DUR	17VULN|2aAART|3DUR|4RMIN|57ZMB|67DMG|7BPWR|8FEWX|9RCR
13	61233 21215	 * 	223.95	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	139VULN|2AART|4MLV|5DMG|6RMIN|7RCR|8CDMG|aASPD
14	61621 23114	   	223.65	DCR|3VULN|2DMG|1AART|2DUR	18aVULN|2AART|3RPLT|4DUST|5RMIN|6RCR|7aDUR|9aDMG|aBPWR
15	66213 53111	   	222.07	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	159VULN|2DMG|3ZMB|4ASPD|6AIRARM|7RCR|8DUR|aAART
16	61123 24531	   	221.99	DCR|2VULN|2AART|2DMG|2DUR	19VULN|27AART|39DUR|4RMIN|5RPLT|6RCR|89DMG|9BPWR|aCGEN
17	61123 24533	   	221.89	DCR|2VULN|2AART|2DMG|2DUR	19VULN|27AART|39DUR|4RMIN|5RPLT|6RCR|89DMG|9BPWR|aDUST
18	61221 61143	   	220.87	4VULN|1SPLARM|1MDPS|1AART|1ASPD|1ZMB	1357VULN|2AART|4SPLARM|6RCVC|8ZMB|9ASPD|aMDPS
19	11133 16321	 * 	220.56	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART|3DUR	138DUR|2AART|4AME|58DMG|68ASPD|7RCR|8BPWR|9VULN|aMDPS
20	11343 16321	   	220.56	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART|3DUR	148DUR|2AART|3AME|58DMG|68ASPD|7RCR|8BPWR|9VULN|aMDPS
21	61253 21215	   	219.86	DCR|3VULN|2AART|1ASPD|1CDMG	139VULN|25AART|4DUST|6RMIN|7RCR|8CDMG|aASPD
22	61253 11216	   	219.86	DCR|3VULN|2AART|1ASPD|1CDMG	139VULN|25AART|4DUST|6ASPD|7RCR|8CDMG|aRMIN
23	61213 11356	 * 	219.61	DCR|3VULN|2AART|1ASPD|1DMG	13aVULN|25AART|4FEWX|6ASPD|7RCR|8LIT|9DMG
24	61123 26114	   	218.50	DCR|3VULN|2DMG|1AART|1DUR	19aVULN|2AART|3DUR|4RMIN|5RPLT|6RCR|7aDMG|8aLWND|aBPWR
25	61213 11335	 * 	218.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	13VULN|25AART|4FEWX|6ASPD|7RCR|8LIT|9CDMG|aDMG
26	61213 11355	   	218.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	13VULN|25AART|4FEWX|6ASPD|7RCR|8LIT|9DMG|aCDMG
27	61253 11221	   	217.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	13VULN|25AART|4DUST|6ASPD|7RCR|8CDMG|9BEXP|aDMG
28	61233 11425	 * 	217.68	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	13aVULN|2AART|4MLV|5DMG|6ASPD|7MDPS|8RCR|9CDMG
29	61213 31356	   	217.61	DCR|3VULN|2AART|1ASPD|1DMG	13aVULN|25AART|4FEWX|6LIT|7DMG|8RCR|9ASPD
30	11324 53214	 * 	217.56	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	17DUR|2AART|37AME|49VULN|5ZMB|67DMG|7BPWR|8CDMG|aRCR
31	61123 24214	   	216.75	DCR|2VULN|2AART|2DMG|1DUR	1aVULN|27AART|3DUR|4RMIN|5RPLT|6RCR|8aBEXP|9aDMG|aBPWR
32	61123 24314	   	216.75	DCR|2VULN|2AART|2DMG|1DUR	1aVULN|27AART|3DUR|4RMIN|5RPLT|6RCR|8aFEWX|9aDMG|aBPWR
33	61233 22635	 * 	216.64	1SPLARM|2VULN|1MDPS|2DMG|1AART|1ASPD	13VULN|2AART|4MLV|58DMG|6RMIN|7SPLARM|9ASPD|aMDPS
34	14263 53431	   	216.56	DCR|3VULN|2ASPD|1AART|3DUR	167DUR|278VULN|37ASPD|4MBVNT|5AART|7BPWR|9RCR|aRMIN
35	11133 16325	   	216.26	DCR|2DMG|2ASPD|1VULN|1AART|3DUR	138DUR|2AART|4AME|58DMG|68ASPD|7RCR|8BPWR|9VULN|aRCVC
36	11343 16325	   	216.26	DCR|2DMG|2ASPD|1VULN|1AART|3DUR	148DUR|2AART|3AME|58DMG|68ASPD|7RCR|8BPWR|9VULN|aRCVC
37	61213 31355	   	216.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	13VULN|25AART|4FEWX|6LIT|7DMG|8RCR|9ASPD|aCDMG
