0	Index      	 *	Score 	Summary	Detail	
1	23235 52125	 * 	220.10	DCR|3VULN|2DMG|1MDPS|2ASPD|1DUR	16RCVC|239VULN|39BPWR|4DUR|59ASPD|79DMG|8MDPS|aRCR
2	32411 11443	 * 	218.31	DCR|3ASPD|2VULN|2DMG|1MDPS|2DUR	17DMG|267ASPD|3BELT|47DUR|5MDPS|7BPWR|8RCR|9aVULN
3	22332 21145	 * 	217.94	DCR|3VULN|3ASPD|3CDMG	1RCVC|28aCDMG|3DLOT|4ERES|5RPLT|68aASPD|78aVULN|8aBPWR|9RCR
4	22332 51145	   	217.94	DCR|3VULN|3ASPD|3CDMG	1RCVC|28aCDMG|3DLOT|4ERES|5RPLT|68aVULN|78aASPD|8aBPWR|9RCR
5	32522 62211	 * 	217.44	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD|1CDMG	1aDMG|2ASPD|3MDPS|4CDMG|5CGEN|69VULN|7AART|8RCR
6	22651 16223	 * 	216.13	DCR|2VULN|2ASPD|1AART|2CDMG|1ZMB	1RCVC|26CDMG|3aASPD|4ZMB|56VULN|6BPWR|7AART|8RCR|9LHND
7	22651 16232	   	215.47	DCR|2VULN|1AART|2CDMG|1ASPD|2DUR|1ZMB	1RCVC|26CDMG|3ASPD|4ZMB|56VULN|6BPWR|7AART|8RCR|9aDUR
8	22651 16233	   	214.39	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	1RCVC|26CDMG|3ASPD|4ZMB|56VULN|6BPWR|7AART|8RCR|9DUR|aRMIN
9	22631 16235	   	214.11	DCR|2VULN|2ASPD|1AART|2CDMG|1DUR	1RCVC|26CDMG|3aASPD|4AME|56VULN|6BPWR|7AART|8RCR|9DUR
10	32425 11316	 * 	213.56	DCR|2VULN|2AART|2DMG|1ASPD	19DMG|2ASPD|3BELT|479BEXP|58AART|69VULN|9BPWR|aRCR
11	32223 16421	 * 	213.52	DCR|3ASPD|2VULN|1DMG|1CDMG|1DUR	1DMG|25aASPD|3MSLREG|4DUR|6CDMG|7RCR|89VULN
12	32521 62241	 * 	213.13	DCR|2AART|2DMG|1MDPS|1VULN|1ASPD|1CDMG	1aDMG|2ASPD|3MDPS|4CDMG|5MLV|6VULN|79AART|8RCR
13	32522 62241	   	213.13	DCR|2AART|1MDPS|2DMG|1VULN|1ASPD|1CDMG	1aDMG|2ASPD|3MDPS|4CDMG|5CGEN|6VULN|79AART|8RCR
14	23651 32631	   	212.12	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2VULN|3CDMG|4DUR|5LIT|6RCR|7ASPD|8aAART|9DMG
15	22611 53135	 * 	210.44	DCR|2ASPD|3CDMG|1VULN|1AART|1DMG	1RCVC|245CDMG|3aASPD|6VULN|7AART|8DMG|9RCR
16	22651 16222	   	210.22	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	1RCVC|26CDMG|3ASPD|4ZMB|56VULN|6BPWR|7AART|8RCR|9LHND|aDUR
17	22651 16231	   	210.22	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	1RCVC|26CDMG|3ASPD|4ZMB|56VULN|6BPWR|7AART|8RCR|9DUR|aLWND
18	22121 16235	   	210.12	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	1RCVC|26CDMG|3TLV|4ZMB|56VULN|6BPWR|7AART|8RCR|9DUR|aASPD
19	23225 22125	   	209.83	DCR|3VULN|2DMG|1MDPS|2ASPD	1RCVC|239VULN|39BPWR|46FEWX|59ASPD|79DMG|8MDPS|aRCR
20	23241 26235	 * 	209.79	DCR|4VULN|1AART|1ASPD|1DUR	1RCVC|2345VULN|3BPWR|6AART|7RPLT|8RCR|9DUR|aASPD
21	32113 21152	 * 	209.40	DCR|3DMG|3ASPD|3DUR|1CDMG	178DMG|278ASPD|3BEXP|4LWND|5BELT|678DUR|78BPWR|9RCR|aCDMG
22	33231 41152	   	209.40	DCR|3DMG|3ASPD|3DUR|1CDMG	178DMG|278DUR|3LWND|4BEXP|578ASPD|6BELT|78BPWR|9RCR|aCDMG
23	32313 21152	   	209.30	DCR|3DMG|3ASPD|3DUR|1CDMG	178DMG|278ASPD|3DUST|4LWND|5BELT|678DUR|78BPWR|9RCR|aCDMG
24	34126 13352	   	209.03	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2SPLREG|3LHND|4VULN|5CDMG|6aASPD|7DUR|8RCR|9AART
25	34326 13352	   	208.93	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2SPLREG|3DUST|4VULN|5CDMG|6aASPD|7DUR|8RCR|9AART
26	22651 36223	   	208.61	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1RCVC|2CDMG|3aASPD|4ZMB|56VULN|7AART|8RCR|9LHND
27	35331 56111	 * 	208.40	DCR|3DMG|1MDPS|1AART|1VULN|1CDMG|2ZMB	18aDMG|2aLIT|3MDPS|4CDMG|5VULN|6aZMB|7RCR|9AART|aBPWR
28	33155 51123	 * 	208.33	DCR|3DMG|2VULN|1AART|2DUR|1AAC	178DMG|2aDUR|3MBVNT|4aVULN|5AART|6AAC|9RCR|aBPWR
29	31126 13354	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2TSLFST|3LHND|4aVULN|5CDMG|6ASPD|7DUR|8RCR|9AART
30	32224 32354	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2ASPD|3MSLREG|4DUR|5CDMG|6aVULN|7LWND|8RCR|9AART
31	33226 13354	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2DUR|3LWND|4TSLARM|5CDMG|6ASPD|7aVULN|8RCR|9AART
32	32522 62234	   	208.16	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2ASPD|3MDPS|4CDMG|5CGEN|6aVULN|7AART|8RCR|9DUR
