0	Index      	 *	Score 	Summary	Detail	
1	13513 56113	 * 	226.89	DCR|3VULN|3ASPD|2DMG|1AAC|1DUR	1AAC|27DMG|379ASPD|4DUR|5FEWX|678VULN|7BPWR|aRCR
2	13513 56213	 * 	216.39	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC|1DUR	1AAC|27DMG|37ASPD|4DUR|5FEWX|67VULN|7BPWR|8RCR|9RCVC|aCDMG
3	13511 36113	   	209.06	DCR|3ASPD|2VULN|2DMG|1AAC|1DUR	1AAC|27DMG|379ASPD|4DUR|58VULN|67BEXP|7BPWR|aRCR
4	13511 46113	   	209.06	DCR|3ASPD|2VULN|2DMG|1AAC|1DUR	1AAC|27DMG|379ASPD|4DUR|58VULN|67FEWX|7BPWR|aRCR
5	13513 56211	   	200.14	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	1AAC|27DMG|37ASPD|4DUR|5FEWX|67VULN|7BPWR|8RCR|9aRCVC
6	13513 56212	   	200.14	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	1AAC|27DMG|37ASPD|4DUR|5FEWX|67VULN|7BPWR|8RCR|9RCVC|aLIT
7	13513 56221	   	200.14	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	1AAC|27DMG|37ASPD|4DUR|5FEWX|67VULN|7BPWR|8RCR|9RPLT|aLWND
8	13513 56222	   	200.14	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	1AAC|27DMG|37ASPD|4DUR|5FEWX|67VULN|7BPWR|8RCR|9RPLT|aCGEN
9	13513 56223	   	200.04	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR|1SELL	1AAC|27DMG|37ASPD|4DUR|5FEWX|67VULN|7BPWR|8RCR|9RPLT|aSELL
10	13513 56231	   	200.04	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	1AAC|27DMG|37ASPD|4DUR|5FEWX|67VULN|7BPWR|8RCR|9ERES|aRMIN
11	13513 56232	   	200.04	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	1AAC|27DMG|37ASPD|4DUR|5FEWX|67VULN|7BPWR|8RCR|9ERES|aBEXP
12	13513 56233	   	200.04	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	1AAC|27DMG|37ASPD|4DUR|5FEWX|67VULN|7BPWR|8RCR|9ERES|aMLV
13	54113 16323	 * 	199.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2AME|3LIT|49VULN|5ASPD|6CGEN|7DMG|8RCR|aAART
14	13511 22255	   	199.84	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	1AAC|2aDMG|39ASPD|4DUR|56VULN|7DUST|8RCR
15	13511 22253	   	198.50	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2DMG|39ASPD|4DUR|56VULN|7DUST|8RCR|aCDMG
