0	Index      	 *	Score 	Summary	Detail	
1	14332 13216	 * 	266.36	DCR|2MLV|1LIT|2VULN|2ASPD|1CDMG	1FEWX|2BELT|3aASPD|4LIT|5CDMG|6aVULN|7RCR|8DUST|9aMLV|aBPWR
2	63632 32263	 * 	265.11	ACR|2LIT|2FLTARM|2VULN|1DMG	1aDUST|2RMIN|3RCR|4aVULN|5DMG|68LIT|7LEGI|9aFLTARM|aBPWR
3	43623 13321	 * 	258.80	ACR|4VULN|3DMG|1MLV	18aBEXP|2RMIN|3RCR|4MLV|58aDMG|689aVULN|7AART|8aBPWR
4	43623 35321	   	258.80	ACR|4VULN|3DMG|1MLV	18aBEXP|2RMIN|3RCR|4MLV|58aDMG|6AART|789aVULN|8aBPWR
5	51226 32511	 * 	258.62	ACR|2LIT|3MLV|3VULN	1RPLT|2aLHND|3RCR|45aVULN|678MLV|9aLIT|aBPWR
6	44332 22644	 * 	258.11	DCR|2LIT|1FLTARM|1VULN|2ASPD|1DMG	1BEXP|2BELT|36ASPD|46LIT|5MBVNT|6BPWR|7DMG|8VULN|9RCR|aFLTARM
7	32221 31146	 * 	256.83	DCR|3VULN|3DMG|1MLV	139LWND|279DMG|4MLV|5LSRHEA|689VULN|9BPWR|aRCR
8	12162 52222	 * 	254.72	ACR|2LIT|2VULN|2DMG|1MLV|1DUR	18FEWX|2aDMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV
9	42162 52222	   	254.72	ACR|2LIT|2VULN|2DMG|1MLV|1DUR	18BEXP|2aDMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV
10	62632 32263	 * 	254.69	ACR|2LIT|2FLTARM|2DMG|1VULN	1aDUST|2aDMG|3RMIN|4RCR|5VULN|68LIT|7LEGI|9aFLTARM|aBPWR
11	12132 52222	   	254.62	ACR|2LIT|2VULN|2DMG|1MLV|1DUR	18FEWX|2aDMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV
12	32132 52222	   	254.62	ACR|2LIT|2VULN|2DMG|1MLV|1DUR	18LWND|2aDMG|38LIT|4DUST|5RCR|6DUR|78VULN|8BPWR|9MLV
13	62162 52222	   	254.52	ACR|2LIT|2VULN|2DMG|1MLV|1DUR	18DUST|2aDMG|38LIT|4LWND|5RCR|6DUR|78VULN|8BPWR|9MLV
14	22632 34263	   	252.91	ACR|2LIT|2FLTARM|2VULN|1DUR	1NUKE|2aDUST|3RMIN|4RCR|5aVULN|68LIT|7DUR|9aFLTARM|aBPWR
15	33632 33264	 * 	252.18	ACR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1LWND|2RMIN|3RCR|4VULN|5DMG|68LIT|7FEWX|9FLTARM|aMLV
16	13632 32264	   	252.08	ACR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1FEWX|2RMIN|3RCR|4VULN|5DMG|68LIT|7LEGI|9FLTARM|aMLV
