0	Index      	 *	Score 	Summary	Detail	
1	13114 24422	 * 	315.91	DCR|3LIT|2FLTARM|1VULN|1MLV|1CDMG	18LHND|2MLV|38FLTARM|4FEWX|5VULN|689LIT|7RCR|8BPWR|aCDMG
2	33532 35321	 * 	315.87	DCR|3LIT|2VULN|3DMG|1MLV	12aLIT|2aBPWR|3LWND|48aDMG|5MLV|6RCR|7DUR|9aVULN
3	13161 13632	 * 	312.79	DCR|2LIT|2MLV|2FLTARM|2VULN	1LHND|24MLV|34FLTARM|4BPWR|56VULN|7aLIT|8RCR|9DUR
4	13114 24423	   	309.20	DCR|3LIT|2FLTARM|1VULN|1MLV	18LHND|2MLV|38FLTARM|4FEWX|5VULN|689LIT|7RCR|8BPWR|aZMB
5	33145 32218	 * 	305.48	DCR|3LIT|2MLV|2FLTARM|1VULN	12aLIT|25BPWR|35FLTARM|45MLV|6MBVNT|7CGEN|8RCR|9VULN
6	13161 13622	   	303.15	DCR|2LIT|2MLV|2FLTARM|2VULN	1LHND|24MLV|34FLTARM|4BPWR|56VULN|7aLIT|8RCR|9BEXP
7	13161 13662	   	303.03	DCR|2LIT|2MLV|2FLTARM|2VULN	1LHND|24MLV|34FLTARM|4BPWR|56VULN|7aLIT|8RCR|9MBVNT
8	33232 15321	 * 	302.41	ACR|3LIT|2MLV|2VULN|2DMG	12aLIT|2aBPWR|3RCR|48DMG|5aMLV|6LWND|7DUR|9aVULN
9	33232 22321	   	302.41	ACR|3LIT|2MLV|2VULN|2DMG	12aLIT|2aBPWR|3RCR|48DMG|5aMLV|6DUR|7FEWX|9aVULN
10	33232 23321	   	302.41	ACR|3LIT|2MLV|2VULN|2DMG	12aLIT|2aBPWR|3RCR|48DMG|5aMLV|6DUR|7LWND|9aVULN
11	13114 24412	   	302.26	DCR|3LIT|2FLTARM|1MLV|1VULN	189LHND|2MLV|38FLTARM|4FEWX|5VULN|68aLIT|7RCR|8BPWR
12	13114 24421	   	302.26	DCR|3LIT|2FLTARM|1MLV|1VULN	18LHND|2MLV|38FLTARM|4FEWX|5VULN|689LIT|7RCR|8BPWR|aLWND
13	33512 13521	 * 	301.85	DCR|3LIT|3MLV|2VULN|1ASPD	12aLIT|2aBPWR|3LWND|45aMLV|6RCR|7BEXP|8ASPD|9aVULN
14	33145 22114	   	300.61	DCR|2LIT|2MLV|2FLTARM|1VULN|1DMG	12LIT|25BPWR|35FLTARM|45MLV|6DMG|7DUR|8LHND|9VULN|aRCR
15	13114 24431	   	300.24	DCR|2LIT|2FLTARM|2VULN|1MLV	18LHND|2MLV|38FLTARM|4FEWX|5aVULN|68LIT|7RCR|8BPWR|9CGEN
16	33532 33521	   	300.21	DCR|3LIT|2VULN|2DMG|1MLV	12aLIT|2aBPWR|37LWND|4aDMG|5MLV|6RCR|8DUST|9aVULN
17	33533 62521	   	300.21	DCR|3LIT|2VULN|2DMG|1MLV	12aLIT|2aBPWR|35LWND|4aDMG|6RCR|7MLV|8DUST|9aVULN
18	33532 35121	   	300.11	DCR|3LIT|2VULN|2DMG|1MLV|2DUR	12aLIT|2aBPWR|3LWND|4aDMG|5MLV|6RCR|78DUR|9aVULN
19	33532 33375	 * 	300.00	DCR|3LIT|2MLV|2DMG|1VULN	129LIT|29BPWR|37LWND|49DMG|59MLV|6RCR|8MBVNT|aVULN
20	26521 23411	 * 	299.77	DCR|2LIT|2MLV|3VULN|1CDMG	1CDMG|246VULN|34MLV|4BPWR|5CGEN|7TLV|89LIT|aRCR
21	26522 12411	   	299.77	DCR|2LIT|2MLV|3VULN|1CDMG	1CDMG|247VULN|34MLV|4BPWR|5RMIN|6CGEN|89LIT|aRCR
22	26412 32411	 * 	299.33	DCR|2LIT|4VULN|1MLV|2CDMG	15CDMG|2345VULN|5BPWR|6MLV|7LWND|89LIT|aRCR
23	33312 13622	   	298.66	DCR|3LIT|3MLV|2VULN	129LIT|29BPWR|37BEXP|459MLV|6RCR|89VULN|aZMB
24	33513 12625	   	298.66	DCR|3LIT|3MLV|2VULN	129LIT|29BPWR|35LWND|479MLV|6RCR|89VULN|aZMB
25	31632 53511	   	298.30	DCR|2LIT|2MLV|3VULN|1ASPD	1aLIT|29BEXP|36aVULN|4DUST|5ASPD|7aMLV|8RCR|aBPWR
26	31632 53531	   	298.15	DCR|2LIT|2MLV|3VULN|1ASPD	1aLIT|2BEXP|36aVULN|49DUST|5ASPD|7aMLV|8RCR|aBPWR
27	33332 13421	   	296.71	DCR|3LIT|2VULN|2DMG|1MLV	12aLIT|2aBPWR|3BEXP|4aDMG|5MLV|67LWND|8RCR|9aVULN
28	33332 63421	   	296.71	DCR|3LIT|2VULN|2DMG|1MLV	12aLIT|2aBPWR|3BEXP|4aDMG|5MLV|6RCVC|7LHND|8RCR|9aVULN
29	33332 26421	   	296.61	DCR|3LIT|2VULN|2DMG|1MLV	12aLIT|2aBPWR|37BEXP|4aDMG|5MLV|6DUR|8RCR|9aVULN
30	33533 42421	   	296.61	DCR|3LIT|2VULN|2DMG|1MLV	12aLIT|2aBPWR|35LWND|4aDMG|6DUR|7MLV|8RCR|9aVULN
31	33513 13521	   	296.58	DCR|3LIT|2MLV|2VULN|1ASPD	12aLIT|2aBPWR|35LWND|4aMLV|6RCR|7BEXP|8ASPD|9aVULN
32	33332 25421	   	296.51	DCR|3LIT|2VULN|2DMG|1MLV|2DUR	12aLIT|2aBPWR|3BEXP|4aDMG|5MLV|67DUR|8RCR|9aVULN
33	31633 63511	   	295.10	DCR|2LIT|2MLV|3VULN	1aLIT|29BEXP|35aVULN|4DUST|6ZMB|7aMLV|8RCR|aBPWR
34	31633 63531	   	294.95	DCR|2LIT|2MLV|3VULN	1aLIT|2BEXP|35aVULN|49DUST|6ZMB|7aMLV|8RCR|aBPWR
35	33141 12662	 * 	294.17	DCR|3LIT|2FLTARM|1MLV|3CDMG	126LIT|2aBPWR|3aFLTARM|4MLV|57aCDMG|8RCR|9aBASHEA
36	33233 52321	 * 	291.37	ACR|3LIT|2VULN|3DMG|1MLV	12aLIT|26aBPWR|3RCR|46aDMG|56LWND|7MLV|8MBVNT|9aVULN
37	33314 13421	   	291.18	DCR|3LIT|2MLV|2VULN|1ASPD	12aLIT|2aBPWR|3BEXP|4aMLV|5ASPD|67LWND|8RCR|9aVULN
38	33314 63421	   	291.18	DCR|3LIT|2MLV|2VULN|1ASPD	12aLIT|2aBPWR|3BEXP|4aMLV|5ASPD|6RCVC|7LHND|8RCR|9aVULN
39	33314 26421	   	291.03	DCR|3LIT|2MLV|2VULN|1ASPD	12aLIT|2aBPWR|37BEXP|4aMLV|5ASPD|6DUR|8RCR|9aVULN
40	33141 14143	   	291.00	DCR|3LIT|1FLTARM|1VULN|1MLV|1CDMG	126LIT|2BPWR|3FLTARM|4MLV|5CDMG|7BELT|8RCR|9ZMB|aVULN
41	33145 21114	   	290.98	DCR|2LIT|2MLV|2FLTARM|1VULN|1DMG	12LIT|25BPWR|35FLTARM|45MLV|6DMG|7FEWX|8LHND|9VULN|aRCR
42	33314 25421	   	290.88	DCR|3LIT|2MLV|2VULN|2DUR|1ASPD	12aLIT|2aBPWR|3BEXP|4aMLV|5ASPD|67DUR|8RCR|9aVULN
43	33145 23114	   	290.85	DCR|2LIT|2MLV|2FLTARM|1VULN|1DMG	12LIT|25BPWR|35FLTARM|45MLV|6DMG|7DUST|8LHND|9VULN|aRCR
44	33145 25333	   	289.95	DCR|2LIT|2MLV|2FLTARM|2CDMG|1DMG	12LIT|25BPWR|35FLTARM|45MLV|6DMG|7aCDMG|8RCR|9DUR
45	13121 13622	   	289.04	DCR|2LIT|2MLV|2VULN|1FLTARM	1LHND|24MLV|3FLTARM|56VULN|7aLIT|8RCR|9BEXP
46	13121 13632	   	288.89	DCR|2LIT|2MLV|2VULN|1FLTARM	1LHND|24MLV|3FLTARM|56VULN|7aLIT|8RCR|9DUR
47	13121 13662	   	288.89	DCR|2LIT|2MLV|2VULN|1FLTARM	1LHND|24MLV|3FLTARM|56VULN|7aLIT|8RCR|9MBVNT
48	13114 24226	   	288.46	DCR|3LIT|1FLTARM|1MLV|1VULN|1AART	1LHND|2MLV|3FLTARM|4FEWX|5VULN|689LIT|7RCR|aAART
49	33312 13621	   	288.25	DCR|3LIT|3MLV|2VULN	129LIT|29BPWR|37aBEXP|459MLV|6RCR|89VULN
50	33312 13624	   	288.25	DCR|3LIT|3MLV|2VULN	129LIT|29BPWR|37BEXP|459MLV|6RCR|89VULN|aFLTHEA
51	33513 12621	   	288.25	DCR|3LIT|3MLV|2VULN	129LIT|29BPWR|35LWND|479MLV|6RCR|89VULN|aBEXP
52	33513 12623	   	288.25	DCR|3LIT|3MLV|2VULN	129LIT|29BPWR|35LWND|479MLV|6RCR|89VULN|aFEWX
53	33513 12624	   	288.25	DCR|3LIT|3MLV|2VULN	129LIT|29BPWR|35LWND|479MLV|6RCR|89VULN|aFLTHEA
54	36326 44371	 * 	288.23	DCR|3LIT|4VULN|3ZMB	17aLIT|27aZMB|3LWND|4MBVNT|5CGEN|679aVULN|7aBPWR|8RCR
55	36324 44371	   	288.13	DCR|3LIT|4VULN|3ZMB	17aLIT|27aZMB|3LWND|4MBVNT|5ERES|679aVULN|7aBPWR|8RCR
56	33312 13623	   	288.10	DCR|3LIT|3MLV|2VULN	129LIT|29BPWR|37BEXP|459MLV|6RCR|89VULN|aMULHEA
57	33312 13626	   	288.10	DCR|3LIT|3MLV|2VULN	129LIT|29BPWR|37BEXP|459MLV|6RCR|89VULN|aERES
58	33513 12622	   	288.10	DCR|3LIT|3MLV|2VULN	129LIT|29BPWR|35LWND|479MLV|6RCR|89VULN|aLSRHEA
59	33513 12626	   	288.10	DCR|3LIT|3MLV|2VULN	129LIT|29BPWR|35LWND|479MLV|6RCR|89VULN|aERES
60	33512 63421	   	287.84	DCR|3LIT|2MLV|2VULN	12aLIT|2aBPWR|3aLWND|45MLV|6ZMB|7LEGI|8RCR|9aVULN
61	33352 63511	   	287.84	DCR|3LIT|2MLV|2VULN	12aLIT|2aBPWR|39BEXP|4aVULN|5DUST|6ZMB|7aMLV|8RCR
62	33352 63531	   	287.69	DCR|3LIT|2MLV|2VULN	12aLIT|2aBPWR|3BEXP|4aVULN|59DUST|6ZMB|7aMLV|8RCR
63	21433 24412	   	287.24	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG|1ASPD	1CDMG|2BEXP|39VULN|4MLV|58DMG|6RCR|7ASPD|aLIT
64	22433 24412	   	287.24	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG|1ASPD	1CDMG|2LWND|39VULN|4MLV|58DMG|6RCR|7ASPD|aLIT
65	36311 52423	   	286.89	DCR|2LIT|3VULN|1MLV|1AART	16LIT|2ZMB|3LWND|459VULN|7MLV|8RCR|aAART
66	36211 52423	   	286.79	DCR|2LIT|3VULN|1MLV|1AART	16LIT|2ZMB|3DUR|459VULN|7MLV|8RCR|aAART
67	33141 62111	   	286.73	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	12LIT|2BPWR|3FLTARM|4MLV|5CDMG|6VULN|7BEXP|8RCR|9DUR|aDMG
68	33141 62123	   	286.73	DCR|2LIT|1FLTARM|1VULN|1MLV|2CDMG|1ASPD	12LIT|2BPWR|3FLTARM|4MLV|5aCDMG|6VULN|7BEXP|8RCR|9ASPD
69	33141 62141	   	286.73	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	12LIT|2BPWR|3FLTARM|4MLV|5CDMG|6VULN|7BEXP|8RCR|9LEGI|aDMG
70	33146 52111	   	286.73	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	12LIT|2BPWR|3FLTARM|4MLV|5VULN|6CDMG|7BEXP|8RCR|9DUR|aDMG
71	33146 52123	   	286.73	DCR|2LIT|1FLTARM|1VULN|1MLV|2CDMG|1ASPD	12LIT|2BPWR|3FLTARM|4MLV|5VULN|6aCDMG|7BEXP|8RCR|9ASPD
72	33331 13531	 * 	286.66	DCR|3LIT|3VULN|2DMG	12aLIT|2aBPWR|3BEXP|4aDMG|5ERES|6LWND|79aVULN|8RCR
73	33141 63111	   	286.63	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	12LIT|2BPWR|3FLTARM|4MLV|5CDMG|6VULN|7DUST|8RCR|9DUR|aDMG
74	33141 63141	   	286.63	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	12LIT|2BPWR|3FLTARM|4MLV|5CDMG|6VULN|7DUST|8RCR|9LEGI|aDMG
75	33146 53111	   	286.63	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	12LIT|2BPWR|3FLTARM|4MLV|5VULN|6CDMG|7DUST|8RCR|9DUR|aDMG
76	33331 23531	   	286.56	DCR|3LIT|3VULN|2DMG	12aLIT|2aBPWR|3BEXP|4aDMG|5ERES|6DUR|79aVULN|8RCR
