0	Index      	 *	Score 	Summary	Detail	
1	62112 41481	 * 	330.99	DCR|2LIT|2MLV|2VULN|2DMG|1CDMG	19MLV|29LIT|35VULN|4DUR|6MBVNT|7RCR|89DMG|9BPWR|aCDMG
2	61422 41354	 * 	313.34	DCR|3LIT|2MLV|3VULN	1aMLV|2BEXP|36aLIT|4MBVNT|58aVULN|7RCR|9BELT|aBPWR
3	62222 41485	 * 	310.75	DCR|3LIT|2MLV|2DMG|1VULN|1ASPD	19MLV|269LIT|3DUST|4MBVNT|5VULN|7RCR|89DMG|9BPWR|aASPD
4	62112 41482	   	310.51	DCR|2LIT|2MLV|2VULN|2DMG	19MLV|29LIT|35VULN|4DUR|6MBVNT|7RCR|89DMG|9BPWR|aLWND
5	62112 41483	   	310.51	DCR|2LIT|2MLV|2VULN|2DMG	19MLV|29LIT|35VULN|4DUR|6MBVNT|7RCR|89DMG|9BPWR|aDMSP
6	62112 41484	   	310.51	DCR|2LIT|2MLV|2VULN|2DMG	19MLV|29LIT|35VULN|4DUR|6MBVNT|7RCR|89DMG|9BPWR|aBEXP
7	12422 41486	   	310.36	DCR|2LIT|2MLV|2VULN|2DMG	19DUST|29MLV|36LIT|4MBVNT|5aVULN|7RCR|89DMG|9BPWR
8	62141 32321	 * 	306.43	DCR|2LIT|4VULN|1MLV|1DMG	1MLV|28LIT|3479VULN|5CANARM|6RCR|aDMG
9	62142 32321	   	306.43	DCR|2LIT|4VULN|1MLV|1DMG	1MLV|28LIT|3479VULN|5SPLARM|6RCR|aDMG
10	62145 32321	   	306.43	DCR|2LIT|4VULN|1MLV|1DMG	1MLV|28LIT|3479VULN|5BASHEA|6RCR|aDMG
11	62146 32321	   	306.43	DCR|2LIT|4VULN|1MLV|1DMG	1MLV|28LIT|3479VULN|5CANSTR|6RCR|aDMG
