0	Index      	 *	Score 	Summary	Detail	
1	55411 13232	 * 	282.80	DCR|3LIT|3VULN|1MLV|2DUR	19DUR|29aLIT|3MLV|458VULN|69LWND|7RCR|9BPWR
2	55411 13233	   	279.15	DCR|2LIT|3VULN|1MLV|2DUR|1ASPD	19DUR|29LIT|3MLV|458VULN|69LWND|7RCR|9BPWR|aASPD
3	21513 36523	 * 	270.31	DCR|3LIT|1FLTARM|1VULN|1MLV	1ERES|269LIT|3VULN|4TLV|5MLV|7AART|8RCR|aFLTARM
4	21533 36523	   	270.31	DCR|3LIT|1FLTARM|1VULN|1MLV	1ERES|269LIT|3VULN|4MLV|5TLV|7AART|8RCR|aFLTARM
5	24333 34827	 * 	269.16	DCR|2LIT|3VULN|1FLTARM	1ERES|235VULN|4AART|6MBVNT|79LIT|8RCR|aFLTARM
6	21532 26532	 * 	267.67	DCR|2LIT|2VULN|1MLV|2ASPD	1aERES|2aLIT|35VULN|4MLV|6RMIN|7AART|8RCR|9aASPD|aBPWR
7	21532 15325	   	266.94	DCR|2LIT|3VULN|1MLV	1ERES|26LIT|357VULN|4MLV|8ZMB|9BELT|aRCR
8	11344 25322	   	266.26	DCR|3LIT|3VULN|1ASPD|1DUR	19BEXP|2ASPD|389VULN|4DUR|5LHND|6RCR|79aLIT|9BPWR
9	51334 25322	   	266.16	DCR|3LIT|3VULN|2DUR|1ASPD	19DUR|2ASPD|389VULN|4BEXP|5LHND|6RCR|79aLIT|9BPWR
10	55411 13212	   	265.40	DCR|2LIT|3VULN|1MLV|1DUR	1DUR|2aLIT|3MLV|458VULN|69LWND|7RCR
11	55411 13231	   	265.40	DCR|2LIT|3VULN|1MLV|2DUR	19DUR|29LIT|3MLV|458VULN|69LWND|7RCR|9BPWR|aDUST
12	12414 33233	   	265.30	DCR|2LIT|3VULN|1MLV	1BEXP|2DUST|348VULN|5ERES|69LIT|7RCR|aMLV
