0	Index      	 *	Score 	Summary	Detail	
1	51233 52116	 * 	282.72	DCR|2LIT|2VULN|3ASPD|1MLV	1aLIT|2DMSP|358ASPD|47VULN|6RCR|9MLV
2	52343 51313	 * 	282.06	ACR|3LIT|3VULN|1MLV|1NUKE	157LIT|2RCR|37LWND|467VULN|7BPWR|8MLV|9BEXP|aNUKE
3	52343 51332	   	278.25	ACR|3LIT|3VULN|1MLV|1AART	157LIT|2RCR|37LWND|467VULN|7BPWR|8MLV|9DMSP|aAART
4	51233 23321	 * 	276.81	DCR|3LIT|3VULN|2ASPD	189LIT|2DMSP|35ASPD|49aVULN|69ERES|7RCR|9BPWR
5	55233 23321	   	276.81	DCR|3LIT|3VULN|2ASPD	189LIT|2RCVC|35ASPD|49aVULN|69ERES|7RCR|9BPWR
6	52343 51321	   	275.65	ACR|3LIT|3VULN|1MLV|1ASPD	157LIT|2RCR|379LWND|467VULN|7BPWR|8MLV|aASPD
7	53543 11323	 * 	275.42	DCR|3LIT|1VULN|1MLV|2ASPD|1DMG	178LIT|2LHND|37TLV|4DMG|5MLV|67ASPD|7BPWR|9VULN|aRCR
8	51143 11132	 * 	272.38	ACR|3LIT|2MLV|2VULN|2ASPD	17aLIT|2DMSP|3RCR|48aBEXP|57MLV|67ASPD|7aBPWR|9aVULN
9	55143 11132	   	272.38	ACR|3LIT|2MLV|2VULN|2ASPD	17aLIT|2RCVC|3RCR|48aBEXP|57MLV|67ASPD|7aBPWR|9aVULN
10	52412 23153	 * 	272.33	ACR|2LIT|2VULN|1MLV|1DMG|1AART|1CDMG	17LIT|2RCR|3CDMG|45VULN|6DMG|8MLV|9RCVC|aAART
11	51233 23326	   	270.92	DCR|3LIT|2VULN|2ASPD|1AART	189LIT|2DMSP|35ASPD|49VULN|69ERES|7RCR|9BPWR|aAART
12	55233 23326	   	270.92	DCR|3LIT|2VULN|2ASPD|1AART	189LIT|2RCVC|35ASPD|49VULN|69ERES|7RCR|9BPWR|aAART
13	52412 26131	 * 	269.00	ACR|3VULN|1LIT|1MLV|1DMG|1CDMG|1ASPD	1LIT|2RCR|3CDMG|459VULN|6DMG|7ASPD|8MLV|aLWND
14	52412 26132	   	269.00	ACR|3VULN|1LIT|1MLV|1DMG|1ASPD|1CDMG	1LIT|2RCR|3CDMG|459VULN|6DMG|7ASPD|8MLV|aTLV
15	52412 21153	 * 	267.04	ACR|1LIT|2VULN|2DMG|1MLV|1AART|1CDMG	1LIT|2RCR|3CDMG|45VULN|67DMG|8MLV|9RCVC|aAART
16	41252 41233	   	267.02	DCR|2LIT|1VULN|1MLV|1DMG|1AART|1CDMG	1ERES|2MLV|3DMG|4FEWX|56LIT|7RCR|8VULN|9CDMG|aAART
17	51233 23323	 * 	266.12	DCR|3LIT|2VULN|3ASPD	189LIT|2DMSP|35aASPD|49VULN|69ERES|7RCR|9BPWR
18	55233 23323	   	266.12	DCR|3LIT|2VULN|3ASPD	189LIT|2RCVC|35aASPD|49VULN|69ERES|7RCR|9BPWR
19	51233 52134	 * 	266.01	DCR|3VULN|1LIT|3ASPD|1DMG	1LIT|2DMSP|358ASPD|479VULN|6RCR|aDMG
20	53143 41213	 * 	265.30	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG	16LIT|2LHND|3CGEN|4DMG|59MLV|7RCR|8VULN|aCDMG
21	41252 41213	   	265.15	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG	1ERES|29MLV|3DMG|4FEWX|56LIT|7RCR|8VULN|aCDMG
22	52415 32133	   	265.09	ACR|2LIT|3VULN|1MLV|1CDMG	15LIT|2RCR|3CDMG|469VULN|7LWND|8MLV|aZMB
23	52462 32133	   	265.09	ACR|2LIT|3VULN|1MLV|1CDMG	14LIT|2RCR|3CDMG|569VULN|7LWND|8MLV|aZMB
24	52143 42321	 * 	264.47	ACR|2LIT|3VULN|1MLV|1DMG	16LIT|2RCR|3CGEN|4DMG|5MLV|789VULN|aDUST
25	52143 42323	   	264.47	ACR|2LIT|3VULN|1MLV|1DMG|1DUR	16LIT|2RCR|3CGEN|4DMG|5MLV|789VULN|aDUR
26	52241 51332	   	264.47	ACR|2LIT|3VULN|1MLV|1DMG	17LIT|2RCR|357DUST|467VULN|7BPWR|8TLV|9DMG|aMLV
27	41252 41232	   	264.42	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1ERES|2MLV|3DMG|4FEWX|56LIT|7RCR|8VULN|9CDMG|aASPD
