0	Index      	 *	Score 	Summary	Detail	
1	11423 34253	 * 	397.20	DCR|4VULN|2TLV|1CDMG|2DUR	1AETHUN|2689VULN|39DUR|4CDMG|5LIT|79TLV|9BPWR|aRCR
2	21213 65142	 * 	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1AART|2MLV|3BOSS|456VULN|7ERES|8DUR|9RCR|aMDPS
3	22211 65142	 * 	387.89	DCR|2VULN|1MDPS|2TLV|1DUR|1AART	1AART|25TLV|3BOSS|46VULN|7ERES|8DUR|9RCR|aMDPS
4	12531 21435	 * 	377.98	DCR|2MDPS|1VULN|1DMG|1DUR	1AETHUN|2DMG|3DUR|4SNITOX|5LHND|6DUST|7VULN|8RCR|9aMDPS
5	12534 21335	   	377.98	DCR|2MDPS|1VULN|1DMG|1DUR	1AETHUN|2DMG|3DUR|4SNITOX|5FEWX|6DUST|7VULN|8RCR|9aMDPS
6	15242 13311	 * 	371.48	ACR|2MDPS|2VULN|1DUR|1MSE	1AETHUN|2BASARM|36VULN|4RCR|5DUR|79MDPS|8MSE|aBBNT
7	15242 13312	 * 	371.48	ACR|2MDPS|2VULN|1DUR|1MSE	1AETHUN|2BASARM|36VULN|4RCR|5DUR|79MDPS|8MSE|aLEGI
8	15242 13313	 * 	371.48	ACR|2MDPS|2VULN|1DUR|1MSE	1AETHUN|2BASARM|36VULN|4RCR|5DUR|79MDPS|8MSE|aZMB
9	15242 13314	 * 	371.48	ACR|2MDPS|2VULN|1DUR|1MSE	1AETHUN|2BASARM|36VULN|4RCR|5DUR|79MDPS|8MSE|aFLTARM
10	15242 13315	 * 	371.48	ACR|2MDPS|2VULN|1DUR|1MSE	1AETHUN|2BASARM|36VULN|4RCR|5DUR|79MDPS|8MSE|aTBNT
11	15242 13316	 * 	371.48	ACR|2MDPS|2VULN|1DUR|1MSE	1AETHUN|2BASARM|36VULN|4RCR|5DUR|79MDPS|8MSE|aRAT
12	15242 13611	 * 	371.48	ACR|2MDPS|2VULN|1DUR	1AETHUN|2BASARM|36VULN|4RCR|5DUR|79MDPS|8BEXP|aBBNT
13	15242 13612	   	371.48	ACR|2MDPS|2VULN|1DUR	1AETHUN|2BASARM|36VULN|4RCR|5DUR|79MDPS|8BEXP|aLEGI
14	15242 13613	   	371.48	ACR|2MDPS|2VULN|1DUR	1AETHUN|2BASARM|36VULN|4RCR|5DUR|79MDPS|8BEXP|aZMB
15	11423 34233	   	367.65	DCR|4VULN|1CDMG|1TLV|1DUR	1AETHUN|2689VULN|3DUR|4CDMG|5LIT|7TLV|aRCR
