0	Index      	 *	Score 	Summary	Detail	
1	25415 33322	 * 	370.75	DCR|2VULN|1MDPS|1CDMG|2DUR|1SELL	1SELL|2CGEN|37DUR|45VULN|6RCR|8CDMG|9AEFRZ|aMDPS
2	26415 33332	 * 	367.98	DCR|DCR|3VULN|2DUR|1SELL	1SELL|2ZMB|37DUR|458VULN|6aRCR|9LHND
3	26415 33312	 * 	367.88	DCR|DCR|3VULN|2DUR|1SELL	1SELL|2ZMB|37DUR|458VULN|6aRCR|9DUST
4	23231 14382	 * 	357.10	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1SELL|2LHND|3RCVC|4TLV|5MBVNT|67VULN|8RCR|9DUR|aMDPS
5	26515 33312	 * 	355.52	DCR|DCR|3VULN|1DUR|1SELL	1SELL|2ZMB|3LHND|458VULN|6aRCR|7DUR|9LWND
6	23415 33232	 * 	350.96	DCR|2VULN|1MDPS|1DMG|1DUR|1SELL	1SELL|2LHND|3MLV|45VULN|6RCR|7DUR|8ASPD|9DMG|aMDPS
7	25515 33232	 * 	350.96	DCR|2VULN|1MDPS|1DMG|1DUR|1SELL	1SELL|2CGEN|3LHND|45VULN|6RCR|7DUR|8ASPD|9DMG|aMDPS
8	26515 33232	 * 	350.96	DCR|2VULN|1MDPS|1DMG|1DUR|1SELL	1SELL|2ZMB|3LHND|45VULN|6RCR|7DUR|8ASPD|9DMG|aMDPS
9	31111 32531	 * 	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	19AME|2DMG|39AEWIND|4TBNT|5DUR|6RCR|7ASPD|89VULN|9BPWR|aMDPS
10	31121 32531	   	350.91	DCR|2VULN|1MDPS|1DMG|1DUR	19AME|2DMG|39AEWIND|4BBNT|5DUR|6RCR|7ASPD|89VULN|9BPWR|aMDPS
11	52343 12482	 * 	349.43	2MDPS|2VULN|3DUR|1AART	1AART|247DUR|3BBNT|5MBVNT|67VULN|7BPWR|8ZMB|9aMDPS
12	26415 22333	   	344.65	DCR|2VULN|1MDPS|1DUR|1AART|1SELL	1SELL|2ZMB|3DUR|45VULN|67LWND|8RCR|9AART|aMDPS
13	23415 33134	   	344.55	DCR|2VULN|1MDPS|1DUR|1AART|1SELL	1SELL|2LHND|3MLV|45VULN|6RCR|7DUR|8AART|9AME|aMDPS
14	23415 33143	   	344.55	DCR|2VULN|1MDPS|1DUR|1AART|1SELL	1SELL|2LHND|3MLV|45VULN|6RCR|7DUR|8AART|9ASPD|aMDPS
15	26515 33133	   	344.55	DCR|2VULN|1MDPS|1DUR|1AART|1SELL	1SELL|2ZMB|3LHND|45VULN|6RCR|7DUR|8AART|9AME|aMDPS
