0	Index      	 *	Score 	Summary	Detail	
1	13625 33341	 * 	401.23	DCR|3VULN|1MDPS|1TLV|1DUR	158VULN|2RAT|3DUR|4LIT|6RCR|7TLV|9AAC|aMDPS
2	22156 48341	 * 	377.31	DCR|4VULN|2TLV|1DMG|1DUR	1LIT|2MBVNT|3589VULN|45TLV|5BPWR|6DMG|7RCR|aDUR
3	46423 11312	 * 	375.83	DCR|DCR|3VULN|1DMG|1DUR	1RMIN|28aVULN|3MLV|4ZMB|5DMG|6DUR|79RCR
4	13625 32341	   	374.93	DCR|3VULN|1MDPS|1DUR	158VULN|2RAT|3DUR|4LIT|6RCR|7ERES|9AAC|aMDPS
5	31211 33315	   	374.83	DCR|3VULN|1MDPS|1DUR	1BBNT|234VULN|4BPWR|5DUR|6DMSP|7RCR|8ERES|9CGEN|aMDPS
6	31211 33325	   	374.83	DCR|3VULN|1MDPS|1DUR	1BBNT|234VULN|4BPWR|5DUR|6DMSP|7RCR|8ERES|9MLV|aMDPS
7	31211 33345	   	374.83	DCR|3VULN|1MDPS|1DUR	1BBNT|234VULN|4BPWR|5DUR|6DMSP|7RCR|8ERES|9LHND|aMDPS
8	31211 33355	   	374.83	DCR|3VULN|1MDPS|1DUR	1BBNT|234VULN|4BPWR|5DUR|6DMSP|7RCR|8ERES|9FEWX|aMDPS
9	31211 33415	   	374.83	DCR|3VULN|1MDPS|1DUR	1BBNT|234VULN|4BPWR|5DUR|6DMSP|7RCR|8RCVC|9AETHUN|aMDPS
10	31211 33445	   	374.83	DCR|3VULN|1MDPS|1DUR	1BBNT|234VULN|4BPWR|5DUR|6DMSP|7RCR|8RCVC|9DUST|aMDPS
11	31232 33315	   	374.83	DCR|3VULN|1MDPS|1DUR	1BBNT|235VULN|4DUR|6DMSP|7RCR|8ERES|9CGEN|aMDPS
12	31232 33325	   	374.83	DCR|3VULN|1MDPS|1DUR	1BBNT|235VULN|4DUR|6DMSP|7RCR|8ERES|9MLV|aMDPS
13	31232 33345	   	374.83	DCR|3VULN|1MDPS|1DUR	1BBNT|235VULN|4DUR|6DMSP|7RCR|8ERES|9LHND|aMDPS
14	31232 33355	   	374.83	DCR|3VULN|1MDPS|1DUR	1BBNT|235VULN|4DUR|6DMSP|7RCR|8ERES|9FEWX|aMDPS
15	31232 33415	   	374.83	DCR|3VULN|1MDPS|1DUR	1BBNT|235VULN|4DUR|6DMSP|7RCR|8RCVC|9AETHUN|aMDPS
16	31232 33445	   	374.83	DCR|3VULN|1MDPS|1DUR	1BBNT|235VULN|4DUR|6DMSP|7RCR|8RCVC|9DUST|aMDPS
17	31211 33115	   	374.73	DCR|3VULN|1MDPS|1DUR	1BBNT|234VULN|4BPWR|5DUR|6DMSP|7RCR|8AEBURN|9AETHUN|aMDPS
18	31211 33145	   	374.73	DCR|3VULN|1MDPS|1DUR	1BBNT|234VULN|4BPWR|5DUR|6DMSP|7RCR|8AEBURN|9DUST|aMDPS
19	31211 33625	   	374.73	DCR|3VULN|1MDPS|1DUR|1MSE	1BBNT|234VULN|4BPWR|5DUR|6DMSP|7RCR|8MSE|9ERES|aMDPS
20	31211 33664	   	374.73	DCR|3VULN|1MDPS|1DUR|1MSE	1BBNT|234VULN|4BPWR|5DUR|6DMSP|7RCR|8MSE|9LEGI|aMDPS
21	31232 33115	   	374.73	DCR|3VULN|1MDPS|1DUR	1BBNT|235VULN|4DUR|6DMSP|7RCR|8AEBURN|9AETHUN|aMDPS
22	31232 33145	   	374.73	DCR|3VULN|1MDPS|1DUR	1BBNT|235VULN|4DUR|6DMSP|7RCR|8AEBURN|9DUST|aMDPS
23	31232 33625	   	374.73	DCR|3VULN|1MDPS|1DUR|1MSE	1BBNT|235VULN|4DUR|6DMSP|7RCR|8MSE|9ERES|aMDPS
24	31232 33664	   	374.73	DCR|3VULN|1MDPS|1DUR|1MSE	1BBNT|235VULN|4DUR|6DMSP|7RCR|8MSE|9LEGI|aMDPS
