0	Index      	 *	Score 	Summary	Detail	
1	22321 34152	 * 	418.71	ACR|DCR|2MDPS|1VULN|1DMG	16RCR|2BOSS|3DMG|4DUR|5VULN|7aMDPS|8ZMB|9RPLT
2	36126 32232	 * 	401.03	DCR|3VULN|1MDPS|1TLV	1AEFRZ|257VULN|3TLV|4BBNT|6RCR|8BOSS|9DUR|aMDPS
3	36126 32532	   	401.03	DCR|3VULN|1MDPS|1TLV	1AEFRZ|257VULN|3TLV|4BBNT|6RCR|8LIT|9DUR|aMDPS
4	36152 32232	   	401.03	DCR|3VULN|1MDPS|1TLV	1AEFRZ|247VULN|3TLV|5BBNT|6RCR|8BOSS|9DUR|aMDPS
5	36152 32532	   	401.03	DCR|3VULN|1MDPS|1TLV	1AEFRZ|247VULN|3TLV|5BBNT|6RCR|8LIT|9DUR|aMDPS
6	51126 32232	   	401.03	DCR|3VULN|1MDPS|1TLV	157VULN|2AEFBLL|3TLV|4BBNT|6RCR|8BOSS|9DUR|aMDPS
7	51126 32532	   	401.03	DCR|3VULN|1MDPS|1TLV	157VULN|2AEFBLL|3TLV|4BBNT|6RCR|8LIT|9DUR|aMDPS
8	51152 32232	   	401.03	DCR|3VULN|1MDPS|1TLV	147VULN|2AEFBLL|3TLV|5BBNT|6RCR|8BOSS|9DUR|aMDPS
9	51152 32532	   	401.03	DCR|3VULN|1MDPS|1TLV	147VULN|2AEFBLL|3TLV|5BBNT|6RCR|8LIT|9DUR|aMDPS
10	23121 35126	 * 	399.18	ACR|DCR|2VULN|1MDPS|1CDMG	16RCR|2ASPD|3LIT|4DUR|59VULN|7CDMG|8RPLT|aMDPS
11	52142 21523	 * 	399.13	DCR|3VULN|1MDPS|3DUR	134VULN|236LIT|36BPWR|567DUR|8RCR|9LHND|aMDPS
12	52142 21533	   	399.13	DCR|3VULN|1MDPS|3DUR	134VULN|236LIT|36BPWR|567DUR|8RCR|9FEWX|aMDPS
13	23121 35415	   	399.08	ACR|DCR|2VULN|1MDPS|1CDMG	16RCR|2ASPD|3LIT|4DUR|58VULN|7CDMG|9CANSTR|aMDPS
14	23121 35462	   	399.08	ACR|DCR|2VULN|1MDPS|1CDMG	16RCR|2ASPD|3LIT|4DUR|58VULN|7CDMG|9DUST|aMDPS
15	23121 34152	   	398.55	ACR|DCR|2MDPS|1VULN	16RCR|2ASPD|3LIT|4DUR|5VULN|7aMDPS|8ZMB|9RPLT
16	22321 33523	   	391.84	ACR|DCR|2VULN|1MDPS|1DMG	16RCR|2BOSS|3DMG|4DUR|59VULN|7LHND|8ASPD|aMDPS
17	22321 35415	   	391.60	ACR|DCR|2VULN|1MDPS|1DMG|1SELL	16RCR|2BOSS|3DMG|4DUR|58VULN|7SELL|9CANSTR|aMDPS
18	22321 35462	   	391.60	ACR|DCR|2VULN|1MDPS|1DMG|1SELL	16RCR|2BOSS|3DMG|4DUR|58VULN|7SELL|9DUST|aMDPS
