0	Index      	 *	Score 	Summary	Detail	
1	21124 28532	 * 	384.12	DCR|2MDPS|1VULN|1TLV|1DUR	1ERES|2TLV|3DUR|4MLV|5VULN|6MBVNT|7TBNT|8RCR|9aMDPS
2	51114 15111	 * 	377.27	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR|1SELL	1CGEN|2TLV|3DUR|4DMG|59VULN|6BOSS|7SELL|8RCR|aMDPS
3	21114 15111	 * 	377.17	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR|1SELL	1ERES|2TLV|3DUR|4DMG|59VULN|6BOSS|7SELL|8RCR|aMDPS
4	21314 61135	 * 	360.32	DCR|4VULN|1TLV|1DMG|1DUR	1ERES|2TLV|359aVULN|4DMG|6AAC|7RCR|8DUR
5	51314 42233	 * 	358.15	2MDPS|2VULN|1TLV|1DMG|1DUR	1CGEN|2TLV|35VULN|4DMG|6DUR|7BEXP|8aMDPS|9MLV
6	21314 42213	   	358.05	2MDPS|2VULN|1TLV|1DMG|1DUR	1ERES|2TLV|35VULN|4DMG|6DUR|7BEXP|8aMDPS|9CGEN
7	21314 42243	   	358.05	2MDPS|2VULN|1TLV|1DMG|1DUR	1ERES|2TLV|35VULN|4DMG|6DUR|7BEXP|8aMDPS|9AME
8	21314 44213	   	358.05	2MDPS|2VULN|1TLV|1DMG|1DUR	1ERES|2TLV|35VULN|4DMG|6DUR|7LHND|8aMDPS|9CGEN
9	21365 15213	   	358.05	2MDPS|2VULN|1TLV|1DMG|1DUR	1ERES|2TLV|35VULN|4DUR|6BEXP|7DMG|8aMDPS|9CGEN
10	51314 41233	   	358.05	2MDPS|2VULN|1TLV|1DMG|1DUR	1CGEN|2TLV|35VULN|4DMG|6DUR|7DUST|8aMDPS|9MLV
11	21314 41213	   	357.95	2MDPS|2VULN|1TLV|1DMG|1DUR	1ERES|2TLV|35VULN|4DMG|6DUR|7DUST|8aMDPS|9CGEN
12	21314 41243	   	357.95	2MDPS|2VULN|1TLV|1DMG|1DUR	1ERES|2TLV|35VULN|4DMG|6DUR|7DUST|8aMDPS|9AME
13	42221 34342	 * 	357.10	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1LWND|2DUST|37VULN|4DUR|5TLV|6LHND|8SELL|9RCR|aMDPS
14	42221 61342	 * 	357.10	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1LWND|2DUST|36VULN|4DUR|5TLV|7LHND|8SELL|9RCR|aMDPS
15	32221 12342	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1LHND|2DUST|37VULN|4DUR|5TLV|6LEGI|8SELL|9RCR|aMDPS
16	32221 22342	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1LHND|2DUST|37VULN|4DUR|5TLV|6AETHUN|8SELL|9RCR|aMDPS
17	42221 14342	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1LWND|2DUST|37VULN|4DUR|5TLV|6LEGI|8SELL|9RCR|aMDPS
18	42221 22342	 * 	357.00	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1LWND|2DUST|37VULN|4DUR|5TLV|6AETHUN|8SELL|9RCR|aMDPS
19	41365 13212	 * 	355.14	DCR|2VULN|1MDPS|3DUR	1LWND|2RMIN|3AAC|467DUR|58VULN|9RCR|aMDPS
20	23365 13212	   	355.04	DCR|2VULN|1MDPS|3DUR	1ERES|2FEWX|3AAC|468DUR|57VULN|9RCR|aMDPS
