0	Index      	 *	Score 	Summary	Detail	
1	31522 45231	 * 	308.44	DCR|DCR|3VULN|2TLV	18TLV|2CGEN|368VULN|4RCVC|58SPLARM|7aRCR|8BPWR|9LIT
2	12315 11166	   	308.24	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1FEWX|2LWND|34VULN|5DMG|6TLV|7ASPD|8aRCR|9CGEN
3	12342 11166	   	305.07	DCR|DCR|2VULN|1TLV|1AAC|1ASPD	1FEWX|2LWND|35VULN|4AAC|6TLV|7ASPD|8aRCR|9CGEN
4	31213 14635	 * 	300.71	DCR|3VULN|3TLV|2MLV|1AAC	137TLV|2CGEN|47aVULN|57MLV|6AAC|7BPWR|8AME|9RCR
5	31212 45512	   	299.65	DCR|DCR|2VULN|2TLV|1CDMG	13TLV|2CGEN|46VULN|5SPLARM|7aRCR|8BEXP|9CDMG
6	21534 35233	 * 	294.17	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1AEFRZ|2RCVC|3TLV|4LIT|5DMG|67RCR|8VULN|9AEFBLL|aMLV
7	23534 35233	   	294.07	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1AEFRZ|2AEBURN|3TLV|4LIT|5DMG|67RCR|8VULN|9AEFBLL|aMLV
8	21533 35225	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1AEFRZ|2RCVC|3TLV|4LIT|5ASPD|67RCR|8VULN|9BBNT|aMLV
9	21533 35233	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1AEFRZ|2RCVC|3TLV|4LIT|5ASPD|67RCR|8VULN|9AEFBLL|aMLV
10	23533 35225	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1AEFRZ|2AEBURN|3TLV|4LIT|5ASPD|67RCR|8VULN|9BBNT|aMLV
11	23533 35233	   	290.26	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1AEFRZ|2AEBURN|3TLV|4LIT|5ASPD|67RCR|8VULN|9AEFBLL|aMLV
12	31338 85443	 * 	288.38	DCR|DCR|2TLV|1VULN|1MLV	18TLV|2CGEN|3RPLT|4MBVNT|5VULN|6FEWX|7aRCR|9MLV
13	31512 45231	   	286.20	DCR|DCR|2VULN|2TLV	18TLV|28CGEN|36VULN|4AEWIND|58SPLARM|7aRCR|8BPWR|9LIT
14	31212 45431	   	286.10	DCR|DCR|2VULN|2TLV	13TLV|2CGEN|46VULN|5SPLARM|7aRCR|8DMSP|9LIT
15	31512 15231	   	286.00	DCR|DCR|2VULN|2TLV	18TLV|2CGEN|38VULN|4AEWIND|5SPLARM|68AEPOI|7aRCR|8BPWR|9LIT
16	31523 14431	   	283.20	DCR|2VULN|2MLV|2TLV|1AAC|1CDMG	17TLV|2CGEN|37VULN|4RCVC|57MLV|6AAC|7BPWR|8CDMG|9DMSP|aRCR
17	13125 54313	   	282.58	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1FEWX|2DMG|3RPLT|4LEGI|5TLV|6aRCR|7AAC|8RCVC|9VULN
18	13135 54313	   	282.58	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1FEWX|2DMG|3RPLT|4BEXP|5TLV|6aRCR|7AAC|8RCVC|9VULN
19	32116 42223	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2FEWX|3RPLT|4ASPD|5CGEN|6aRCR|7DMG|8VULN|9AME
20	32116 42263	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2FEWX|3RPLT|4ASPD|5CGEN|6aRCR|7DMG|8VULN|9RMIN
21	21534 35221	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AEFRZ|2RCVC|3TLV|4LIT|5DMG|67RCR|8VULN|9BBNT|aASPD
22	42116 42213	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1ERES|2FEWX|3RPLT|4ASPD|5CGEN|6aRCR|7DMG|8VULN|9TLV
23	32116 42413	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2FEWX|3RPLT|4ASPD|5CGEN|6aRCR|7DMG|8ERES|9VULN
24	21533 35216	   	281.83	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	19AEFRZ|2RCVC|3TLV|4LIT|5ASPD|67RCR|8VULN|aDMG
25	23534 35221	   	281.83	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AEFRZ|2AEBURN|3TLV|4LIT|5DMG|67RCR|8VULN|9BBNT|aASPD
26	23533 35216	   	281.73	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	19AEFRZ|2AEBURN|3TLV|4LIT|5ASPD|67RCR|8VULN|aDMG
27	32113 54113	   	278.86	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1TLV|2FEWX|3RPLT|4ASPD|58LHND|6aRCR|7AAC|9VULN
28	32111 54313	   	278.76	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1TLV|2FEWX|3RPLT|4ASPD|5BEXP|6aRCR|7AAC|8RCVC|9VULN
29	35111 54313	   	278.76	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1TLV|2BEXP|3RPLT|4ASPD|5FEWX|6aRCR|7AAC|8RCVC|9VULN
30	31213 14632	   	278.57	DCR|2VULN|3TLV|2MLV|1AAC	137TLV|2CGEN|47VULN|57MLV|6AAC|7BPWR|8AME|9RCR|aBBNT
31	31213 14633	   	278.57	DCR|2VULN|3TLV|2MLV|1AAC	137TLV|2CGEN|47VULN|57MLV|6AAC|7BPWR|8AME|9RCR|aFEWX
32	31213 14636	   	278.57	DCR|2VULN|3TLV|2MLV|1AAC	137TLV|2CGEN|47VULN|57MLV|6AAC|7BPWR|8AME|9RCR|aRMIN
33	31213 14631	   	278.47	DCR|2VULN|3TLV|2MLV|1AAC	137TLV|2CGEN|47VULN|57MLV|6AAC|7BPWR|8AME|9RCR|aMBVNT
34	31213 14634	   	278.47	DCR|2VULN|3TLV|2MLV|1AAC|1SELL	137TLV|2CGEN|47VULN|57MLV|6AAC|7BPWR|8AME|9RCR|aSELL
