0	Index      	 *	Score 	Summary	Detail	
1	11323 24365	 * 	294.75	DCR|DCR|2VULN|2MLV	16MLV|2DUST|3SPLARM|45VULN|7CGEN|8DLOT|9aRCR
2	12161 23354	   	274.08	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2RAT|3RPLT|4DUST|5ASPD|68RCR|7CGEN|9VULN|aDUR
3	32111 15334	 * 	272.42	DCR|DCR|1VULN|2ASPD|1AAC	1RCVC|2AAC|34ASPD|5AART|6ZMB|79RCR|8BLAICY|aVULN
4	14132 23234	 * 	271.66	ACR|DCR|2VULN|2MLV|1CDMG	1aMLV|2LHND|3DMSP|4aLWND|59RCR|6CDMG|7ERES|8aVULN|aBPWR
5	11142 23234	   	271.36	ACR|DCR|2VULN|2MLV|1CDMG	1aMLV|2aDUST|3LEGI|4RCVC|59RCR|6CDMG|7ERES|8aVULN|aBPWR
6	11142 52234	   	271.36	ACR|DCR|2VULN|2MLV|1CDMG	1aMLV|2aDUST|3LEGI|4RCVC|59RCR|6ERES|7CDMG|8aVULN|aBPWR
7	11622 52234	   	271.26	ACR|DCR|2VULN|2MLV|1CDMG	1aMLV|2DUST|34aBEXP|59RCR|6ERES|7CDMG|8aVULN|aBPWR
8	32111 15336	 * 	269.56	DCR|DCR|1TLV|2ASPD|1AAC	1RCVC|2AAC|34ASPD|5AART|6ZMB|79RCR|8BLAICY|aTLV
9	12344 62123	 * 	269.25	DCR|DCR|1VULN|1MLV|1DMG|1SELL	1MLV|2RAT|3RCVC|4DMG|5VULN|6SELL|7MDPS|8BEXP|9aRCR
10	12244 62123	 * 	269.15	DCR|DCR|1VULN|1MLV|1DMG|1SELL	1MLV|2RAT|3AEPOI|4DMG|5VULN|6SELL|7MDPS|8BEXP|9aRCR
11	12161 23311	 * 	267.78	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1MLV|2RAT|3RPLT|4DUST|5ASPD|68RCR|7CGEN|9DMG|aAAC
12	12464 23232	 * 	266.38	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1MLV|2RAT|3ASPD|4DMG|5TLV|67VULN|8ZMB|9DUR|aRCR
13	12161 23353	   	265.78	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2RAT|3aRPLT|4DUST|5ASPD|68RCR|7CGEN|9VULN
14	12161 23355	   	265.78	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2RAT|3RPLT|4DUST|5ASPD|68RCR|7CGEN|9VULN|aAME
15	12161 23351	   	265.68	DCR|DCR|1VULN|1MLV|1ASPD|1MSE	1MLV|2RAT|3RPLT|4DUST|5ASPD|68RCR|7CGEN|9VULN|aMSE
16	12161 23352	   	265.68	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2RAT|3RPLT|4DUST|5ASPD|68RCR|7CGEN|9VULN|aERES
17	12161 23356	   	265.68	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2RAT|3RPLT|4DUST|5ASPD|68RCR|7CGEN|9VULN|aLSRREG
18	12434 62123	   	265.33	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	1MLV|2RAT|3ASPD|4AEBURN|5VULN|6SELL|7MDPS|8BEXP|9aRCR
19	12434 62323	   	265.33	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	1MLV|2RAT|3ASPD|4AEBURN|5VULN|6SELL|7MDPS|8DUST|9aRCR
20	43361 22743	 * 	264.99	DCR|DCR|1TLV|1DMG|1ASPD	1RPLT|2DUR|3DMG|4RAT|5ASPD|6aRCR|7MBVNT|8ERES|9TLV
21	43361 23443	   	264.99	DCR|DCR|1TLV|1DMG|1ASPD	1RPLT|2DUR|3DMG|4RAT|5ASPD|6aRCR|7ERES|8MBVNT|9TLV
