0	Index      	 *	Score 	Summary	Detail	
1	62132 44654	 * 	300.02	DCR|DCR|3VULN|1TLV	1MBVNT|25aVULN|3BELT|4BBNT|69RCR|7TLV|8LWND
2	13131 15552	   	299.64	DCR|DCR|2VULN|1TLV|1ASPD	1DUST|2RAT|3TLV|4AME|56VULN|79RCR|8BEXP|aASPD
3	23341 55631	   	292.81	DCR|DCR|2VULN|1TLV|1ASPD	1ASPD|2BBNT|3MBVNT|4RMIN|5LWND|69RCR|7aVULN|8TLV
4	23345 53631	   	292.81	DCR|DCR|2VULN|1TLV|1ASPD	1ASPD|2BBNT|3MBVNT|4RMIN|5aVULN|69RCR|7LWND|8TLV
5	62132 44652	   	284.86	DCR|DCR|2VULN|1TLV	1MBVNT|25VULN|3BELT|4BBNT|69RCR|7TLV|8LWND|aAART
6	23341 55634	 * 	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1ASPD|2BBNT|3MBVNT|4RMIN|5LWND|69RCR|7VULN|8TLV|aDMG
7	23345 53634	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1ASPD|2BBNT|3MBVNT|4RMIN|5VULN|69RCR|7LWND|8TLV|aDMG
8	13131 15551	   	283.39	DCR|DCR|2VULN|1TLV	1DUST|2RAT|3TLV|4AME|56VULN|79RCR|8BEXP|aDMSP
9	13131 15553	   	283.29	DCR|DCR|2VULN|1TLV	1DUST|2RAT|3TLV|4AME|56VULN|79RCR|8aBEXP
10	62238 33125	 * 	282.36	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD	1MBVNT|28VULN|38ZMB|4ASPD|5DMG|68MLV|7RCR|8BPWR|9RAT|aTLV
11	62238 31644	 * 	281.58	DCR|3VULN|2MLV|2ASPD|1DMG	1MBVNT|279VULN|37ZMB|49ASPD|5DMG|67MLV|79BPWR|89FRZARM|aRCR
12	62211 52362	 * 	280.80	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1MBVNT|2VULN|3ZMB|4BBNT|5MLV|69RCR|7DUR|8CDMG|aASPD
13	62211 52131	 * 	278.97	DCR|DCR|2VULN|1MLV	1MBVNT|2aVULN|3ZMB|4BBNT|5MLV|69RCR|7DUR|8RMIN
14	26322 31321	 * 	277.77	DCR|2MLV|2TLV|3ASPD|1VULN	168ASPD|28FEWX|3RCVC|4VULN|56MLV|68BPWR|78TLV|9RCR|aAART
15	25322 31321	   	277.57	DCR|2MLV|2TLV|3ASPD|1VULN	168ASPD|28DUST|3RCVC|4VULN|56MLV|68BPWR|78TLV|9RCR|aAART
16	61124 52731	   	276.75	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2TBNT|3BEXP|4AME|5TLV|69RCR|7DUR|8DMG|aVULN
17	64124 52731	   	276.75	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2BBNT|3BEXP|4AME|5TLV|69RCR|7DUR|8DMG|aVULN
18	63114 52731	   	276.65	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2ERES|3BEXP|4BBNT|5TLV|69RCR|7DUR|8DMG|aVULN
19	62132 44551	   	276.56	DCR|DCR|2VULN|1TLV	1MBVNT|25VULN|3BELT|4BBNT|69RCR|7TLV|8aLHND
20	62132 44552	   	276.56	DCR|DCR|2VULN|1TLV	1MBVNT|25VULN|3BELT|4BBNT|69RCR|7TLV|8LHND|aFEWX
21	62132 44554	   	276.56	DCR|DCR|2VULN|1TLV	1MBVNT|25VULN|3BELT|4BBNT|69RCR|7TLV|8LHND|aRMIN
22	62132 44651	   	276.56	DCR|DCR|2VULN|1TLV	1MBVNT|25VULN|3BELT|4BBNT|69RCR|7TLV|8LWND|aLHND
23	62134 44654	   	276.56	DCR|DCR|2VULN|1TLV	1MBVNT|2aVULN|35BELT|4BBNT|69RCR|7TLV|8LWND
24	62132 44553	   	276.46	DCR|DCR|2VULN|1TLV	1MBVNT|25VULN|3BELT|4BBNT|69RCR|7TLV|8LHND|aMSLREG
25	62132 44653	   	276.46	DCR|DCR|2VULN|1TLV	1MBVNT|25VULN|3BELT|4BBNT|69RCR|7TLV|8LWND|aDUST
26	26322 31324	   	276.41	DCR|2MLV|2TLV|3ASPD|1VULN	168ASPD|28FEWX|3RCVC|4VULN|56MLV|68BPWR|78TLV|9RCR|aRAT
27	25322 31324	   	276.21	DCR|2MLV|2TLV|3ASPD|1VULN	168ASPD|28DUST|3RCVC|4VULN|56MLV|68BPWR|78TLV|9RCR|aRAT
28	23163 23652	 * 	275.30	DCR|DCR|2VULN|2ASPD	1aASPD|2BBNT|3CGEN|4RPLT|58VULN|69RCR|7BEXP
29	24231 35521	   	274.66	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2LHND|3CANSTR|4ZMB|5DUR|6DMG|79RCR|8CDMG|aVULN
30	26231 35521	   	274.66	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2FEWX|3CANSTR|4ZMB|5DUR|6DMG|79RCR|8CDMG|aVULN
31	21231 35521	   	274.56	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2BEXP|3VENFST|4ZMB|5DUR|6DMG|79RCR|8CDMG|aVULN
32	25231 35521	   	274.56	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2DUST|3CANSTR|4ZMB|5DUR|6DMG|79RCR|8CDMG|aVULN
33	21122 61263	 * 	274.40	DCR|3VULN|1TLV|1MLV|1DMG|1ASPD	1ASPD|23BEXP|469VULN|5MLV|7TLV|8DMG|aRCR
