0	Index      	 *	Score 	Summary	Detail	
1	43315 12613	 * 	302.13	DCR|DCR|2VULN|1MLV|1DMG|1CDMG	13VULN|2RPLT|4TBNT|5CDMG|68RCR|7DMG|9LWND|aMLV
2	43315 12611	 * 	291.13	DCR|DCR|2VULN|2DMG|1CDMG	13VULN|2RPLT|4TBNT|5CDMG|68RCR|7aDMG|9LWND
3	33515 12353	   	290.79	DCR|DCR|1VULN|1MLV|1DMG|2DUR|1CDMG	13DUR|2RPLT|4TBNT|5CDMG|69RCR|7DMG|8VULN|aMLV
4	41421 11235	 * 	282.13	DCR|DCR|3VULN|2CDMG	148VULN|28CDMG|378ZMB|5BBNT|6aRCR|8BPWR|9LIT
5	31323 45126	 * 	281.13	DCR|DCR|1VULN|1TLV|2RAT|1CDMG	1DUR|2CDMG|3AEPOI|4TLV|59RAT|6aRCR|7VULN|8LWND
6	33515 12351	   	279.79	DCR|DCR|2DMG|1VULN|2DUR|1CDMG	13DUR|2RPLT|4TBNT|5CDMG|69RCR|7aDMG|8VULN
7	35212 33452	   	278.48	DCR|DCR|2VULN|1AAC|2RAT	1DUR|2AAC|39RAT|45VULN|6BEXP|7LIT|8aRCR
8	35222 23452	   	278.48	DCR|DCR|2VULN|1AAC|2RAT	1DUR|2AAC|39RAT|4AETHUN|56VULN|7LIT|8aRCR
9	35212 33442	   	278.42	DCR|DCR|2VULN|1AAC|2DUR	19DUR|2AAC|3RAT|45VULN|6BEXP|7LIT|8aRCR
10	35222 23442	   	278.42	DCR|DCR|2VULN|1AAC|2DUR	19DUR|2AAC|3RAT|4AETHUN|56VULN|7LIT|8aRCR
11	63115 12353	   	275.93	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	13LWND|2RPLT|4TBNT|5CDMG|69RCR|7DMG|8VULN|aMLV
12	63215 12353	   	275.93	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1LWND|2RPLT|3DMSP|4TBNT|5CDMG|69RCR|7DMG|8VULN|aMLV
13	43315 12621	   	273.55	DCR|DCR|2VULN|1DMG|1CDMG	13VULN|2RPLT|4TBNT|5CDMG|68RCR|7DMG|9LIT|aFEWX
14	43315 12622	   	273.55	DCR|DCR|2VULN|1DMG|1CDMG	13VULN|2RPLT|4TBNT|5CDMG|68RCR|7DMG|9LIT|aZMB
15	43315 12631	   	273.55	DCR|DCR|2VULN|1DMG|1CDMG	13VULN|2RPLT|4TBNT|5CDMG|68RCR|7DMG|9BBNT|aZMB
16	43315 12632	   	273.55	DCR|DCR|2VULN|1DMG|1CDMG	13VULN|2RPLT|4TBNT|5CDMG|68RCR|7DMG|9BBNT|aLWND
17	43315 12633	   	273.55	DCR|DCR|2VULN|1DMG|1CDMG	13VULN|2RPLT|4TBNT|5CDMG|68RCR|7DMG|9BBNT|aRMIN
18	43315 12612	   	273.45	DCR|DCR|2VULN|1DMG|1CDMG	13VULN|2RPLT|4TBNT|5CDMG|68RCR|7DMG|9LWND|aERES
19	43315 12623	   	273.45	DCR|DCR|2VULN|1DMG|1CDMG	13VULN|2RPLT|4TBNT|5CDMG|68RCR|7DMG|9LIT|aAEBURN
