0	Index      	 *	Score 	Summary	Detail	
1	31311 53233	 * 	305.55	DCR|DCR|2VULN|1TLV|1CDMG	1BBNT|2RAT|3TLV|4CGEN|5DUR|6aRCR|7CDMG|89VULN
2	22635 33253	 * 	300.70	DCR|DCR|2VULN|2ASPD|1AAC	1aASPD|2BBNT|3DUR|4AETHUN|5aVULN|6aLHND|79RCR|8AAC|aBPWR
3	33635 33253	   	300.70	DCR|DCR|2VULN|2ASPD|1AAC	1BBNT|2aASPD|3DUR|4AETHUN|5aVULN|6aLHND|79RCR|8AAC|aBPWR
4	22335 43253	   	292.19	DCR|DCR|2VULN|2ASPD|1AAC	1aASPD|2BBNT|3LWND|4AETHUN|5aVULN|6aBEXP|79RCR|8AAC|aBPWR
5	33335 43253	   	292.19	DCR|DCR|2VULN|2ASPD|1AAC	1BBNT|2aASPD|3LWND|4AETHUN|5aVULN|6aBEXP|79RCR|8AAC|aBPWR
6	24312 23651	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1ASPD|2FEWX|3LWND|4RMIN|5TLV|6VULN|7DMG|89RCR|aBEXP
7	24312 23652	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD|1MSE	1ASPD|2FEWX|3LWND|4RMIN|5TLV|6VULN|7DMG|89RCR|aMSE
8	24312 23653	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1ASPD|2FEWX|3LWND|4RMIN|5TLV|6VULN|7DMG|89RCR|aDUST
9	26312 23651	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1ASPD|2LHND|3LWND|4RMIN|5TLV|6VULN|7DMG|89RCR|aBEXP
10	26312 23652	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD|1MSE	1ASPD|2LHND|3LWND|4RMIN|5TLV|6VULN|7DMG|89RCR|aMSE
11	26312 23653	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1ASPD|2LHND|3LWND|4RMIN|5TLV|6VULN|7DMG|89RCR|aDUST
12	31311 53333	   	284.02	DCR|DCR|1VULN|1TLV|2DUR|1CDMG	1BBNT|2RAT|3TLV|4CGEN|58DUR|6aRCR|7CDMG|9VULN
13	24312 21651	   	281.62	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1ASPD|2FEWX|3LWND|4RMIN|5TLV|6VULN|7AAC|89RCR|aBEXP
14	24312 21652	   	281.62	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1MSE	1ASPD|2FEWX|3LWND|4RMIN|5TLV|6VULN|7AAC|89RCR|aMSE
15	24312 21653	   	281.62	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1ASPD|2FEWX|3LWND|4RMIN|5TLV|6VULN|7AAC|89RCR|aDUST
16	26312 21651	   	281.62	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1ASPD|2LHND|3LWND|4RMIN|5TLV|6VULN|7AAC|89RCR|aBEXP
17	26312 21652	   	281.62	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1MSE	1ASPD|2LHND|3LWND|4RMIN|5TLV|6VULN|7AAC|89RCR|aMSE
18	26312 21653	   	281.62	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1ASPD|2LHND|3LWND|4RMIN|5TLV|6VULN|7AAC|89RCR|aDUST
19	41213 21651	 * 	279.54	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1LHND|2MLV|3LWND|4RMIN|5DMG|6VULN|7AAC|89RCR|aBEXP
20	41213 21652	   	279.54	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1MSE	1LHND|2MLV|3LWND|4RMIN|5DMG|6VULN|7AAC|89RCR|aMSE
21	41213 21653	   	279.54	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1LHND|2MLV|3LWND|4RMIN|5DMG|6VULN|7AAC|89RCR|aDUST
22	61213 21651	   	279.44	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1DUST|2MLV|3LWND|4RMIN|5DMG|6VULN|7AAC|89RCR|aBEXP
23	61213 21652	   	279.44	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1MSE	1DUST|2MLV|3LWND|4RMIN|5DMG|6VULN|7AAC|89RCR|aMSE
24	61213 21653	   	279.44	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1aDUST|2MLV|3LWND|4RMIN|5DMG|6VULN|7AAC|89RCR
25	41213 23651	   	278.90	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1LHND|2MLV|3LWND|4RMIN|5DMG|6VULN|7ASPD|89RCR|aBEXP
26	41213 23652	   	278.90	DCR|DCR|1VULN|1MLV|1DMG|1ASPD|1MSE	1LHND|2MLV|3LWND|4RMIN|5DMG|6VULN|7ASPD|89RCR|aMSE
27	41213 23653	   	278.90	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1LHND|2MLV|3LWND|4RMIN|5DMG|6VULN|7ASPD|89RCR|aDUST
28	61213 23651	   	278.80	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1DUST|2MLV|3LWND|4RMIN|5DMG|6VULN|7ASPD|89RCR|aBEXP
29	61213 23652	   	278.80	DCR|DCR|1VULN|1MLV|1DMG|1ASPD|1MSE	1DUST|2MLV|3LWND|4RMIN|5DMG|6VULN|7ASPD|89RCR|aMSE
30	61213 23653	   	278.80	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1aDUST|2MLV|3LWND|4RMIN|5DMG|6VULN|7ASPD|89RCR
31	31311 53433	   	277.37	DCR|DCR|1VULN|1TLV|1CDMG	1BBNT|2RAT|3TLV|4CGEN|5DUR|6aRCR|7CDMG|8AEBURN|9VULN
32	23124 21264	 * 	277.25	DCR|3VULN|2ASPD|1MLV|1DMG|2CDMG	17ASPD|27CDMG|3LWND|4MLV|578VULN|6RMIN|7BPWR|9DMG|aRCR
33	43363 14311	 * 	276.63	ACR|DCR|3VULN|1TLV|1CDMG	1LHND|267VULN|36DUST|4RPLT|58RCR|6BPWR|9CDMG|aTLV
34	11212 15525	 * 	275.95	DCR|DCR|1TLV|1MLV|2CDMG|1ASPD	1CGEN|23CDMG|4ASPD|5MLV|6ERES|7aRCR|8TLV|9RMIN
35	11213 15535	   	275.95	DCR|DCR|1TLV|1MLV|2CDMG|1ASPD	1CGEN|23CDMG|4ASPD|5AME|6ERES|7aRCR|8TLV|9MLV
