0	Index      	 *	Score 	Summary	Detail	
1	12423 61222	 * 	309.70	DCR|DCR|2VULN|1TLV|1MLV	1DMSP|2AEFRZ|3MLV|4aVULN|5LWND|68RCR|7RAT|9TLV
2	12423 61224	 * 	305.81	DCR|DCR|2MLV|1VULN|1TLV	1DMSP|2AEFRZ|3aMLV|4VULN|5LWND|68RCR|7RAT|9TLV
3	21121 21363	 * 	302.47	ACR|DCR|2VULN|2DMG|1TLV|1AAC	1AAC|2AETHUN|38VULN|47RCR|5BBNT|68DMG|8BPWR|9DUR|aTLV
4	12423 61226	   	295.27	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1DMSP|2AEFRZ|3MLV|4VULN|5LWND|68RCR|7RAT|9TLV|aCDMG
5	12423 61262	   	294.50	DCR|DCR|2VULN|1MLV|1AAC	1DMSP|2AEFRZ|3MLV|4aVULN|5LWND|68RCR|7RAT|9AAC
6	21121 21313	   	294.16	ACR|DCR|2VULN|2DMG|1TLV|1AAC	1AAC|2AETHUN|38VULN|47RCR|5BBNT|68DMG|8BPWR|9LWND|aTLV
7	21121 21333	   	294.06	ACR|DCR|2VULN|2DMG|1TLV|1AAC	1AAC|2AETHUN|38VULN|47RCR|5BBNT|68DMG|8BPWR|9LEGI|aTLV
8	21121 21355	   	294.06	ACR|DCR|2VULN|2DMG|1TLV|1AAC	1AAC|2AETHUN|38VULN|47RCR|5BBNT|68DMG|8BPWR|9ERES|aTLV
9	12423 61223	   	289.93	DCR|DCR|1VULN|1TLV|1MLV	1DMSP|2AEFRZ|3MLV|4VULN|5LWND|68RCR|7RAT|9TLV|aAART
10	21261 25141	 * 	289.66	DCR|3VULN|3MLV|2CDMG|1AAC	1AAC|2AETHUN|3aCDMG|49aMLV|58aVULN|6MDPS|7RCR|aBPWR
11	12423 61234	   	285.91	DCR|DCR|2VULN|1MLV	1DMSP|2AEFRZ|3MLV|4aVULN|5LWND|68RCR|7RAT|9DUR
12	16366 33311	 * 	285.65	DCR|3VULN|3DMG|1TLV|3DUR	1DMSP|278DMG|3BBNT|478DUR|578VULN|6RMIN|78BPWR|9TLV|aRCR
13	42523 43311	   	285.55	DCR|3VULN|3DMG|1TLV|3DUR	1BBNT|2RMIN|378DUR|4AEPOI|578DMG|678VULN|78BPWR|9TLV|aRCR
14	26233 33426	 * 	285.02	DCR|2VULN|3DMG|1TLV|1MLV|1AAC	1AAC|289DMG|38AEPOI|4TLV|5LWND|68VULN|7RCR|8BPWR|aMLV
15	16433 33431	 * 	283.51	DCR|2VULN|2DMG|1TLV|2ASPD|1MLV	1DMSP|28DMG|38ASPD|4TLV|5LWND|68VULN|7RCR|8BPWR|9MLV|aTBNT
16	16433 33433	   	283.51	DCR|2VULN|2DMG|1TLV|2ASPD|1MLV	1DMSP|28DMG|38ASPD|4TLV|5LWND|68VULN|7RCR|8BPWR|9MLV|aRPLT
17	13533 61234	   	283.49	DCR|DCR|2VULN|1TLV	13DMSP|2BEXP|4TLV|5LWND|68RCR|7RAT|9aVULN
18	16433 33432	   	283.41	DCR|2VULN|2DMG|1TLV|2ASPD|1MLV	1DMSP|28DMG|38ASPD|4TLV|5LWND|68VULN|7RCR|8BPWR|9MLV|aERES
19	13153 61234	   	283.39	DCR|DCR|2VULN|1TLV	1DMSP|2BEXP|3LWND|4TLV|5AEWIND|68RCR|7RAT|9aVULN
20	13233 61234	   	283.39	DCR|DCR|2VULN|1TLV	1DMSP|2BEXP|3AEPOI|4TLV|5LWND|68RCR|7RAT|9aVULN
21	13235 61234	   	283.29	DCR|DCR|2VULN|1TLV	1DMSP|2BEXP|3AEPOI|4TLV|5DUST|68RCR|7RAT|9aVULN
22	12423 61225	   	281.62	DCR|DCR|1VULN|1TLV|1MLV	1DMSP|2AEFRZ|3MLV|4VULN|5LWND|68RCR|7RAT|9TLV|aFEWX
23	12423 61221	   	281.52	DCR|DCR|1VULN|1TLV|1MLV	1DMSP|2AEFRZ|3MLV|4VULN|5LWND|68RCR|7RAT|9TLV|aDUST
24	12425 61223	   	281.52	DCR|DCR|1VULN|1TLV|1MLV	1DMSP|2AEFRZ|3MLV|4VULN|5DUST|68RCR|7RAT|9TLV|aLHND
25	12425 61221	   	281.42	DCR|DCR|1VULN|1TLV|1MLV	1DMSP|2AEFRZ|3MLV|4VULN|5aDUST|68RCR|7RAT|9TLV
26	12425 61222	   	281.42	DCR|DCR|1VULN|1TLV|1MLV|1MSE	1DMSP|2AEFRZ|3MLV|4VULN|5DUST|68RCR|7RAT|9TLV|aMSE
