0	Index      	 *	Score 	Summary	Detail	
1	23532 61311	 * 	286.82	DCR|DCR|2VULN|1MLV|1ASPD	1ASPD|2RPLT|3LIT|4DUST|57VULN|69RCR|8MBVNT|aMLV
2	21113 56512	 * 	278.39	ACR|DCR|1VULN|1TLV|1DMG|1AAC|1ASPD|1CDMG	1ASPD|2LHND|37RCR|4CDMG|5BBNT|6DMG|8AAC|9TLV|aVULN
3	13433 14214	 * 	275.99	DCR|DCR|2DMG|1VULN|1CDMG	1FEWX|2MDPS|3CDMG|45DMG|6TBNT|79RCR|8DUR|aVULN
4	22451 41322	   	274.56	DCR|DCR|1VULN|1DMG|1ASPD|2RAT	1ASPD|2AEBURN|34RAT|5RMIN|68RCR|7DMG|9DUR|aVULN
5	23532 61315	   	274.26	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|2RPLT|3LIT|4DUST|57VULN|69RCR|8MBVNT|aCDMG
6	52333 11364	 * 	272.48	ACR|DCR|2VULN|1MLV|1AAC|1CDMG	1CDMG|2RCVC|3AAC|48RCR|5aVULN|6DUST|7AART|9MLV
7	61232 63143	 * 	270.43	DCR|DCR|1VULN|1TLV|2RAT	1TLV|2LHND|3VULN|4aRAT|5TBNT|69RCR|7DUR|8CGEN
8	24113 56212	   	269.81	ACR|DCR|1VULN|1TLV|1DMG|1ASPD|1CDMG	1ASPD|2DUR|37RCR|4CDMG|5BBNT|6DMG|8ZMB|9TLV|aVULN
9	22532 31355	 * 	268.96	DCR|2MLV|3ASPD|2DMG|1VULN	159ASPD|2AEBURN|39MLV|4DUR|6VULN|79DMG|8TBNT|9BPWR|aRCR
10	23532 61312	   	268.92	DCR|DCR|2VULN|1ASPD	1ASPD|2RPLT|3LIT|4DUST|57VULN|69RCR|8MBVNT|aDUR
11	22414 41333	   	267.84	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2AEBURN|3RAT|4CGEN|5AEFBLL|68RCR|7DMG|9VULN|aAART
12	51631 13411	   	267.69	DCR|DCR|2DMG|1VULN|1CDMG	1CDMG|2LWND|3MDPS|48DMG|5VULN|6BBNT|79RCR|aRCVC
13	51631 13412	   	267.69	DCR|DCR|2DMG|1VULN|1CDMG	1CDMG|2LWND|3MDPS|48DMG|5VULN|6BBNT|79RCR|aTBNT
14	51631 13413	   	267.69	DCR|DCR|2DMG|1VULN|1CDMG	1CDMG|2LWND|3MDPS|48DMG|5VULN|6BBNT|79RCR|aZMB
15	61241 11262	 * 	267.18	DCR|3VULN|1TLV|1MLV|1CDMG	1TLV|2LHND|379VULN|4AART|5CDMG|6RAT|8RCR|aMLV
16	51523 14213	   	266.81	DCR|DCR|1VULN|1DMG|1CDMG	1CDMG|2LWND|3DUR|4DMG|5VULN|6TBNT|79RCR|8LHND|aAART
17	24111 34242	   	266.64	ACR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1ASPD|2DUR|38RCR|4CDMG|5LWND|6RPLT|7TLV|9AAC|aVULN
18	22451 41312	   	266.25	DCR|DCR|1VULN|1DMG|1ASPD|2RAT	1ASPD|2AEBURN|34RAT|5RMIN|68RCR|7DMG|9FEWX|aVULN
19	22451 41333	   	266.25	DCR|DCR|1VULN|1DMG|1ASPD|2RAT	1ASPD|2AEBURN|34RAT|5RMIN|68RCR|7DMG|9VULN|aDMSP
20	22451 41331	   	266.15	DCR|DCR|1VULN|1DMG|1ASPD|2RAT	1ASPD|2AEBURN|34RAT|5RMIN|68RCR|7DMG|9VULN|aERES
21	22451 41332	   	266.15	DCR|DCR|1VULN|1DMG|1ASPD|2RAT	1ASPD|2AEBURN|34RAT|5RMIN|68RCR|7DMG|9VULN|aAEFBLL
22	51523 14212	   	265.44	DCR|DCR|1VULN|1DMG|1CDMG	1CDMG|2LWND|3DUR|4DMG|5VULN|6TBNT|79RCR|8LHND|aRAT
23	21531 65112	 * 	264.29	DCR|DCR|2AAC|1MLV|1ASPD	1ASPD|2LHND|3MLV|48AAC|5LIT|69RCR|7RPLT|aDUR
24	61232 63142	   	263.82	DCR|DCR|1VULN|1TLV	1TLV|2LHND|3VULN|4RAT|5TBNT|69RCR|7DUR|8CGEN|aRMIN
25	61232 63141	   	263.72	DCR|DCR|1VULN|1TLV	1TLV|2LHND|3VULN|4RAT|5TBNT|69RCR|7DUR|8CGEN|aDUST
26	61232 63253	   	263.72	DCR|DCR|1VULN|1TLV	1TLV|2LHND|3VULN|4RAT|5TBNT|6aRCR|7DUR|8BEXP|9BELT
27	21531 65111	   	262.92	DCR|DCR|2AAC|1MLV|1ASPD	1ASPD|2LHND|3MLV|48AAC|5LIT|69RCR|7RPLT|aRAT
28	31113 56512	   	262.14	ACR|DCR|1VULN|1TLV|1DMG|1AAC|1CDMG	1ZMB|2LHND|37RCR|4CDMG|5BBNT|6DMG|8AAC|9TLV|aVULN
29	61232 62343	   	262.03	DCR|DCR|1VULN|1TLV|2RAT	1TLV|2LHND|3VULN|4aRAT|5TBNT|69RCR|7AME|8BEXP
30	21113 56212	   	261.50	ACR|DCR|1VULN|1TLV|1DMG|1ASPD|1CDMG	1ASPD|2LHND|37RCR|4CDMG|5BBNT|6DMG|8ZMB|9TLV|aVULN
31	21113 56412	   	261.50	ACR|DCR|1VULN|1TLV|1DMG|1ASPD|1CDMG	1ASPD|2LHND|37RCR|4CDMG|5BBNT|6DMG|8RMIN|9TLV|aVULN
32	21114 11256	   	261.40	ACR|DCR|1VULN|1TLV|1DMG|1ASPD|1CDMG	1ASPD|2LHND|38RCR|4CDMG|5TLV|6DMSP|7MDPS|9DMG|aVULN
33	26113 56212	   	261.40	ACR|DCR|1VULN|1TLV|1DMG|1ASPD|1CDMG	1ASPD|2BEXP|37RCR|4CDMG|5BBNT|6DMG|8ZMB|9TLV|aVULN
34	21522 31355	   	260.65	DCR|2MLV|3ASPD|2DMG|1VULN	159ASPD|2LHND|39MLV|4AEFRZ|6VULN|79DMG|8TBNT|9BPWR|aRCR
35	22512 31355	   	260.65	DCR|2MLV|3ASPD|2DMG|1VULN	159ASPD|2AEBURN|39MLV|4FEWX|6VULN|79DMG|8TBNT|9BPWR|aRCR
36	23532 61313	   	260.61	DCR|DCR|2VULN|1ASPD	1ASPD|2RPLT|3LIT|4DUST|57VULN|69RCR|8MBVNT|aZMB
37	23532 61316	   	260.61	DCR|DCR|2VULN|1ASPD	1ASPD|2RPLT|3LIT|4DUST|57VULN|69RCR|8MBVNT|aRCVC
38	23532 61317	   	260.61	DCR|DCR|2VULN|1ASPD	1ASPD|2RPLT|3aLIT|4DUST|57VULN|69RCR|8MBVNT
39	23532 61318	   	260.61	DCR|DCR|2VULN|1ASPD	1ASPD|2RPLT|3LIT|4DUST|57VULN|69RCR|8MBVNT|aCGEN
40	23532 61314	   	260.51	DCR|DCR|2VULN|1ASPD	1ASPD|2RPLT|3LIT|4aDUST|57VULN|69RCR|8MBVNT
41	22414 41331	   	259.44	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2AEBURN|3RAT|4CGEN|5AEFBLL|68RCR|7DMG|9VULN|aERES
42	22414 41332	   	259.44	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2AEBURN|3RAT|4CGEN|5AEFBLL|68RCR|7DMG|9VULN|aAEFRZ
43	23414 36311	   	258.74	DCR|DCR|1VULN|1MLV|1ASPD	1ASPD|2RPLT|3CGEN|4LIT|5VULN|6ERES|79RCR|8MBVNT|aMLV
44	51523 14211	   	258.51	DCR|DCR|1VULN|1DMG|1CDMG	1CDMG|2LWND|3DUR|4DMG|5VULN|6TBNT|79RCR|8LHND|aBELT
45	21116 34242	   	258.33	ACR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1ASPD|2LHND|38RCR|4CDMG|5FEWX|6RPLT|7TLV|9AAC|aVULN
46	32451 41322	   	258.31	DCR|DCR|1VULN|1DMG|2RAT	1ZMB|2AEBURN|34RAT|5RMIN|68RCR|7DMG|9DUR|aVULN
47	26111 34242	   	258.23	ACR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1ASPD|2BEXP|38RCR|4CDMG|5LWND|6RPLT|7TLV|9AAC|aVULN
48	21533 33256	 * 	257.62	DCR|2MLV|1VULN|1TLV|1AAC|1ASPD|2RAT	1ASPD|2LHND|3aMLV|4AAC|57RAT|6RCR|8VULN|9TLV
49	13433 14216	   	257.29	DCR|DCR|2DMG|1ASPD|1CDMG	1FEWX|2MDPS|3CDMG|45DMG|6TBNT|79RCR|8DUR|aASPD
