0	Index      	 *	Score 	Summary	Detail	
1	61363 43231	 * 	301.88	DCR|5VULN|3MLV|1CDMG	12468VULN|3RCVC|568MLV|68BPWR|78LHND|9RCR|aCDMG
2	21343 25331	 * 	290.34	DCR|DCR|3VULN|1DMG	1LHND|27aVULN|3BELT|4DMG|5FEWX|68RCR|9DUR
3	21344 25331	   	290.34	DCR|DCR|3VULN|1DMG	1LHND|27aVULN|3BELT|4DMG|5LWND|68RCR|9DUR
4	31343 25331	   	290.34	DCR|DCR|3VULN|1DMG	1LWND|27aVULN|3BELT|4DMG|5FEWX|68RCR|9DUR
5	31344 25331	   	290.34	DCR|DCR|3VULN|1DMG	1LWND|27aVULN|3BELT|4DMG|5LHND|68RCR|9DUR
6	61363 43233	   	288.23	DCR|5VULN|3MLV	12468VULN|3RCVC|568MLV|68BPWR|78LHND|9RCR|aLIT
7	61363 43232	   	288.13	DCR|5VULN|3MLV	12468VULN|3RCVC|568MLV|68BPWR|78LHND|9RCR|aDUST
8	51343 25333	 * 	285.69	DCR|DCR|2VULN|2DMG	1BEXP|27VULN|3BELT|4aDMG|5FEWX|68RCR|9AART
9	51343 25332	   	284.35	DCR|DCR|2VULN|1DMG|1ASPD	1BEXP|27VULN|3BELT|4DMG|5FEWX|68RCR|9AART|aASPD
10	61223 63316	 * 	280.40	DCR|3VULN|1TLV|1MLV|1AAC|1CDMG	123VULN|3BPWR|4TLV|5CDMG|6DUR|7RCR|8AAC|9RAT|aMLV
11	21334 25336	 * 	280.13	DCR|DCR|2VULN|1TLV	1LHND|27VULN|3BELT|4NUKE|5LWND|68RCR|9DUR|aTLV
12	31334 25336	   	280.13	DCR|DCR|2VULN|1TLV	1LWND|27VULN|3BELT|4NUKE|5LHND|68RCR|9DUR|aTLV
13	61223 63363	 * 	279.11	DCR|3VULN|2TLV|1DMG|1AAC|1CDMG	123VULN|3BPWR|49TLV|5CDMG|6DUR|7RCR|8AAC|aDMG
14	21343 25333	   	277.86	DCR|DCR|2VULN|1DMG	1LHND|27VULN|3BELT|4DMG|5FEWX|68RCR|9DUR|aNUKE
15	21344 25333	   	277.86	DCR|DCR|2VULN|1DMG	1LHND|27VULN|3BELT|4DMG|5LWND|68RCR|9DUR|aNUKE
16	31343 25333	   	277.86	DCR|DCR|2VULN|1DMG	1LWND|27VULN|3BELT|4DMG|5FEWX|68RCR|9DUR|aNUKE
17	31344 25333	   	277.86	DCR|DCR|2VULN|1DMG	1LWND|27VULN|3BELT|4DMG|5LHND|68RCR|9DUR|aNUKE
18	61221 12265	 * 	277.22	DCR|4VULN|2TLV|2DMG	1238VULN|38BPWR|48TLV|5FEWX|69DMG|78LHND|aRCR
19	21343 25334	   	276.51	DCR|DCR|2VULN|1DMG	1LHND|27VULN|3BELT|4DMG|5FEWX|68RCR|9DUR|aAART
20	31343 25334	   	276.51	DCR|DCR|2VULN|1DMG	1LWND|27VULN|3BELT|4DMG|5FEWX|68RCR|9DUR|aAART
21	51343 25331	   	276.41	DCR|DCR|2VULN|1DMG	1BEXP|27VULN|3BELT|4DMG|5FEWX|68RCR|9AART|aDUR
22	21343 25335	   	275.14	DCR|DCR|2VULN|1DMG	1LHND|27VULN|3BELT|4DMG|5FEWX|68RCR|9DUR|aRAT
23	21343 25351	   	275.14	DCR|DCR|2VULN|1DMG	1LHND|27VULN|3BELT|4DMG|5FEWX|68RCR|9RAT|aDUR
24	31343 25335	   	275.14	DCR|DCR|2VULN|1DMG	1LWND|27VULN|3BELT|4DMG|5FEWX|68RCR|9DUR|aRAT
25	31343 25351	   	275.14	DCR|DCR|2VULN|1DMG	1LWND|27VULN|3BELT|4DMG|5FEWX|68RCR|9RAT|aDUR
26	61363 41313	   	274.50	DCR|4VULN|2MLV|1DMG	1246VULN|3RCVC|56MLV|6BPWR|7ERES|8DMG|9RAT|aRCR
27	61223 23256	   	272.10	DCR|3VULN|1TLV|1MLV|1AAC|1CDMG	123VULN|3BPWR|4TLV|5CDMG|6FEWX|7RCR|8RAT|9AAC|aMLV
28	61223 23316	   	272.10	DCR|3VULN|1TLV|1MLV|1AAC|1CDMG	123VULN|3BPWR|4TLV|5CDMG|6FEWX|7RCR|8AAC|9RAT|aMLV
