0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23323 66411	9	 * 	291.14	橙4易伤3伤害1时间1暴击	189基地爆炸2689易伤3敌人爆炸4暴击589伤害7核89序列升级a时间
2	16222 33334	1	 * 	289.06	橙3易伤3伤害2时间3雷电1卖塔	128雷电38a易伤4基地爆炸5a时间68a伤害7卖塔8a序列升级9核
3	16262 33334	1	 * 	289.06	橙3易伤3伤害2时间3雷电1卖塔	128雷电38a易伤4敌人爆炸5a时间68a伤害7卖塔8a序列升级9核
4	16223 53334	1	 * 	286.63	橙3易伤3时间2伤害3雷电1卖塔	128雷电38a易伤4基地爆炸5a伤害68a时间7卖塔8a序列升级9核
5	16136 22353	7	 * 	282.09	橙3易伤2伤害2时间2雷电1暴击	18雷电2双倍矿38伤害4暴击59时间6核78a易伤8序列升级
6	23323 66214	9	 * 	281.21	橙4易伤3伤害2暴击	19a基地爆炸269a易伤3敌人爆炸48暴击59a伤害7核9a序列升级
7	64122 26113	7	 * 	275.00	橙4易伤2攻速1等级1时间1暴击	16攻速2456易伤3双倍矿6序列升级7等级8暴击9核a时间
8	66122 26113	7	   	275.00	橙4易伤2攻速1等级1时间1暴击	16攻速2双倍矿3456易伤6序列升级7等级8暴击9核a时间
9	23323 66412	10	   	274.89	橙4易伤3伤害1暴击	189基地爆炸2689易伤3敌人爆炸4暴击589伤害7核89序列升级a平台
10	23323 66413	10	   	274.89	橙4易伤3伤害1暴击	189基地爆炸2689易伤3敌人爆炸4暴击589伤害7核89序列升级a低血量敌人
11	23323 66413	9	   	274.89	橙4易伤3伤害1暴击	189基地爆炸2689易伤3敌人爆炸4暴击589伤害7核89序列升级a矿等
12	23323 63514	10	   	274.79	橙4易伤3伤害1暴击	189基地爆炸2689易伤3敌人爆炸4暴击589伤害7加一89序列升级a核
13	23323 66411	10	   	274.79	橙4易伤3伤害1暴击	189基地爆炸2689易伤3敌人爆炸4暴击589伤害7核89序列升级a挖尘
14	23323 66412	9	   	274.79	橙4易伤3伤害1暴击	189基地爆炸2689易伤3敌人爆炸4暴击589伤害7核89序列升级a赏金邻近
15	13123 35536	1	 * 	271.99	橙4易伤2时间3雷电1暴击	178雷电27时间3567易伤4赏金塔7序列升级9核a暴击
16	13122 35363	1	 * 	271.76	橙4易伤3时间3雷电	17a雷电257时间367a易伤4赏金塔7a序列升级8a最后敌人9核
17	33213 64342	5	 * 	271.70	橙5易伤2攻速1暴击1全技能	1低血量敌人2469a易伤36攻速5全技能6序列升级7暴击8核
18	13122 35163	1	   	271.56	橙4易伤3时间3雷电	17a雷电257时间367a易伤4赏金塔7a序列升级8a挖尘9核
19	13123 35532	1	   	271.56	橙4易伤3时间3雷电	178雷电27a时间3567易伤4赏金塔7序列升级9核
20	23323 66431	9	   	270.04	橙4易伤2伤害1暴击1攻速	18基地爆炸268a易伤3敌人爆炸4暴击58伤害7核8序列升级9攻速
21	16236 42131	1	   	269.58	橙4易伤2时间1等级2雷电	12雷电359a易伤45时间5序列升级6等级7敌人爆炸8核
22	16236 31131	1	   	269.48	橙4易伤2时间1等级2雷电	12雷电359a易伤45时间5序列升级6挖尘7等级8核
23	11136 63333	2	   	269.44	橙4易伤2时间3雷电1攻速	158雷电2挖青3568易伤4立即金币58序列升级78时间9核a攻速
24	11236 63333	3	   	269.44	橙4易伤2时间3雷电1攻速	158雷电2挖青3568易伤4立即金币58序列升级78时间9核a攻速
25	14312 32256	10	 * 	269.19	紫4易伤3时间3雷电2等级1全技能	19a雷电2a等级3核459时间679a易伤8全技能9a序列升级
26	23321 36411	9	   	268.50	橙3易伤3伤害1时间1暴击	189基地爆炸289易伤3敌人爆炸4暴击5双倍矿689伤害7核89序列升级a时间
27	23321 36415	9	   	268.50	橙3易伤3伤害1等级1暴击	189基地爆炸289易伤3敌人爆炸4暴击5双倍矿689伤害7核89序列升级a等级
28	23323 16411	9	   	268.50	橙3易伤3伤害1时间1暴击	189基地爆炸289易伤3敌人爆炸4暴击589伤害6双倍矿7核89序列升级a时间
29	23323 16415	9	   	268.50	橙3易伤3伤害1等级1暴击	189基地爆炸289易伤3敌人爆炸4暴击589伤害6双倍矿7核89序列升级a等级
30	33413 41131	2	   	267.88	橙5易伤1时间1等级	1低血量敌人2359a易伤4时间6雷电7等级8核
31	33433 41131	1	   	267.88	橙5易伤1时间1等级	1低血量敌人2时间3459a易伤6雷电7等级8核
32	34433 41131	2	   	267.88	橙5易伤1时间1等级	1低血量敌人2时间3459a易伤6雷电7等级8核
33	16136 22321	7	   	267.51	橙3易伤2伤害1时间2雷电1暴击	18雷电2双倍矿38伤害4暴击5时间6核78a易伤8序列升级9金币生成
