0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21151 26215	7	 * 	312.76	橙4易伤3时间2伤害1等级	1加一2459易伤349时间49序列升级6全技能7核89伤害a等级
2	21151 26217	7	 * 	304.90	橙5易伤3时间2伤害	1加一2459a易伤349时间49序列升级6全技能7核89伤害
3	21111 26215	7	   	291.61	橙3易伤3时间2伤害1等级	1加一259易伤349时间6全技能7核89伤害9序列升级a等级
4	21338 71311	4	   	291.57	橙5易伤2伤害2时间	1加一2459a易伤3全技能49序列升级69伤害7核89时间
5	21348 71311	4	   	291.57	橙5易伤2伤害2时间	1加一2459a易伤3全技能69伤害7核89时间9序列升级
6	21388 71311	3	   	291.57	橙5易伤2伤害2时间	1加一2459a易伤3全技能69伤害7核89时间9序列升级
7	21377 24325	3	 * 	286.88	橙3易伤3伤害1等级3攻速	1加一289易伤3全技能4掉矿589伤害6核789攻速89序列升级a等级
8	21151 26212	7	   	286.56	橙4易伤3时间2伤害	1加一2459易伤349时间49序列升级6全技能7核89伤害a低血量敌人
9	21151 26213	7	   	286.56	橙4易伤3时间2伤害	1加一2459易伤349时间49序列升级6全技能7核89伤害a敌人爆炸
10	21151 26214	7	   	286.56	橙4易伤3时间2伤害	1加一2459易伤349时间49序列升级6全技能7核89伤害a平台
11	21151 26218	7	   	286.56	橙4易伤3时间2伤害	1加一2459易伤349时间49序列升级6全技能7核89伤害a最后敌人
12	21111 26217	7	   	286.46	橙4易伤3时间2伤害	1加一259a易伤349时间6全技能7核89伤害9序列升级
13	21151 26211	7	   	286.46	橙4易伤3时间2伤害	1加一2459易伤349时间49序列升级6全技能7核89伤害a掉矿
14	28272 23111	10	 * 	284.38	橙3易伤3伤害2时间1等级	1加一27时间379伤害467易伤5额外掉落7序列升级8核a等级
15	28272 23118	9	   	284.38	橙3易伤3伤害2时间1等级	1加一27时间379伤害467易伤5额外掉落7序列升级8核a等级
16	23836 43111	10	   	284.38	橙3易伤3伤害2时间1等级	1加一2额外掉落37时间457易伤679伤害7序列升级8核a等级
17	23836 43118	9	   	284.38	橙3易伤3伤害2时间1等级	1加一2额外掉落37时间457易伤679伤害7序列升级8核a等级
