0	Index      	 *	Score 	Summary	Detail	
1	31633 41136	 * 	353.74	DCR|3VULN|2CDMG|2DUR|1TLV	1RPLT|27DUR|3AAC|4TLV|579VULN|67CDMG|7BPWR|8TBNT|aRCR
2	26221 12441	 * 	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1AME|27VULN|3BBNT|4DUR|5RMIN|6DMG|8RCR|9DUST|aMDPS
3	26221 12451	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1AME|27VULN|3BBNT|4DUR|5RMIN|6DMG|8RCR|9LEGI|aMDPS
4	26431 11121	   	350.76	DCR|2VULN|1MDPS|1DMG|1DUR|1SELL|1MSE	1AME|28VULN|3DUR|4DMG|5SELL|6BBNT|7RCR|9MSE|aMDPS
5	31633 41211	 * 	350.59	5VULN|3CDMG|3DUR|1TLV	1RPLT|27aDUR|3AAC|4TLV|5789aVULN|67aCDMG|7aBPWR
6	31153 13236	 * 	350.43	DCR|DCR|2VULN|2DUR|1TLV	1RPLT|23DUR|3BPWR|4TLV|5MSLFST|67VULN|8MBVNT|9aRCR
7	26413 31216	 * 	347.68	5VULN|1MDPS|1DUR	17AME|25789VULN|3DUR|4BEXP|67LWND|7BPWR|aMDPS
8	31425 42132	 * 	347.58	ACR|3VULN|1MDPS|2DUR	13RPLT|29DUR|4RCR|59RAT|6BBNT|789VULN|9BPWR|aMDPS
9	31453 13236	   	337.98	DCR|DCR|2VULN|1TLV|1DUR	13RPLT|2DUR|4TLV|5MSLFST|67VULN|8MBVNT|9aRCR
10	31135 44221	 * 	336.20	DCR|1MDPS|1VULN|2DUR|1TLV|1DMG	1RPLT|23DUR|3BPWR|4DMG|5TLV|6AEWIND|7RCR|8VULN|9ZMB|aMDPS
11	55235 21212	   	334.79	ACR|3VULN|1MDPS|1DUR|1SELL	14LHND|2DUR|3LIT|5RCR|689VULN|7SELL|aMDPS
12	55335 21212	   	334.79	ACR|3VULN|1MDPS|1DUR|1SELL	14LHND|2DUR|3BOSS|5RCR|689VULN|7SELL|aMDPS
13	55215 21212	   	334.69	ACR|3VULN|1MDPS|1DUR|1SELL	1LHND|2DUR|3LIT|4AEPOI|5RCR|689VULN|7SELL|aMDPS
14	55315 21212	   	334.69	ACR|3VULN|1MDPS|1DUR|1SELL	1LHND|2DUR|3BOSS|4AEPOI|5RCR|689VULN|7SELL|aMDPS
15	65215 21212	   	334.69	ACR|3VULN|1MDPS|1DUR|1SELL	1BEXP|2DUR|3LIT|4AEPOI|5RCR|689VULN|7SELL|aMDPS
16	65315 21212	   	334.69	ACR|3VULN|1MDPS|1DUR|1SELL	1BEXP|2DUR|3BOSS|4AEPOI|5RCR|689VULN|7SELL|aMDPS
17	26133 53214	   	334.11	4VULN|1MDPS|1DMG|1DUR	1AME|2789VULN|3LHND|4DMG|5LIT|6DUR|aMDPS
18	26333 53214	   	334.11	4VULN|1MDPS|1DMG|1DUR	1AME|2789VULN|3FEWX|4DMG|5LIT|6DUR|aMDPS
19	26421 23214	   	334.01	4VULN|1MDPS|1DMG|1DUR	1AME|2789VULN|3DUR|4AETHUN|5DMG|6LIT|aMDPS
20	31151 13226	 * 	333.64	DCR|2MDPS|2DUR|1TLV	1RPLT|23DUR|3BPWR|4TLV|5FEWX|6RCR|7BOSS|8aMDPS|9RMIN
21	31151 13256	   	333.64	DCR|2MDPS|2DUR|1TLV	1RPLT|23DUR|3BPWR|4TLV|5FEWX|6RCR|7BOSS|8aMDPS|9AME
22	31156 13226	   	333.54	DCR|2MDPS|2DUR|1TLV	1RPLT|23DUR|3BPWR|4TLV|5LEGI|6RCR|7BOSS|8aMDPS|9RMIN
23	31253 35521	   	331.24	DCR|2VULN|1MDPS|1DUR	1RPLT|2DUR|349FEWX|58VULN|6RCR|7LIT|aMDPS
24	32426 16212	   	331.14	DCR|2VULN|1MDPS|1DUR	1RPLT|2ERES|3CGEN|4DUR|59VULN|6RMIN|7BELT|8RCR|aMDPS
25	46126 32222	   	331.14	DCR|2VULN|1MDPS|1DUR	1RAT|236DMSP|4DUR|5BBNT|78VULN|9RCR|aMDPS
26	31342 24241	   	331.04	DCR|2VULN|1MDPS|1DUR	1RPLT|2DUR|3BBNT|4MLV|57VULN|6AME|8RCVC|9RCR|aMDPS
27	32422 54212	   	331.04	DCR|2VULN|1MDPS|1DUR	1RPLT|2ERES|3CGEN|4DUR|5BELT|6AME|79VULN|8RCR|aMDPS
28	31422 22561	 * 	331.00	ACR|2VULN|1MDPS|1CDMG|2DUR	13aRPLT|25DUR|4RCR|6CDMG|78VULN|9MDPS
29	31422 22562	   	331.00	ACR|2VULN|1MDPS|1CDMG|2DUR	13RPLT|25DUR|4RCR|6CDMG|78VULN|9MDPS|aLWND
30	31422 22563	   	331.00	ACR|2VULN|1MDPS|1CDMG|2DUR	13RPLT|25DUR|4RCR|6CDMG|78VULN|9MDPS|aDUST
31	21262 13441	   	330.94	DCR|2VULN|1MDPS|1DUR	1AME|2RMIN|34VULN|5ZMB|6DUR|7BBNT|8RCR|9DUST|aMDPS
32	21262 13451	   	330.94	DCR|2VULN|1MDPS|1DUR	1AME|2RMIN|34VULN|5ZMB|6DUR|7BBNT|8RCR|9LEGI|aMDPS
33	26251 22541	   	330.94	DCR|2VULN|1MDPS|1DUR	1AME|27VULN|3BBNT|4MBVNT|5RMIN|6MLV|8RCR|9DUR|aMDPS
34	26424 13122	   	330.80	ACR|2VULN|1MDPS|1CDMG|2DUR|1SELL	1AME|26VULN|36DUR|4AETHUN|5RCR|6BPWR|7CDMG|8SELL|9LIT|aMDPS
35	26541 11121	   	330.60	DCR|2VULN|1MDPS|1DUR|1SELL|1MSE	1AME|28VULN|3ASPD|4DUR|5SELL|6BBNT|7RCR|9MSE|aMDPS
36	26222 42131	 * 	328.44	3VULN|1MDPS|3DMG|1DUR	178AME|278VULN|3BBNT|4DUR|59RAT|678DMG|78BPWR|aMDPS
37	31633 41214	   	326.49	5VULN|2CDMG|2DUR|1TLV	1RPLT|27DUR|3AAC|4TLV|5789aVULN|67CDMG|7BPWR
38	31113 13236	   	324.23	DCR|DCR|2VULN|2DUR	1RPLT|23DUR|3BPWR|4CGEN|5MSLFST|67VULN|8MBVNT|9aRCR
39	31233 66361	   	323.84	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1RPLT|2DUR|3FEWX|4RAT|5VULN|6BEXP|7RCR|8TLV|9DMG|aMDPS
