0	Index      	 *	Score 	Summary	Detail	
1	26336 22143	 * 	385.41	DCR|2MDPS|1VULN|1CDMG|1DUR	1VULN|2CDMG|3BBNT|4BEXP|5LIT|6TBNT|7DUR|8RCR|9aMDPS
2	26234 23212	 * 	384.85	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	15VULN|2CDMG|3LSRHEA|45MLV|5BPWR|6TLV|7ZMB|8DUR|9RCR|aMDPS
3	26221 43212	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	16VULN|2CDMG|3LSRHEA|4ERES|5TLV|7ZMB|8DUR|9RCR|aMDPS
4	26224 23212	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	15VULN|2CDMG|3LSRHEA|45ERES|5BPWR|6TLV|7ZMB|8DUR|9RCR|aMDPS
5	26221 31212	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	17VULN|2CDMG|3LSRHEA|4ERES|5TLV|6ZMB|8DUR|9RCR|aMDPS
6	21236 41431	 * 	371.10	DCR|2VULN|1MDPS|1CDMG|2DUR	16VULN|2LWND|3AEBURN|46DUR|5RPLT|6BPWR|7CDMG|8RCR|9BELT|aMDPS
7	26126 31215	 * 	371.00	DCR|2VULN|1MDPS|2CDMG|1DUR	17VULN|26CDMG|3AETHUN|4FLTARM|5AAC|8DUR|9RCR|aMDPS
8	26116 31215	   	370.90	DCR|2VULN|1MDPS|2CDMG|1DUR	17VULN|26CDMG|3AETHUN|4MSLFST|5AAC|8DUR|9RCR|aMDPS
9	26143 31212	   	370.90	DCR|2VULN|1MDPS|2CDMG|1DUR	17VULN|26CDMG|3AETHUN|4ZMB|5CANARM|8DUR|9RCR|aMDPS
10	26146 31212	   	370.90	DCR|2VULN|1MDPS|2CDMG|1DUR	17VULN|26CDMG|3AETHUN|4ZMB|5AIRHEA|8DUR|9RCR|aMDPS
11	26234 43212	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	15VULN|2CDMG|3LSRHEA|45MLV|5BPWR|6ERES|7ZMB|8DUR|9RCR|aMDPS
12	26223 31215	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	17VULN|2CDMG|3LSRHEA|4ERES|5CGEN|6AAC|8DUR|9RCR|aMDPS
13	26223 61212	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	17VULN|2CDMG|3LSRHEA|4ERES|5CGEN|6ZMB|8DUR|9RCR|aMDPS
14	26522 22732	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	19VULN|2CDMG|3AEFRZ|4MBVNT|5BOSS|6DUR|7LIT|8RCR|aMDPS
15	26143 41212	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	17VULN|2CDMG|3AETHUN|4ZMB|5CANARM|6AEFRZ|8DUR|9RCR|aMDPS
16	26234 22316	 * 	358.28	DCR|3VULN|2TLV|2CDMG|1DUR	158VULN|28CDMG|3LSRHEA|45MLV|58BPWR|68TLV|7BELT|9RCR|aDUR
17	22114 62243	   	358.21	DCR|2MDPS|1VULN|1DUR	1VULN|2RAT|3BEXP|4LWND|5BOSS|6FEWX|7DUR|8RCR|9aMDPS
18	31264 22243	   	358.21	DCR|2MDPS|1VULN|1DUR	1RAT|2BEXP|3LWND|4LHND|5BOSS|6VULN|7DUR|8RCR|9aMDPS
19	23143 42213	 * 	358.11	DCR|DCR|1MDPS|1VULN|1DUR	1VULN|2RPLT|3AME|4CGEN|5BELT|67RCR|8FEWX|9DUR|aMDPS
20	31242 22243	   	358.11	DCR|2MDPS|1VULN|1DUR	1RAT|2BEXP|3LWND|4LIT|5AETHUN|6VULN|7DUR|8RCR|9aMDPS
21	34142 22243	   	358.11	DCR|2MDPS|1VULN|1DUR	1RAT|2LWND|3BEXP|4LIT|5AETHUN|6VULN|7DUR|8RCR|9aMDPS
22	26221 42316	   	358.08	DCR|3VULN|2TLV|2CDMG|1DUR	168VULN|28CDMG|3LSRHEA|4ERES|58TLV|7BELT|8BPWR|9RCR|aDUR
23	26224 22316	   	358.08	DCR|3VULN|2TLV|2CDMG|1DUR	158VULN|28CDMG|3LSRHEA|45ERES|58BPWR|68TLV|7BELT|9RCR|aDUR
24	22442 13243	   	357.91	DCR|2MDPS|1VULN|1DUR	1VULN|2RAT|3DUR|4LIT|57AEPOI|6TBNT|8RCR|9aMDPS
