0	Index      	 *	Score 	Summary	Detail	
1	36223 62313	 * 	395.09	DCR|3VULN|1MDPS|1DMG|1DUR	147VULN|2BEXP|3BOSS|5FLTARM|6DUR|8DMG|9RCR|aMDPS
2	23343 14343	   	387.38	DCR|3VULN|1MDPS|2DUR	17ASPD|2LHND|37DUR|4LIT|5CANSTR|679VULN|7BPWR|8RCR|aMDPS
3	13311 53251	 * 	381.25	DCR|2VULN|1MDPS|2DMG|2DUR|1MSE	1RPLT|27DUR|37DMG|47VULN|5BBNT|6RCR|7BPWR|8MSE|9MDPS|aDUST
4	13311 53252	 * 	381.25	DCR|2VULN|1MDPS|3DUR|2DMG|1MSE	1RPLT|27aDUR|37DMG|47VULN|5BBNT|6RCR|7BPWR|8MSE|9MDPS
5	13311 53253	 * 	381.25	DCR|2VULN|1MDPS|3DMG|2DUR|1MSE	1RPLT|27DUR|37aDMG|47VULN|5BBNT|6RCR|7BPWR|8MSE|9MDPS
6	13311 53254	 * 	381.25	DCR|2VULN|1MDPS|2DMG|2DUR|1AART|1MSE	1RPLT|27DUR|37DMG|47VULN|5BBNT|6RCR|7BPWR|8MSE|9MDPS|aAART
7	13311 53255	 * 	381.25	DCR|2VULN|1MDPS|2DMG|2DUR|1MSE	1RPLT|27DUR|37DMG|47VULN|5BBNT|6RCR|7BPWR|8MSE|9MDPS|aFEWX
8	13311 53256	 * 	381.25	DCR|3VULN|1MDPS|2DMG|2DUR|1MSE	1RPLT|27DUR|37DMG|47aVULN|5BBNT|6RCR|7BPWR|8MSE|9MDPS
9	13311 53651	 * 	381.25	DCR|2VULN|1MDPS|2DMG|2DUR	1RPLT|27DUR|37DMG|47VULN|5BBNT|6RCR|7BPWR|8AETHUN|9MDPS|aDUST
10	13311 53652	 * 	381.25	DCR|2VULN|1MDPS|3DUR|2DMG	1RPLT|27aDUR|37DMG|47VULN|5BBNT|6RCR|7BPWR|8AETHUN|9MDPS
11	13311 53653	 * 	381.25	DCR|2VULN|1MDPS|3DMG|2DUR	1RPLT|27DUR|37aDMG|47VULN|5BBNT|6RCR|7BPWR|8AETHUN|9MDPS
12	13316 53251	   	381.25	DCR|2VULN|1MDPS|2DMG|2DUR|1MSE	1RPLT|27DUR|37DMG|47VULN|5TBNT|6RCR|7BPWR|8MSE|9MDPS|aDUST
13	13316 53252	   	381.25	DCR|2VULN|1MDPS|3DUR|2DMG|1MSE	1RPLT|27aDUR|37DMG|47VULN|5TBNT|6RCR|7BPWR|8MSE|9MDPS
14	13316 53253	   	381.25	DCR|2VULN|1MDPS|3DMG|2DUR|1MSE	1RPLT|27DUR|37aDMG|47VULN|5TBNT|6RCR|7BPWR|8MSE|9MDPS
15	36223 25261	   	375.03	DCR|3VULN|1MDPS|1DUR	148VULN|2BEXP|3BOSS|5FLTARM|6RCR|7FEWX|9DUR|aMDPS
16	34213 41513	   	374.93	DCR|3VULN|1MDPS|1DUR	148VULN|2TSLARM|3DUR|5CGEN|6BOSS|7LWND|9RCR|aMDPS
17	36113 14513	   	374.93	DCR|3VULN|1MDPS|1DUR	146VULN|2BEXP|3SPLJET|5CGEN|7DUR|8LIT|9RCR|aMDPS
18	34313 14513	   	374.83	DCR|3VULN|1MDPS|1DUR	146VULN|2TSLARM|3DUST|5AAC|7DUR|8LIT|9RCR|aMDPS
19	35133 11513	   	374.83	DCR|3VULN|1MDPS|1DUR	168VULN|2ERES|3BOSS|4DUR|5SPLJET|7LWND|9RCR|aMDPS
20	36111 14513	   	374.83	DCR|3VULN|1MDPS|1DUR	146VULN|2BEXP|3SPLJET|5AME|7DUR|8LIT|9RCR|aMDPS
21	32343 11343	   	374.83	DCR|3VULN|1MDPS|1DUR	169VULN|2ASPD|3DUR|4LIT|5VENFST|7LWND|8RCR|aMDPS
22	34233 11513	   	374.83	DCR|3VULN|1MDPS|1DUR	168VULN|2TSLARM|3DUR|4BOSS|5ERES|7LWND|9RCR|aMDPS
23	35343 11513	   	374.83	DCR|3VULN|1MDPS|1DUR	168VULN|2ERES|3DUR|4LIT|5SPLJET|7LWND|9RCR|aMDPS
24	34311 14513	   	374.73	DCR|3VULN|1MDPS|1DUR	146VULN|2TSLARM|3DUST|5AME|7DUR|8LIT|9RCR|aMDPS
25	31363 12214	 * 	371.78	ACR|2MDPS|2VULN|1DUR	17VULN|2RMIN|3DUR|4RCR|5BELT|6AAC|8BBNT|9aMDPS
26	31363 52214	   	371.68	ACR|2MDPS|2VULN|1DUR	17VULN|2RMIN|3DUR|4RCR|5BELT|6ASPD|8BBNT|9aMDPS
27	34214 22513	   	369.80	DCR|2VULN|1MDPS|2DUR|1TLV	14VULN|25TSLARM|35DUR|5BPWR|6BEXP|7TLV|8LIT|9RCR|aMDPS
