0	Index      	 *	Score 	Summary	Detail	
1	43212 23126	 * 	402.29	ACR|3VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	1DUR|2RCR|379VULN|4LWND|5AART|6CDMG|8TLV|aMDPS
2	41223 43126	 * 	398.30	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	1DUR|2ASPD|3CDMG|49VULN|5TLV|6AART|7ERES|8RCR|aMDPS
3	41524 23211	 * 	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2ASPD|346VULN|5AART|7ZMB|8RCR|9ERES|aMDPS
4	43243 63212	 * 	384.99	ACR|3VULN|1MDPS|2DMG|2DUR|1SELL	19DUR|2RCR|357VULN|45DMG|5BPWR|6RCVC|8SELL|aMDPS
5	42112 43126	   	384.55	DCR|2VULN|1MDPS|1CDMG|2DUR|1AART	12DUR|39VULN|4CDMG|5DUST|6AART|7ERES|8RCR|aMDPS
6	43211 26413	 * 	384.33	ACR|DCR|2VULN|1MDPS|2DUR	16DUR|27RCR|39VULN|4LWND|58LIT|aMDPS
7	43211 26513	   	384.33	ACR|DCR|2VULN|1MDPS|2DUR	16DUR|27RCR|39VULN|4LWND|5LIT|8DMSP|aMDPS
8	43211 26213	   	384.23	ACR|DCR|2VULN|1MDPS|2DUR	16DUR|27RCR|39VULN|4LWND|5LIT|8AEFBLL|aMDPS
9	43116 23333	 * 	384.17	ACR|DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV	15DUR|29RCR|3RPLT|4VULN|6CDMG|7AEFRZ|8TLV|aMDPS
10	52421 61111	 * 	384.12	DCR|2MDPS|1VULN|1TLV|1DUR	1LHND|2DUR|3TLV|4VULN|5DUST|6RCR|7aMDPS|8RPLT|9ERES
11	32422 61111	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR	1DUST|2DUR|3TLV|4VULN|5AETHUN|6RCR|7aMDPS|8RPLT|9ERES
12	32422 61251	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR	1DUST|2DUR|3TLV|4VULN|5AETHUN|6RCR|79MDPS|8LEGI|aAAC
13	32422 61252	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR|1MSE	1DUST|2DUR|3TLV|4VULN|5AETHUN|6RCR|79MDPS|8LEGI|aMSE
14	32422 61253	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR	1DUST|2DUR|3TLV|4VULN|5AETHUN|6RCR|79MDPS|8LEGI|aERES
15	32422 61351	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR	1DUST|2DUR|3TLV|4VULN|5AETHUN|6RCR|79MDPS|8LHND|aAAC
16	32422 61352	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR|1MSE	1DUST|2DUR|3TLV|4VULN|5AETHUN|6RCR|79MDPS|8LHND|aMSE
17	32422 61353	   	384.02	DCR|2MDPS|1VULN|1TLV|1DUR	1DUST|2DUR|3TLV|4VULN|5AETHUN|6RCR|79MDPS|8LHND|aERES
18	43532 12521	   	381.20	ACR|3VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2RCR|3LWND|4DMG|5TLV|678VULN|9MDPS|aERES
19	43532 12522	   	381.20	ACR|3VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2RCR|3LWND|4DMG|5TLV|678VULN|9MDPS|aBEXP
20	43532 12523	   	381.20	ACR|3VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2RCR|3aLWND|4DMG|5TLV|678VULN|9MDPS
21	43342 12521	   	381.10	ACR|3VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2RCR|3DUST|4DMG|5TLV|678VULN|9MDPS|aERES
22	43342 12522	   	381.10	ACR|3VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2RCR|3DUST|4DMG|5TLV|678VULN|9MDPS|aBEXP
23	43342 12523	   	381.10	ACR|3VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2RCR|3DUST|4DMG|5TLV|678VULN|9MDPS|aLWND
24	42141 43211	   	377.31	DCR|2VULN|1MDPS|2DUR|1DMG|1AART	12DUR|37VULN|4AART|5ZMB|6DMG|8RCR|9ERES|aMDPS
25	43212 23316	   	376.08	ACR|3VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2RCR|378VULN|4LWND|5AART|6CDMG|9CGEN|aMDPS
26	43212 23331	   	375.98	ACR|3VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1DUR|2RCR|378VULN|4LWND|5AART|6CDMG|9MDPS|aDMG
27	43212 23332	   	375.98	ACR|3VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2RCR|378VULN|4LWND|5AART|6CDMG|9MDPS|aERES
28	43212 23333	   	375.98	ACR|3VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2RCR|378VULN|4LWND|5AART|6CDMG|9MDPS|aBBNT
29	43212 23334	   	375.98	ACR|3VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2RCR|378VULN|4LWND|5AART|6CDMG|9MDPS|aDUST
30	43212 23335	   	375.98	ACR|3VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2RCR|378VULN|4LWND|5AART|6CDMG|9MDPS|aBELT
31	43212 23336	   	375.98	ACR|3VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2RCR|378VULN|4LWND|5AART|6CDMG|9MDPS|aAAC
32	43232 16116	 * 	374.86	ACR|2MDPS|1VULN|2TLV|1DMG|1DUR|1AART	1DUR|2RCR|3VULN|45TLV|6LIT|7AART|8aMDPS|9DMG
33	43232 16336	   	374.86	ACR|2MDPS|1VULN|2TLV|1DUR|1AART	1DUR|2RCR|3VULN|45TLV|6LIT|7AART|8ASPD|9aMDPS
34	43243 22521	 * 	372.68	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6CGEN|7LWND|9MDPS|aERES
35	43243 22522	   	372.68	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6CGEN|7LWND|9MDPS|aBEXP
36	43243 22523	   	372.68	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6CGEN|7aLWND|9MDPS
37	43243 43332	   	372.68	ACR|3VULN|1MDPS|2DMG|1DUR|1SELL	1DUR|2RCR|358VULN|45DMG|5BPWR|6LHND|7LWND|9SELL|aMDPS
38	43243 23521	   	372.58	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6CGEN|7DUST|9MDPS|aERES
39	43243 23522	   	372.58	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6CGEN|7DUST|9MDPS|aBEXP
40	43243 23523	   	372.58	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6CGEN|7DUST|9MDPS|aLWND
41	43243 32521	   	372.58	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6ASPD|7LWND|9MDPS|aERES
42	43243 32522	   	372.58	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6ASPD|7LWND|9MDPS|aBEXP
43	43243 32523	   	372.58	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6ASPD|7aLWND|9MDPS
44	43243 63223	   	372.58	ACR|3VULN|1MDPS|2DMG|1DUR|1SELL	1DUR|2RCR|357VULN|45DMG|5BPWR|6RCVC|8SELL|9RMIN|aMDPS
45	43243 31521	   	372.48	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6ASPD|7AETHUN|9MDPS|aERES
46	43243 31522	   	372.48	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6ASPD|7AETHUN|9MDPS|aBEXP
47	43243 31523	   	372.48	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6ASPD|7AETHUN|9MDPS|aLWND
48	43243 33521	   	372.48	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6ASPD|7DUST|9MDPS|aERES
49	43243 33522	   	372.48	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6ASPD|7DUST|9MDPS|aFEWX
50	43243 33523	   	372.48	ACR|3VULN|1MDPS|2DMG|1DUR	1DUR|2RCR|358VULN|45DMG|5BPWR|6ASPD|7DUST|9MDPS|aLWND
51	43243 12633	   	372.44	ACR|3VULN|1MDPS|2DMG|1DUR|1SELL	1DUR|2RCR|359VULN|45DMG|5BPWR|6LIT|7SELL|8ERES|aMDPS
