0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46161 32212	1	 * 	284.56	橙5易伤2等级1时间1全技能	1347a易伤23等级3序列升级5最后敌人6全技能8核9时间
2	41123 22452	3	 * 	279.64	橙4易伤2等级2时间	1349易伤245最后敌人49序列升级6雷电79时间89等级a核
3	42331 36412	10	 * 	273.92	橙4易伤2等级1伤害1暴击	1389易伤29掉矿4暴击5矿等69等级7核9序列升级a伤害
4	43122 36253	4	 * 	272.77	橙3易伤3时间3暴击1伤害	19a易伤2策反39a暴击4伤害5攻速6核79a时间8双倍矿9a序列升级
5	43122 36353	4	   	272.77	橙3易伤3时间3暴击1伤害	19a易伤2策反39a暴击4伤害5攻速6核79a时间8立即金币9a序列升级
6	21315 12651	6	 * 	271.52	橙3易伤3等级3时间	126挖尘289序列升级389时间4雷电589等级789易伤a核
7	41141 12511	6	 * 	271.14	橙5易伤2伤害2暴击	13489易伤26最后敌人59伤害79暴击9序列升级a核
8	41141 32511	5	   	271.14	橙5易伤2伤害2暴击	13489易伤2最后敌人59伤害6双倍矿79暴击9序列升级a核
9	41126 12241	3	 * 	269.36	橙5易伤1等级1伤害1全技能	1347a易伤24最后敌人4序列升级5全技能6伤害8核9等级
10	41126 33243	3	   	268.31	橙5易伤2等级1全技能	1346a易伤24最后敌人4序列升级5全技能79等级8核
11	52126 23243	3	   	268.31	橙5易伤2等级1全技能	16基地爆炸2346a易伤5全技能6序列升级79等级8核
12	46161 32223	1	   	268.21	橙5易伤2等级1全技能	1347a易伤23等级3序列升级5最后敌人6全技能8核9挖尘
13	52126 33243	3	   	268.21	橙5易伤2等级1全技能	1基地爆炸2346a易伤5全技能79等级8核
14	22126 23243	3	   	268.11	橙5易伤2等级1全技能	16挖尘2346a易伤5全技能6序列升级79等级8核
15	22126 33243	3	   	268.11	橙5易伤2等级1全技能	1挖尘2346a易伤5全技能79等级8核
16	22146 23243	4	   	268.11	橙5易伤2等级1全技能	16挖尘2346a易伤5全技能6序列升级79等级8核
17	22146 33243	4	   	268.11	橙5易伤2等级1全技能	1挖尘2346a易伤5全技能79等级8核
